"Export date: 7/10/2021, 12:05:12 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Jungle Safari Balloons 140 Pcs Green Tropical Forest Birthday Party Garland Kit Dinosaur Theme Arch Gold Confetti Latex Balloons with Palm Leaves for Boys Kids Girls Baby Shower Strip Tools","YHmall","13.49","339","10","4573","03/31/2021","9.25","2","4","4.24","6009","Toys & Games","B091DNHGM7","https://www.amazon.co.uk/Balloons-Tropical-Birthday-Dinosaur-Confetti/dp/B091DNHGM7/ref=sr_1_291?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857475&s=kitchen&sr=1-291"
"Average Sales: 1,001","","2","Henbrandt 1x Inflatable Picture Frame in Gold 80cm x 60cm Photo Booth Selfie Frame for Birthday Celebrations Anniversary Wedding Parties Picture Perfect Inflatable Photo Frame","HENBRANDT","2.31","...","...","...","06/29/2020","...","2558","4.4","","","","B075JMJ41F","https://www.amazon.co.uk/HENBRANDT-X99368HNB-Inflatable-Selfie-Frame/dp/B075JMJ41F/ref=sr_1_292?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857475&s=kitchen&sr=1-292"
"Average Sales Rank: 4,069","","3","YOGINGO LED Night Light Cute Dull Duck Sleep Lights for Baby Smart Bedside Lamp with Touch Sensor Timer Silicone Rechargeable Night Warm Light for Kids Bedroom","YOGINGO","19.99","217","7","4338","04/30/2021","14.75","7","5","5.24","2000","Lighting","B093WZQ53H","https://www.amazon.co.uk/YOGINGO-Bedside-Silicone-Rechargeable-Bedroom/dp/B093WZQ53H/ref=sr_1_293?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857475&s=kitchen&sr=1-293"
"Average Price: £11.09","","4","Cif Power & Shine Bathroom Cleaning Spray Refill (Pack of 4 x 700ml Eco Refills)","Cif","8.99","96","3","863","09/17/2019","...","172","4.6","","3391","Grocery","B07Y293784","https://www.amazon.co.uk/Cif-Power-Bathroom-Refill-Refills/dp/B07Y293784/ref=sr_1_294?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857475&s=kitchen&sr=1-294"
"Average Reviews: 1,523","","5","Presale Fish Scale Microfiber Polishing Cleaning Cloth (5pcs)","Bloomhua","4.60","1110","37","5106","03/20/2021","1.69","55","4.5","2.91","3856","Home & Kitchen","B08ZKPZMGF","https://www.amazon.co.uk/Presale-Scale-Microfiber-Polishing-Cleaning/dp/B08ZKPZMGF/ref=sr_1_295?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857475&s=kitchen&sr=1-295"
"","","6","Green Tree Mixed Colour Spell Candles Pack of 12","Greentree","2.45","501","16","1227","01/28/2019","0.35","1275","4.5","2.1","1797","Home & Kitchen","B07N6HNNC2","https://www.amazon.co.uk/Miss-Pretty-London-SPELL-CANDLES/dp/B07N6HNNC2/ref=sr_1_296?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857475&s=kitchen&sr=1-296"
"","","7","Orimath Epoxy Resin Crystal Clear Resin Kits for Beginners400ml/13.5oz Resin Accessories with Resin Pigment Resin Glitter Measuring Cups Casting Resin Starter Kit for Art Craft Jewelry Making","Orimath","23.99","1070","48","25669","04/15/2021","18.14","102","4.5","5.85","1369","Home & Kitchen","B092MR5915","https://www.amazon.co.uk/Orimath-Crystal-Beginners-Accessories-Measuring/dp/B092MR5915/ref=sr_1_297?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857475&s=kitchen&sr=1-297"
"","","8","Portable Neck Fan Hands Free Fan Rechargeable Personal Mini Fan With 360 Free Rotation Bladeless Quiet 3 Speeds Headphone Design for Hot Flashes Home Office Travel Outdoor Sports","VNEED","22.99","833","32","19151","04/16/2021","17.29","81","4.7","5.7","2582","Home & Kitchen","B092Q2SSKY","https://www.amazon.co.uk/Portable-Rechargeable-Personal-Bladeless-Headphone/dp/B092Q2SSKY/ref=sr_1_298?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857475&s=kitchen&sr=1-298"
"","","9","Leafbay 100% Pure Mulberry Silk Pillowcase for Hair & Skin 600 Thread Count Hypoallergenic Allergen Proof Dual Sides 19 Momme Silk Bed Pillow Cases with Hidden Zipper 1pcs (Standard 50x75cm Grey)","Leafbay","17.99","1359","76","24448","12/25/2020","13.73","24","4.7","4.26","629","Home & Kitchen","B08R9K4TPW","https://www.amazon.co.uk/Leafbay-Mulberry-Pillowcase-Hypoallergenic-Allergen/dp/B08R9K4TPW/ref=sr_1_289?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857475&s=kitchen&sr=1-289"
"","","10","20PK Black Swivel Hook Hangers Premium Quality  360 Swivel Hooks Non-Slip Durable Heavy Duty Space-Saving  Ideal for all Adult Clothes","Organzy Lifestyle Living","6.99","694","24","4851","02/11/2021","3.74","38","4.3","3.25","3969","Home & Kitchen","B08WHLGM4V","https://www.amazon.co.uk/Hangers-Premium-Quality-Non-Slip-Space-Saving/dp/B08WHLGM4V/ref=sr_1_290?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857475&s=kitchen&sr=1-290"
