"Export date: 7/10/2021, 12:26:55 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Humidifiers for Bedroom ONGAHON 3L Small to Large Room Portable USB Personal Cool Mist Humidifier 25dB Quiet Operation 2 Nozzles Auto Shut OffFor HomeBaby RoomskidsOfficeDeskCE Certified","ONGAHON","19.99","373","12","7456","02/26/2021","14.75","42","4.3","5.24","10609","Home & Kitchen","B08XMFYLNR","https://www.amazon.co.uk/Humidifiers-ONGAHON-Humidifier-Operation-Certified/dp/B08XMFYLNR/ref=sr_1_538?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858725&s=kitchen&sr=1-538"
"Average Sales: 1,886","","2","Pizza PeelAluminum Metal Pizza PaddlePizza Spatula 12 Inch with Foldable Wooden HandleEasy Storage Pizza Shovel for Pizza Oven with Rotary Pizza Slicer for Baking Homemade Pizza","Youmeet","18.99","365","12","6931","05/11/2021","13.9","15","4.1","5.09","10392","Home & Kitchen","B094NY2BCN","https://www.amazon.co.uk/Aluminum-Spatula-Foldable-Storage-Homemade/dp/B094NY2BCN/ref=sr_1_539?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858725&s=kitchen&sr=1-539"
"Average Sales Rank: 4,340","","3","Chilly's Bottles | Leak-Proof No Sweating | BPA-Free Stainless Steel | Reusable Water Bottle | Double Walled Vacuum Insulated | Keeps Cold for 24+ Hrs Hot for 12 Hrs","Chilly's","15.00","15719","502","235785","01/31/2019","10.52","23449","4.8","4.48","11","Home & Kitchen","B07N98DVR1","https://www.amazon.co.uk/Chillys-Bottle-New-2019-Logo-Stainless-Reusable/dp/B07N98DVR1/ref=sr_1_540?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858725&s=kitchen&sr=1-540"
"Average Price: £13.62","","4","Titanium Bird Electric Milk Frother (Whisk) Automatic Milk Foam Maker for Bulletproof Coffee Matcha Stainless Steel Whisk Battery Operated","Titanium bird","7.99","622","8","4970","05/16/2021","4.56","15","4.1","3.43","16030","Home & Kitchen","B0952CTT8V","https://www.amazon.co.uk/Titanium-Electric-Automatic-Bulletproof-Stainless/dp/B0952CTT8V/ref=sr_1_541?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858725&s=kitchen&sr=1-541"
"Average Reviews: 2,362","","5","AeroPress Coffee and Espresso Maker - Quickly Makes Delicious Coffee Without Bitterness - 1 to 3 Cups Per Pressing","Aeropress","27.65","2648","80","73217","02/21/2008","20.93","6728","4.8","6.72","567","Home & Kitchen","B000GXZ2GS","https://www.amazon.co.uk/Aerobie-AeroPress-A80-Coffee-Maker/dp/B000GXZ2GS/ref=sr_1_542?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858725&s=kitchen&sr=1-542"
"","","6","25 Sheets of Old Looking/Vintage Design Paper DIN A4. Great for Vintage invites and Letters","the lazy panda card company","3.99","772","48","3080","05/15/2019","2.33","1202","4.7","1.66","627","Stationery & Office Supplies","B07RWXG7PR","https://www.amazon.co.uk/Sheets-Looking-Vintage-invites-Letters/dp/B07RWXG7PR/ref=sr_1_561?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858777&s=kitchen&sr=1-561"
"","","7","Addis 518003 Funnel Plastic Transparent","Addis","2.15","6588","266","14164","05/31/2018","-0.36","2507","4.7","2.51","52","Home & Kitchen","B07DFWFDJ8","https://www.amazon.co.uk/Addis-518003-Funnel-Plastic-Transparent/dp/B07DFWFDJ8/ref=sr_1_562?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858777&s=kitchen&sr=1-562"
"","","8","Metallic Gold Organza Ribbon 20mm Wide. Decorative Ribbon For Gift Wrapping Card Making Crafts and Scrapbooking.","GCS","2.97","519","21","1541","12/17/2016","0.31","424","4.5","2.66","4868","Home & Kitchen","B06XVHCWN7","https://www.amazon.co.uk/Metallic-Organza-Decorative-Wrapping-Scrapbooking/dp/B06XVHCWN7/ref=sr_1_553?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858777&s=kitchen&sr=1-553"
"","","9","STOREMIC Floating Shelves 40cm Shelves for wall 3 White Shelves Screw Mounted Modern Decorative Display Wall Shelves with Easy Installation for Bathroom Bedroom Office Living Room etc","STOREMIC","19.54","1098","66","21455","07/06/2020","14.37","811","4.5","5.17","787","Home & Kitchen","B08CDNV942","https://www.amazon.co.uk/STOREMIC-Floating-Decorative-Invisible-Mounting/dp/B08CDNV942/ref=sr_1_554?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858777&s=kitchen&sr=1-554"
"","","10","ShreeFit 12Pcs BBQ Skewers Reusable Metal Flat Barbecue Kebab Skewer with Wooden Handle BBQ Accessories Stick Needles Outdoor Camping Cooking Tools","ShreeFit","8.88","224","10","1989","06/09/2021","5.34","1","5","3.54","4776","Garden & Outdoors","B096Y9Q5ZR","https://www.amazon.co.uk/ShreeFit-Skewers-Reusable-Barbecue-Accessories/dp/B096Y9Q5ZR/ref=sr_1_556?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858777&s=kitchen&sr=1-556"
