"Export date: 7/10/2021, 12:10:21 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Ashley BB-CB112 8-Inch Metal Cash Box with 2 Keys - Color May Vary","Ashley","8.68","825","35","7161","03/25/2007","5.17","2693","4.6","3.51","955","Stationery & Office Supplies","B000OTPWNC","https://www.amazon.co.uk/Ashley-BB-CB112-8-Inch-Metal-Cash/dp/B000OTPWNC/ref=sr_1_424?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857732&s=kitchen&sr=1-424"
"Average Sales: 2,024","","2","Q Connect 89x36mm Self-Adhesive Address Label (Roll of 250)-White","Q-CONNECT","2.50","4291","146","10728","01/01/2003","-0.06","5003","4.7","2.56","94","Stationery & Office Supplies","B00CJRLBPK","https://www.amazon.co.uk/Connect-89x36mm-Self-Adhesive-Address-White/dp/B00CJRLBPK/ref=sr_1_425?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857732&s=kitchen&sr=1-425"
"Average Sales Rank: 1,949","","3","Pack of 7 Just to Say Rainbow Greeting Cards& Envelopes by Greetingles. Made in UK. Blank Inside.","Greetingles","4.95","360","25","1782","04/30/2018","3.14","269","4.8","1.81","1458","Stationery & Office Supplies","B07CS4FJBV","https://www.amazon.co.uk/Square-Congratulations-Envelopes-Watercolour-Greetingles/dp/B07CS4FJBV/ref=sr_1_426?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857732&s=kitchen&sr=1-426"
"Average Price: £9.49","","4","Lint Roller Carpet Lint RemoverPortable Pet Hair Lint Remover Fabrics Clothes Fuzz Shaver Carpet Manual Brush Sweater Woven Coat Reusable Double Sided Lint Rollers(2pcs)","Utforzr","7.89","375","31","2959","03/08/2021","4.47","23","3.9","3.42","2663","Home & Kitchen","B08Y88MGPQ","https://www.amazon.co.uk/Remover-Portable-Fabrics-Clothes-Reusable/dp/B08Y88MGPQ/ref=sr_1_427?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857732&s=kitchen&sr=1-427"
"Average Reviews: 2,775","","5","Everbuild Caulk Once Premium Quality Acrylic Caulk White 295 ml","Everbuild","2.57","4707","146","12097","01/16/2014","0.05","6896","4.6","2.52","114","DIY & Tools","B00HUWU1ZU","https://www.amazon.co.uk/Caulk-Once-Premium-quality-acrylic/dp/B00HUWU1ZU/ref=sr_1_428?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857732&s=kitchen&sr=1-428"
"","","6","Staedtler Noris School Pencils HB [Pack of 36]","Staedtler Noris","5.59","2760","92","15428","06/21/2014","3.68","3079","4.7","1.91","198","Stationery & Office Supplies","B00M6CPTO2","https://www.amazon.co.uk/Staedtler-Noris-School-Pencils-121/dp/B00M6CPTO2/ref=sr_1_441?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857784&s=kitchen&sr=1-441"
"","","7","STAEDTLER Noris HB Pencils Pack of 5","STAEDTLER","1.75","9235","307","16161","07/12/2007","0.43","19235","4.8","1.32","14","Stationery & Office Supplies","B001P5V47W","https://www.amazon.co.uk/Staedtler-120-2-Noris-Pencil-Blister/dp/B001P5V47W/ref=sr_1_442?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857784&s=kitchen&sr=1-442"
"","","8","Officepal 100-Piece Safety Pins Size 4 2.17' / 55mm  Durable Rust-Resistant Nickel Plated Steel Set- Best Sewing Accessories Kit for Baby Clothing Crafts & Arts","Officepal","3.99","897","46","3579","10/08/2020","2.33","2112","4.6","1.66","1466","Home & Kitchen","B07DQG6RLX","https://www.amazon.co.uk/Officepal-100-Piece-Safety-Pins-Size/dp/B07DQG6RLX/ref=sr_1_433?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857784&s=kitchen&sr=1-433"
"","","9","Swan SI12020N Handheld Garment Steamer Lightweight and Compact 1100W Iron Pink","Swan","27.99","2220","74","62138","12/19/2017","21.22","3119","4.3","6.77","722","Home & Kitchen","B078GQPS1Q","https://www.amazon.co.uk/Swan-SI12020N-Handheld-Garment-Lightweight/dp/B078GQPS1Q/ref=sr_1_434?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857784&s=kitchen&sr=1-434"
"","","10","Maypole Eco Friendly Chemical Toilet Fluid & Rinse 2L Twin Pack for Caravan & Motorhome","Maypole","14.99","750","25","11243","09/22/2016","...","93","4.6","","2339","Grocery","B01LXLXUQ0","https://www.amazon.co.uk/Maypole-Friendly-Chemical-Caravan-Motorhome/dp/B01LXLXUQ0/ref=sr_1_435?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857784&s=kitchen&sr=1-435"
"","","11","SAVITA 24pcs 9.5 Inches Plastic Cake Dowel Rods Cake Support Rods for Stacking Supporting Cake and Tiered Cake Construction with 0.4 Inches Diameter (White)","SAVITA","7.99","730","31","5833","10/14/2020","4.56","19","4.4","3.43","2627","Home & Kitchen","B08L6BSTCL","https://www.amazon.co.uk/SAVITA-Stacking-Supporting-Construction-Diameter/dp/B08L6BSTCL/ref=sr_1_436?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857784&s=kitchen&sr=1-436"
