"Export date: 7/10/2021, 12:32:16 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Annvchi Shower Curtain Waterproof Lattice Design and Polyester Quick-Drying Weighted Hem Shower Curtains Bathroom 180x180 Durable and washable Grey Shower Curtains with 12 Hooks","Annvchi","8.99","1463","48","13152","10/19/2020","6.56","103","4.6","2.43","977","Home & Kitchen","B08LDF6QPF","https://www.amazon.co.uk/Annvchi-Waterproof-Polyester-Quick-Drying-Weighted/dp/B08LDF6QPF/ref=sr_1_700?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859098&s=kitchen&sr=1-700"
"Average Sales: 1,157","","2","La Sauce de MONIN Caramel 500 ml","Monin","5.50","1808","60","9944","12/08/2010","2.48","2720","4.6","3.02","648","Grocery","B000WJCBGU","https://www.amazon.co.uk/Monin-Caramel-Sauce-500-ml/dp/B000WJCBGU/ref=sr_1_701?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859098&s=kitchen&sr=1-701"
"Average Sales Rank: 4,878","","3","Pledge Fluffy Duster Refills 5 Pack","pledge","6.10","767","25","4679","04/28/2016","3.11","362","4.7","3.13","2081","Grocery","B01EWVIHHA","https://www.amazon.co.uk/Pledge-Fluffy-Duster-Refills-Pack/dp/B01EWVIHHA/ref=sr_1_702?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859098&s=kitchen&sr=1-702"
"Average Price: £12.06","","4","Three Lollies Preggie Pop Drops Assorted for Morning Sickness Relief 21 Count","Three Lollies","7.95","417","13","3315","08/21/2007","4.52","393","4","3.43","5714","Health & Personal Care","B005AYE8UE","https://www.amazon.co.uk/Three-Lollies-Preggie-Assorted-Sickness/dp/B005AYE8UE/ref=sr_1_703?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859098&s=kitchen&sr=1-703"
"Average Reviews: 2,147","","5","6 x Fermentation Airlocks & Bored Rubber Bungs for Glass Demijohns","Almost Off Grid","11.74","92","3","1080","01/29/2018","8.32","432","4.7","3.42","19125","Home & Kitchen","B079DTYGNZ","https://www.amazon.co.uk/Fermentation-Airlocks-Bored-Rubber-Demijohns/dp/B079DTYGNZ/ref=sr_1_704?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859098&s=kitchen&sr=1-704"
"","","6","Large Citronella Candles Outdoor 2 x 400g Citronella Candle with 3 Wicks Natural Soy Wax Lemongrass Essential Citronella Oil Large Garden Citronella Candles150H for Garden/Outdoor/Indoor/Camping","Aottom","15.99","614","20","9818","12/29/2020","11.36","300","4.5","4.63","10350","Home & Kitchen","B08RHT3TCR","https://www.amazon.co.uk/Citronella-Candles-Outdoor-Lemongrass-Essential/dp/B08RHT3TCR/ref=sr_1_705?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859098&s=kitchen&sr=1-705"
"","","7","European Football Championship EURO 2021 Bunting 24 Nations Bunting Flagsfor Sports Bar Restaurant Fan Club Decoration","Oledank","4.99","876","29","4371","05/18/2021","1.14","20","4.3","1.44","76","Toys & Games","B0956NW2KK","https://www.amazon.co.uk/European-Football-Championship-Restaurant-Decoration/dp/B0956NW2KK/ref=sr_1_706?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859098&s=kitchen&sr=1-706"
"","","8","Miele Complete C3 Range Vacuum Cleaner Bags and 2 Air Filters","Miele","13.26","3365","112","44620","06/03/2015","9.05","1217","4.8","4.21","214","Home & Kitchen","B00PE4L3ZI","https://www.amazon.co.uk/dp/B00PE4L3ZI"
"","","9","Toilet Brush and Holder Set for Bathroom Deep-Cleaning Silicone Toilet Bowl Brush with Non-Slip Long Plastic Handle Bendable Brush Head to Clean Toilet Corner Easily","FINEWEN","8.99","555","18","4989","05/19/2021","...","124","4.4","","1275","Home & Kitchen","B095BRXR62","https://www.amazon.co.uk/dp/B095BRXR62"
"","","10","Qlf yuu Footrest Adjustable Ergonomic Foot Rest for Under Desk Office Footrest with Removable Sponge Cushion Footstool Tilt Angle Adjustment Non-Skid Massage Surface Comfort for Home (Black)","Qlf yuu","19.99","153","5","3058","03/17/2021","14.75","2","1.8","5.24","30677","Home & Kitchen","B08Z7PMFCL","https://www.amazon.co.uk/Qlf-yuu-Adjustable-Ergonomic-Adjustment/dp/B08Z7PMFCL/ref=sr_1_699?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859098&s=kitchen&sr=1-699"
"","","11","Snap Fasteners - Reastar 60 Sets Press Studs Metal Snap Buttons Sew on Snaps in Black and Silver - for Clothes Leather Craft Purse Handbag Sewing Repairs (7mm 8.5mm 12mm)","Reastar","5.39","218","7","1175","05/17/2021","2.85","3","4.6","2.14","17356","Home & Kitchen","B0953G52GJ","https://www.amazon.co.uk/Snap-Fasteners-Reastar-Buttons-Clothes/dp/B0953G52GJ/ref=sr_1_700?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859098&s=kitchen&sr=1-700"
"","","12","Kraft Paper Roll - Brown Paper Packing Roll Perfect for Crafts Art Small Gift Wrapping Packing Postal Shipping Dunnage & Parcel(43 Centimeters Wide 30.5 Meters Long)","Ninepea","8.99","395","13","3551","03/16/2021","5.43","1","5","3.56","4053","Stationery & Office Supplies","B08Z2VHYVS","https://www.amazon.co.uk/Kraft-Paper-Roll-Wrapping-Centimeters/dp/B08Z2VHYVS/ref=sr_1_701?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859098&s=kitchen&sr=1-701"
"","","13","BRITA Marella Fridge water filter jug for reduction of chlorine limescale and impuities White Includes 6 x MAXTRA+ filter cartridges 2.4L","BRITA","29.78","3553","118","105808","02/17/2017","22.32","15012","4.7","7.46","334","Home & Kitchen","B01MRROWEQ","https://www.amazon.co.uk/dp/B01MRROWEQ"
"","","14","TV Wall Bracket for 26-55 inch LED LCD Flat & Curved TV or Monitor Swivel Tilt TV Mount up to 40kg Max. VESA 400x400mm with HDMI Cable and Spirit Level","PERLESMITH","26.39","1837","61","48478","10/09/2019","20.17","9157","4.7","6.22","266","Electronics & Photo","B07W7HDWVQ","https://www.amazon.co.uk/dp/B07W7HDWVQ"
"","","15","Our Anniversary Card from Hallmark - Cute Ted & Ginger Design","Hallmark","2.80","3803","126","10648","09/12/2019","1.32","4812","4.8","1.48","98","Stationery & Office Supplies","B07XTXJFHS","https://www.amazon.co.uk/Our-Anniversary-Card-Hallmark-Ginger/dp/B07XTXJFHS/ref=sr_1_704?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859098&s=kitchen&sr=1-704"
"","","16","Inside Out Rainbows Mug - Pattern Inside and Out","Two Up Two Down","10.45","535","17","5591","09/18/2016","6.67","843","4.7","3.78","4382","Home & Kitchen","B076SZ5312","https://www.amazon.co.uk/dp/B076SZ5312"
"","","17","IKEA Floor Uplighter Light Lamp (Black&White)","Ikea","14.87","863","28","12833","03/29/2012","10.41","2461","4.5","4.46","4565","Home & Kitchen","B00R3LQW42","https://www.amazon.co.uk/dp/B00R3LQW42"
"","","18","Peek Y048 33200 Box Tube 100ml","Peek","5.34","827","27","4416","07/07/2007","2.31","1932","4.6","3.03","1039","Grocery","B000TROMR6","https://www.amazon.co.uk/Peek-Y048-33200-Box-Tube/dp/B000TROMR6/ref=sr_1_707?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859098&s=kitchen&sr=1-707"
"","","19","Small bags - Brown Paper Bags with Flat Handles 50 Pack - H22  W18  D9cm | Merrimen","Merrimen","9.49","1523","50","14453","05/20/2021","5.86","7","4.2","3.63","761","Home & Kitchen","B0949LKW9X","https://www.amazon.co.uk/dp/B0949LKW9X"
"","","20","Duronic Digital Kitchen Scales KS6000 BK | Black Design with 1.5L Bowl | 5kg Capacity | LCD Backlit Display | Add & Weigh Tare | Measure Ingredients for Cooking & Baking","Duronic","9.99","850","28","8492","01/30/2013","6.28","2091","4.7","3.71","645","Home & Kitchen","B06Y2Z7HRK","https://www.amazon.co.uk/dp/B06Y2Z7HRK"
"","","21","TV Wall Bracket Swivels Tilts Extends Rotates TV Mount Bracket Fits 23-55 inch Flat&Curved TV up to 40KG Max. VESA 400x400mm","PERLESMITH","20.39","1841","61","37538","05/08/2019","15.09","8622","4.7","5.3","218","Electronics & Photo","B07PWZV9WY","https://www.amazon.co.uk/dp/B07PWZV9WY"
