"Export date: 7/10/2021, 12:04:21 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Miele Parts 8 x GENUINE Miele S400 S600 S800 S5000 GN Dust Bags GEN-GNBAGWhitepack de 1 unidad","Miele Parts","21.99","1515","38","33315","04/20/2013","16.45","1067","4.8","5.54","1968","Home & Kitchen","B07T6HVCKD","https://www.amazon.co.uk/Miele-Parts-GENUINE-GEN-GNBAG-unidad/dp/B07T6HVCKD/ref=sr_1_257?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857372&s=kitchen&sr=1-257"
"Average Sales: 1,701","","2","Blue Juice Valve Oil - New bottle design","Blue Juice","7.76","381","16","2957","04/13/2018","","304","4.7","","7198","Home & Kitchen","B07CCH5TZJ","https://www.amazon.co.uk/Blue-Juice-Valve-Oil-bottle/dp/B07CCH5TZJ/ref=sr_1_258?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857372&s=kitchen&sr=1-258"
"Average Sales Rank: 2,403","","3","World of Sparkles 15ml Beacon Gemtec Adhesive with Crystal Needle for Applying Crystals Rhinestones Diamante Diamonds Arts & Crafts DIY Projects and Fashion Accessories (1 Bottle)","World of Sparkles","4.99","425","24","2121","03/12/2018","2.02","497","4.4","2.97","3863","Home & Kitchen","B07NWY216F","https://www.amazon.co.uk/World-Sparkles-Adhesive-Rhinestones-Accessories/dp/B07NWY216F/ref=sr_1_259?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857372&s=kitchen&sr=1-259"
"Average Price: £9.96","","4","100% RAW ORIGINAL TIPS 50 Box of 50 Packs Roach Full Box 50 PER BOOKLETS","RAW ORIGINAL TIPS 50","7.12","1532","50","10908","03/07/2019","3.85","1189","4.8","3.27","1274","Home & Kitchen","B07KJS59DZ","https://www.amazon.co.uk/RAW-ORIGINAL-TIPS-50-BOOKLETS/dp/B07KJS59DZ/ref=sr_1_260?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857372&s=kitchen&sr=1-260"
"Average Reviews: 3,105","","5","Audew Handheld Vacuums Cordless Portable Handheld Vacuum Cleaner with Powerful Suction 120W Rechargeable Car Vacuum Cleaner Handheld hoover Lightweight Wet Dry Vacuum for Home Car and Pet","Audew","28.99","5784","181","167678","06/12/2020","22.37","10529","3.9","6.62","120","Home & Kitchen","B07FPVQX4Q","https://www.amazon.co.uk/Audew-Cleaner-Handheld-Cordless-Rechargeable/dp/B07FPVQX4Q/ref=sr_1_80?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-80"
"","","6","AnySharp World's Best Knife Sharpener with PowerGrip Silver","AnySharp","7.00","10101","352","70707","02/01/2008","3.75","38920","4.5","3.25","27","Home & Kitchen","B0029X0RTU","https://www.amazon.co.uk/AnySharp-Knife-Sharpener-PowerGrip-Silver/dp/B0029X0RTU/ref=sr_1_81?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-81"
"","","7","20mm x 16m Adhesive Fabric Hemming Iron-on Tape with 200 pins Great for Bonding and Craft Projects NO Sewing Required Ideal for Hems Jeans Trousers Badges School Clothes (Hemming Tape Kit 16m)","D.A.Y. Republic","3.95","444","19","1754","07/28/2020","2.3","7","4.4","1.65","5385","Home & Kitchen","B08DRLW74T","https://www.amazon.co.uk/Adhesive-Hemming-Projects-Required-Trousers/dp/B08DRLW74T/ref=sr_1_274?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857424&s=kitchen&sr=1-274"
"","","8","Kilner Pack of 200 Wax Discs White","Kilner","1.99","15","0","30","04/11/2012","0.31","1911","4.6","1.68","","","B007T8KGTG","https://www.amazon.co.uk/Kilner-Pack-200-Discs-White/dp/B007T8KGTG/ref=sr_1_265?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857424&s=kitchen&sr=1-265"
"","","9","JVL Heavy Duty Multi-Fit Ground Soil Spear Spike with Adaptor to Fit 32 and 40 mm Diameters with Plastic Adaptor","JVL","5.95","3359","111","19986","05/13/2014","2.86","4112","4.4","3.09","315","Home & Kitchen","B00WIYPD62","https://www.amazon.co.uk/JVL-Rotary-Multi-Fit-Adaptor-Diameter/dp/B00WIYPD62/ref=sr_1_82?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-82"
"","","10","YTLEMON Wheat Straw Dinnerware Sets of 5 (40Pcs) Unbreakable and Lightweight Serving Bowls Cups Plates Chopsticks Forks Spoons Set Microwave & Dishwasher Safe Dish Bowl for Kids or Picnics","YTLEMON","24.99","852","39","21291","03/15/2021","18.99","54","4.3","6","1858","Home & Kitchen","B08YYLYG3S","https://www.amazon.co.uk/YTLEMON-Dinnerware-Unbreakable-Lightweight-Chopsticks/dp/B08YYLYG3S/ref=sr_1_267?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857424&s=kitchen&sr=1-267"
