"Export date: 7/10/2021, 12:44:49 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Argos VC-401 Vacuum Cleaner Hoover Dust Bags Pack Of 5","","4.95","365","16","1807","12/07/2010","1.98","377","4.6","2.97","6868","Home & Kitchen","B004FJD6B2","https://www.amazon.co.uk/Argos-VC-401-Vacuum-Cleaner-Hoover/dp/B004FJD6B2/ref=sr_1_772?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859750&s=kitchen&sr=1-772"
"Average Sales: 760","","2","Coates Willow Charcoal Assorted 30 Pieces","Coates","3.90","7","0","27","02/20/2010","1.09","1489","4.6","2.81","","","B001PNG4LA","https://www.amazon.co.uk/Coates-Willow-Charcoal-Assorted-Pieces/dp/B001PNG4LA/ref=sr_1_773?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859750&s=kitchen&sr=1-773"
"Average Sales Rank: 5,491","","3","Yiran Pop Sensory Stretch Tubes. 6 PCS Colorful Party Favor Fidget Toys with Funny Pop Sounds. DIY Stretched Plastic Pipe Multi-Color Stretch Pipe Sensory Toys (L)","Yiran","6.99","204","7","1426","02/22/2021","3.71","44","4.6","3.28","8452","Toys & Games","B08X41G33P","https://www.amazon.co.uk/Yiran-Sensory-Colorful-Stretched-Multi-Color/dp/B08X41G33P/ref=sr_1_774?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859750&s=kitchen&sr=1-774"
"Average Price: £7.86","","4","Unique Party 84868 Number 30' Badge | Glittery Rosegold | 1 Pc Rose Gold Age","Unique Party","1.38","570","19","787","07/05/2019","-0.25","381","4.7","1.63","5434","Home & Kitchen","B07TY16G58","https://www.amazon.co.uk/Unique-Party-84868-Birthday-Badge/dp/B07TY16G58/ref=sr_1_775?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859750&s=kitchen&sr=1-775"
"Average Reviews: 746","","5","Frozen 2 Disney Single Polycotton Duvet Cover | Officially Licensed Reversible Two Sided Bedding Olaf Anna Elsa Kristoff and Sven Design with Matching Pillowcase Purple","Frozen 2","14.29","233","9","3330","03/01/2019","9.92","563","4.7","4.37","1999","Baby Products","B07W5QVLGG","https://www.amazon.co.uk/Frozen-Polycotton-Officially-Reversible-Pillowcase/dp/B07W5QVLGG/ref=sr_1_776?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859750&s=kitchen&sr=1-776"
"","","6","100x WHITE BRABANTIA BIN LINERS TYPE C LINER BAG BAGS 10L - 12L 10 - 12 LITRE","Brabantia","17.00","706","18","12002","11/16/2014","12.22","290","4.8","4.78","5675","Home & Kitchen","B00PPA4286","https://www.amazon.co.uk/100x-WHITE-BRABANTIA-LINERS-LINER/dp/B00PPA4286/ref=sr_1_777?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859750&s=kitchen&sr=1-777"
"","","7","Toilet Roll Holder 304 Stainless Steel Waterproof Toilet Paper Holder Wall Mounted with Screws Chrome Toilet Roll Holder for Bedroom (1)","weninus","8.49","767","40","6512","12/17/2020","5.27","91","4.2","3.22","894","DIY & Tools","B08QVCZ367","https://www.amazon.co.uk/Toilet-Stainless-Waterproof-Mounted-Bedroom/dp/B08QVCZ367/ref=sr_1_778?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859750&s=kitchen&sr=1-778"
"","","8","Cretty-Meet Adjustable Shower Head Holder Removable Suction Cup Shower Head Bracket No Drill Shower Head Bracket with Chrome Polished for Bathroom","Cretty-Meet","5.99","659","19","3947","02/28/2021","3.88","106","3.9","2.11","2589","DIY & Tools","B08XP5W7H9","https://www.amazon.co.uk/Cretty-Meet-Adjustable-Removable-Polished-Bathroom/dp/B08XP5W7H9/ref=sr_1_769?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859750&s=kitchen&sr=1-769"
"","","9","Merriway BH02250 Ball Type Basin Chain with S Hook 300mm (12 inch) - Chrome Plated","Merriway","2.00","482","17","964","09/22/2014","1.15","677","4.3","0.85","2968","DIY & Tools","B00O7P11UM","https://www.amazon.co.uk/Hardware-BH02250-Basin-Chain-300mm/dp/B00O7P11UM/ref=sr_1_770?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859750&s=kitchen&sr=1-770"
"","","10","The Photo Album Company Dispenser Box with 250 Photograph Photo Corner - Clear","Hampton Frames","1.79","1016","38","1819","10/02/2006","0.47","3307","4.5","1.32","1978","Home & Kitchen","B000J66PFE","https://www.amazon.co.uk/Photo-Album-Company-Dispenser-Photograph/dp/B000J66PFE/ref=sr_1_771?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859750&s=kitchen&sr=1-771"
