"Export date: 7/9/2021, 11:59:17 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","LED Night Light Plug in Walls with Dusk to Dawn Photocell Sensor & Brightness Adjustable 2700K Warm White Lamp Babyliya Auto Sensor Night Lighting for Kids/Children Stairs Hallway Kitchen Bedroom","Babyliya","5.09","4236","227","21561","07/17/2020","2.13","3602","4.7","2.96","8","Lighting","B08D63NJ1G","https://www.amazon.co.uk/Photocell-Brightness-Adjustable-Babyliya-Lighting/dp/B08D63NJ1G/ref=sr_1_119?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-119"
"Average Sales: 2,926","","2","TV Wall Bracket Swivels Tilts Extends Full Motion TV Wall Mount for Most 37-70 Inch Flat&Curved TVs Holds up to 60kg VESA 600x400mm","PERLESMITH","29.74","3973","178","118157","08/28/2019","23.01","4278","4.7","6.73","52","Electronics & Photo","B07TTS7T3R","https://www.amazon.co.uk/Bracket-Swivels-Extends-Motion-600x400mm-Black/dp/B07TTS7T3R/ref=sr_1_125?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857119&s=kitchen&sr=1-125"
"Average Sales Rank: 4,107","","3","JUSONEY Wax Melts Packaging - 100pcs Wax Melt Snap Bar Packaging - Open Top152mm x 64mm + 100pcs Round Safety Warning Stickers","JUSONEY","6.99","216","6","1510","05/19/2021","4.87","3","5","2.12","22603","Home & Kitchen","B095BNQ5XK","https://www.amazon.co.uk/JUSONEY-Wax-Melts-Packaging-Stickers/dp/B095BNQ5XK/ref=sr_1_126?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857119&s=kitchen&sr=1-126"
"Average Price: £13.36","","4","AeroPress 10R11 Go Travel Coffee Maker of Phthalate Grey","Aeropress","29.99","1150","38","34489","12/01/2019","23.22","3329","4.9","6.77","1920","Home & Kitchen","B07YVL8SF3","https://www.amazon.co.uk/AeroPress-10R11-Travel-Coffee-Phthalate/dp/B07YVL8SF3/ref=sr_1_127?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857119&s=kitchen&sr=1-127"
"Average Reviews: 4,662","","5","Dreamegg White Noise Machine D11 Portable Sound Machine with Night Light for Baby Kids Adults 11 Soothing Sounds Therapy for Sleeping Nursery Travel USB Rechargeable Continuous or Timer Child Lock","Dreamegg","27.99","1307","85","36583","11/10/2020","21.53","953","4.7","6.46","122","Baby Products","B08DJ34WT8","https://www.amazon.co.uk/Dreamegg-Portable-Soothing-Rechargeable-Continuous/dp/B08DJ34WT8/ref=sr_1_128?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857119&s=kitchen&sr=1-128"
"","","6","Command Small and Medium Picture Hanging Strips Envelope Pack Containing 10 x Small Pairs and 8 x Medium Pairs","Command","9.49","8862","267","84100","10/23/2018","7.28","25325","4.6","2.21","38","DIY & Tools","B07H54NZ34","https://www.amazon.co.uk/Command-PH203-18NA-Hanging-Strips-White/dp/B07H54NZ34/ref=sr_1_129?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857119&s=kitchen&sr=1-129"
"","","7","Kissmoon Memory Foam Pillow Neck Pillow for Sleeping Firm and Support Bed Pillow for Neck Pain Orthopedic Pillow for Back Stomach Side Sleepers Removable Washable Cover Standard Size 60*40CM","Kissmoon","29.99","249","17","7468","06/14/2021","23.22","13","4.9","6.77","6192","Home & Kitchen","B096LKFJL7","https://www.amazon.co.uk/Kissmoon-Sleeping-Orthopedic-Sleepers-Removable/dp/B096LKFJL7/ref=sr_1_130?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857119&s=kitchen&sr=1-130"
"","","8","1000 Pcs Balloon Glue Dots Removable Balloon Sticky Dots Tape for Wedding Christmas Birthday Party Decorations DIY Scrapbooking Craft","OWill","2.99","276","7","825","06/08/2021","1.02","0","","1.97","18884","Home & Kitchen","B096VBM32Q","https://www.amazon.co.uk/Removable-Christmas-Birthday-Decorations-Scrapbooking/dp/B096VBM32Q/ref=sr_1_121?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857119&s=kitchen&sr=1-121"
"","","9","Jack Daniels Whisky Glasses Set of 2 Official Licensed Jack Daniel's Old No. 7 Whiskey Glasses 330 ml | Includes 11oz Premium Whisky Glass Set | Jack Daniels Gifts","Jack Daniel","7.36","510","107","3754","04/09/2014","4.05","700","4.8","3.31","338","Home & Kitchen","B00G6ZTAGS","https://www.amazon.co.uk/Jack-Daniels-Official-Licensed-Whiskey/dp/B00G6ZTAGS/ref=sr_1_122?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857119&s=kitchen&sr=1-122"
"","","10","Sumtoco Bride to Be Hen Party Decoration Rose Gold Hen Do Accessories with Bride to be Sash Bridal Shower Confetti Latex Balloon Bachelorette Tiara Headband and Veil for Hen Night Party","Sumtoco","13.99","320","12","4477","06/01/2021","9.67","1","5","4.32","10526","Home & Kitchen","B0969HJDDG","https://www.amazon.co.uk/Sumtoco-Decoration-Accessories-Confetti-Bachelorette/dp/B0969HJDDG/ref=sr_1_125?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857119&s=kitchen&sr=1-125"
