"Export date: 7/9/2021, 11:49:25 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Frog Tape Green Multi Surface Painters Masking Tape Indoor Painting and Decorating For Sharp Lines and No Paint Bleed 36mm X 41.1m","Frog Tape","5.99","12308","410","73725","05/18/2011","3.05","14442","4.7","2.94","11","DIY & Tools","B007AS07UI","https://www.amazon.co.uk/FrogTape-Painters-Masking-Multisurface-41-1m/dp/B007AS07UI/ref=sr_1_28?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856523&s=kitchen&sr=1-28"
"Average Sales: 5,934","","2","50 Sheets of Large White Tissue Paper 20 x 30 inches MG Acid Free","Kite","3.35","3826","127","12817","10/25/2020","1.33","2006","4.6","2.02","176","Home & Kitchen","B08945BMCC","https://www.amazon.co.uk/Sheets-Large-White-Tissue-inches/dp/B08945BMCC/ref=sr_1_29?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856523&s=kitchen&sr=1-29"
"Average Sales Rank: 128","","3","LED Night Light Plug in Walls with Dusk to Dawn Photocell Sensor & Brightness Adjustable 2700K Warm White Lamp Babyliya Auto Sensor Night Lighting for Kids/Children Stairs Hallway Kitchen Bedroom","Babyliya","5.09","4269","142","21729","07/17/2020","2.13","3602","4.7","2.96","8","Lighting","B08D63NJ1G","https://www.amazon.co.uk/Photocell-Brightness-Adjustable-Babyliya-Lighting/dp/B08D63NJ1G/ref=sr_1_30?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856523&s=kitchen&sr=1-30"
"Average Price: £12.05","","4","TV Wall Bracket Swivels Tilts Extends Full Motion TV Wall Mount for Most 37-70 Inch Flat&Curved TVs Holds up to 60kg VESA 600x400mm","PERLESMITH","29.74","3978","132","118306","08/28/2019","23.01","4278","4.7","6.73","52","Electronics & Photo","B07TTS7T3R","https://www.amazon.co.uk/Bracket-Swivels-Extends-Motion-600x400mm-Black/dp/B07TTS7T3R/ref=sr_1_31?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856523&s=kitchen&sr=1-31"
"Average Reviews: 8,917","","5","Dreamegg White Noise Machine D11 Portable Sound Machine with Night Light for Baby Kids Adults 11 Soothing Sounds Therapy for Sleeping Nursery Travel USB Rechargeable Continuous or Timer Child Lock","Dreamegg","27.99","1308","43","36611","11/10/2020","21.53","953","4.7","6.46","122","Baby Products","B08DJ34WT8","https://www.amazon.co.uk/Dreamegg-Portable-Soothing-Rechargeable-Continuous/dp/B08DJ34WT8/ref=sr_1_32?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856523&s=kitchen&sr=1-32"
"","","6","Command Small and Medium Picture Hanging Strips Envelope Pack Containing 10 x Small Pairs and 8 x Medium Pairs","Command","9.49","8873","295","84205","10/23/2018","7.28","25325","4.6","2.21","38","DIY & Tools","B07H54NZ34","https://www.amazon.co.uk/Command-PH203-18NA-Hanging-Strips-White/dp/B07H54NZ34/ref=sr_1_33?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856523&s=kitchen&sr=1-33"
"","","7","6 Pack Easy Clean Nanoscale Cloth Lint Free Super Absorbent Microfiber Polishing Cleaning Cloth Reusable Microfiber Dish Cleaning Cloths Without Leaving Marks for Home Cleaning","PopManko","10.58","2731","91","28894","03/23/2021","7.91","138","4.6","2.67","429","Home & Kitchen","B08ZSN77MK","https://www.amazon.co.uk/Nanoscale-Absorbent-Microfiber-Polishing-Cleaning/dp/B08ZSN77MK/ref=sr_1_34?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856523&s=kitchen&sr=1-34"
"","","8","3M Command Picture Hanging Strips  Removable Hanging Strips for Large Picture Frames  Value Pack - 4 Pairs (Medium) 8 Pairs (Large)","3M","5.80","7518","250","43604","10/14/2014","2.88","16817","4.6","2.92","19","DIY & Tools","B00OI6F67O","https://www.amazon.co.uk/Command-Picture-Hanging-Strips-Removable/dp/B00OI6F67O/ref=sr_1_25?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856523&s=kitchen&sr=1-25"
"","","9","Wham Non-Stick Baking Tray (Set of 3 (32x23x1.5 cm))","Wham","7.79","2372","79","18478","04/02/2021","...","1189","4.4","","444","Home & Kitchen","B0821R4M1F","https://www.amazon.co.uk/Wham-Premium-Bakeware-Triple-Pack/dp/B0821R4M1F/ref=sr_1_26?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856523&s=kitchen&sr=1-26"
"","","10","Eco Bag 50 Heavy Duty Refuse Sacks Black 1x","Eco Bag","6.18","3097","103","19139","08/07/2013","1.95","4931","4.7","4.23","15","Home & Kitchen","B00EDMABPU","https://www.amazon.co.uk/Eco-Bag-Heavy-Refuse-Sacks/dp/B00EDMABPU/ref=sr_1_30?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856523&s=kitchen&sr=1-30"
"","","11","Kidde Carbon Monoxide Alarm","Kidde","13.98","3382","112","47280","05/24/2013","10.06","22412","4.8","3.92","163","DIY & Tools","B00CXLMGVK","https://www.amazon.co.uk/Life-Saver-Carbon-Monoxide-Alarm/dp/B00CXLMGVK/ref=sr_1_31?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856523&s=kitchen&sr=1-31"
"","","12","Command Picture & Frame Hanging Strips Value Pack Large White 12-Pairs (17206-12 (17206-12ES)","Command","8.49","20324","677","172551","10/12/2014","6.4","27085","4.6","2.09","7","DIY & Tools","B00LOQMCDM","https://www.amazon.co.uk/Command-17206-12ES-Picture-Hanging-Strips/dp/B00LOQMCDM/ref=sr_1_32?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856523&s=kitchen&sr=1-32"
