"Export date: 7/10/2021, 12:29:36 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Spray Bottles Mist 2 pack 300 ml - water hair plant household cleaning bottle spray plastic small garden empty mister pressure curly hair travel house flowers liquid reusable black plants flower","STERLAIN","3.99","347","52","1385","03/06/2020","1.2","38","4.6","2.79","1183","Home & Kitchen","B07T8S5JHK","https://www.amazon.co.uk/Spray-Bottles-Mist-pack-300/dp/B07T8S5JHK/ref=sr_1_616?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858884&s=kitchen&sr=1-616"
"Average Sales: 1,750","","2","Microfibre Mop Spray Floor Mop with Spray for Floor Cleaning -MEXERRIS Cleaning Mops For Hard Floors Hardwood Laminate Tiles Floors Wet Mop Dust Mops with 3 Washable Replacement Pads & 410ML Bottle","MEXERRIS","24.99","1494","43","37335","08/27/2020","","749","4.4","","1206","Grocery","B08GR52X1P","https://www.amazon.co.uk/MEXERRIS-Microfiber-Cleaning-Refillable-360%C2%B0Rotatable/dp/B08GR52X1P/ref=sr_1_617?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858884&s=kitchen&sr=1-617"
"Average Sales Rank: 2,178","","3","Merriway BH02251 Ball Type Bath Chain with S Hook 450mm (18 inch) - Chrome Plated","Merriway","1.59","548","19","871","09/22/2014","-0.04","1063","4.4","1.63","2503","DIY & Tools","B00O7P11T8","https://www.amazon.co.uk/Bulk-Hardware-BH02251-Chain-450mm/dp/B00O7P11T8/ref=sr_1_618?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858884&s=kitchen&sr=1-618"
"Average Price: £11.79","","4","(NOT for Waterdrop's Jugs) Compatible with All Brita Maxtra+ Jug Brita Kettle Universal Filter Cartridge TÜV SÜD NSF Certified (6)","Waterdrop","15.99","4729","141","75617","07/15/2018","11.36","10529","4.1","4.63","199","Home & Kitchen","B07FLYLSW9","https://www.amazon.co.uk/Waterdrop-Certified-Catridge-Compatible-Elemaris/dp/B07FLYLSW9/ref=sr_1_619?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858884&s=kitchen&sr=1-619"
"Average Reviews: 2,416","","5","Lav (Set of 6) Hot Drink Mugs/Coloured Base Tea Coffee Latte Cappuccino Glasses/Glass Drink Cups /(225 cc / 7.5 oz)","LAV","11.49","562","16","6457","09/16/2019","7.55","1071","4.5","3.94","6847","Home & Kitchen","B07XZFRSGZ","https://www.amazon.co.uk/Drink-Coloured-Coffee-Cappuccino-Glasses/dp/B07XZFRSGZ/ref=sr_1_620?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858884&s=kitchen&sr=1-620"
"","","6","Funny Rude Leaving Card | Cards for New Job | Sweary Farewell Coworker Colleague | Good Luck Congratulations | Leaving Job Gifts & Presents | 15cm","Felbridge Studio","3.99","1443","55","5758","03/13/2021","2.78","92","4.8","1.21","505","Stationery & Office Supplies","B08YWBLFCJ","https://www.amazon.co.uk/Farewell-Coworker-Colleague-Congratulations-Presents/dp/B08YWBLFCJ/ref=sr_1_633?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858938&s=kitchen&sr=1-633"
"","","7","Elliott 10F17898 Wooden Pegs Hardwood 36 Pack","Elliott","3.87","1452","20","5619","08/20/2018","1.07","224","4.5","2.8","4929","Home & Kitchen","B07GNSK3J7","https://www.amazon.co.uk/Drawstring-Sunrise-Sunbeams-Through-Treestime/dp/B07GNSK3J7/ref=sr_1_634?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858938&s=kitchen&sr=1-634"
"","","8","Ikea FISKBO White 30x40cm Photo Frame - Set of 2","Ikea","10.27","547","18","5618","09/23/2018","6.52","1105","4.3","3.75","4642","Home & Kitchen","B07P74TSD8","https://www.amazon.co.uk/Ikea-FISKBO-White-30x40cm-Photo/dp/B07P74TSD8/ref=sr_1_625?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858938&s=kitchen&sr=1-625"
"","","9","Design Group Monochrome Jungle Magnetic Refrigerator Shopping List Pad","DESIGN GROUP","2.40","729","20","1750","04/28/2021","0.98","1020","4.2","1.42","5045","Home & Kitchen","B07Z849Z9S","https://www.amazon.co.uk/Design-Group-Monochrome-Magnetic-Refrigerator/dp/B07Z849Z9S/ref=sr_1_626?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858938&s=kitchen&sr=1-626"
"","","10","Silvine A4 Children's Value Drawing Pad. 20 sheets of 80gsm Bulky Drawing Paper (210 x 297mm)","Other","0.99","5704","194","5647","01/31/2007","-0.31","6540","4.6","1.3","51","Stationery & Office Supplies","B000N3YFBE","https://www.amazon.co.uk/Silvine-Childrens-Drawing-Size-Sheet/dp/B000N3YFBE/ref=sr_1_627?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858938&s=kitchen&sr=1-627"
"","","11","EKMON Silicone Toilet Brush Bathroom Silicone Toilet brushes and holdersToilet Bowl Clean Brush with No-Slip Long Plastic Handle & Drain Quick Drying Holder Toilet Brush Kit- White","EKMON","6.79","846","28","5744","09/03/2020","3.57","251","4.3","3.22","383","Home & Kitchen","B08HCF48RT","https://www.amazon.co.uk/EKMON-Silicone-Bathroom-brushes-holders/dp/B08HCF48RT/ref=sr_1_628?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858938&s=kitchen&sr=1-628"
"","","12","Beaeet LED Strip Lights 10mMusic Sync Bluetooth Strips with App Remote Control Smart Changing Color RGB LED Light for Bedroom Home TV Party","Beaeet","17.99","777","25","13978","03/04/2021","13.06","109","4.8","4.93","539","Lighting","B08XYZ1KD6","https://www.amazon.co.uk/Beaeet-Bluetooth-Control-Changing-Bedroom/dp/B08XYZ1KD6/ref=sr_1_629?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858938&s=kitchen&sr=1-629"
