"Export date: 7/10/2021, 12:45:43 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","LED Strip Lights Ksipze 10m RGB LED Light Strip with Remote Colour Changing SMD 5050 LED Room Lights for TV Kitchen Home Party Christmas Decoration Bright LEDs Strong Adhesive (5Mx2)","KSIPZE","12.72","4396","180","55917","03/06/2020","8.59","3120","4.5","4.13","16","Lighting","B085L4THXX","https://www.amazon.co.uk/Changing-Bedroom-Christmas-Decoration-Lighting/dp/B085L4THXX/ref=sr_1_788?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859750&s=kitchen&sr=1-788"
"Average Sales: 1,674","","2","Reynolds Freezer Paper Plastic Coated 50 Sq Ft - White","Reynolds Freezer Paper","6.08","371","15","2256","07/03/2010","2.97","4248","4.8","3.11","7375","Home & Kitchen","B00EME5KZ0","https://www.amazon.co.uk/Reynolds-Freezer-Paper-Plastic-WRAPPING/dp/B00EME5KZ0/ref=sr_1_797?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859914&s=kitchen&sr=1-797"
"Average Sales Rank: 4,215","","3","Sewing KitAUERVO Small Sewing Kit 113 Piece Sewing Accessories with Zipper Case for HomeTravelEmergencyAdults and Beginnerswith MendingScissorsNeedles and Thread Kits Tape Measure etc","AUERVO","7.64","858","41","6555","09/09/2020","4.26","620","4.6","3.38","1749","Home & Kitchen","B08HQD6Y36","https://www.amazon.co.uk/AUERVO-Accessories-Emergency-Beginners-Scissors/dp/B08HQD6Y36/ref=sr_1_798?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859914&s=kitchen&sr=1-798"
"Average Price: £10.50","","4","Paladone Henry Hoover Desk Vacuum-Novelty Desktop Cleaner","Paladone","14.99","419","12","6281","12/05/2008","10.52","1597","3.9","4.47","10383","Home & Kitchen","B00KRG8BPS","https://www.amazon.co.uk/Desktop-Henry-Cleaner-Miniature-Computer/dp/B00KRG8BPS/ref=sr_1_799?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859914&s=kitchen&sr=1-799"
"Average Reviews: 3,278","","5","Puckator OD01 Glass Oil Burner Dish 10 x 10 x 4 cm Mixed Diameter 11.5cm","Puckator","3.15","466","8","1468","08/14/2014","0.46","591","4.6","2.69","16168","Home & Kitchen","B00KW6F6VU","https://www.amazon.co.uk/Puckator-OD01-Glass-Burner-Dish/dp/B00KW6F6VU/ref=sr_1_800?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859914&s=kitchen&sr=1-800"
"","","6","EraDyna Acrylic Paint Pens for Arts and Craft. Art Set of 18 Water-based Permanent Markers for Glass Paint. Marker Pens for Ceramic Canvas Wood and Rock Painting - Medium Dual-Tip Paint Pens.","EraDyna","12.99","618","21","8028","01/26/2021","8.79","21","4.9","4.2","4763","Home & Kitchen","B08V1FZCLC","https://www.amazon.co.uk/EraDyna-Acrylic-Water-based-Permanent-Painting/dp/B08V1FZCLC/ref=sr_1_801?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859914&s=kitchen&sr=1-801"
"","","7","NESCAF Original Instant Coffee Granules 1 kg","NESCAF Original","20.29","3276","134","66470","10/23/2013","14.54","2017","4.8","5.75","196","Grocery","B01B53BPCM","https://www.amazon.co.uk/NESCAF%C3%89-Original-Coffee-1-kg/dp/B01B53BPCM/ref=sr_1_802?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859914&s=kitchen&sr=1-802"
"","","8","Galaxy Projector Night Light Star Projector 3 in 1 Led Light Projector with Bluetooth Music Speaker and White Noise Remote Control & Automatic Timer for Bedroom Party Decor Kids Adults Gift","JBonest","11.99","122","5","1463","04/27/2021","7.98","2","3","4.01","3433","Lighting","B093GBFR1X","https://www.amazon.co.uk/Projector-Bluetooth-Speaker-Control-Automatic/dp/B093GBFR1X/ref=sr_1_803?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859914&s=kitchen&sr=1-803"
"","","9","Novelty Place [Large Size] Inflatable Ice Serving Buffet Bar with Drain Plug - Salad Food & Drinks Tray for Party Picnic & Camping (Pack of 1)","Novelty Place","11.95","223","16","2665","03/23/2018","7.91","3094","4.6","4.04","7072","Home & Kitchen","B01NBXE2YN","https://www.amazon.co.uk/Novelty-Place-Inflatable-Serving-Buffet/dp/B01NBXE2YN/ref=sr_1_804?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859914&s=kitchen&sr=1-804"
"","","10","Sapphire Collection 800 Thread Count Pure Egyptian Cotton Super Soft Hotel Quality White Oxford Pair Of Pillowcase","Sapphire Collection","9.95","564","18","5612","12/25/2017","7.38","922","4.6","2.57","5677","Home & Kitchen","B078LZ5X1T","https://www.amazon.co.uk/Sapphire-collection-Egyptian-Quality-Pillowcase/dp/B078LZ5X1T/ref=sr_1_805?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859914&s=kitchen&sr=1-805"
