"Export date: 7/9/2021, 11:56:43 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Zebra Grip Black Ballpoint Pens Pack of 10 107142501","Zebra","2.50","10476","408","26190","08/17/2009","1.07","6512","4.7","1.43","7","Stationery & Office Supplies","B000KN2B4A","https://www.amazon.co.uk/Zebra-01951-Z-Grip-Ballpoint-Pen/dp/B000KN2B4A/ref=sr_1_52?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856955&s=kitchen&sr=1-52"
"Average Sales: 5,456","","2","PePeng 18' Triangle Metal BBQ Grill Cleaning Brush Heavy Duty 3-Branch Stainless Steel Barbecue Bristles Cleaner for Easier and Effective Clean","PePeng","7.99","3337","127","26663","07/08/2016","4.45","3480","4.6","3.54","138","Garden & Outdoors","B01I942ODY","https://www.amazon.co.uk/PePeng-Triangle-Cleaning-Stainless-Effective/dp/B01I942ODY/ref=sr_1_53?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856955&s=kitchen&sr=1-53"
"Average Sales Rank: 166","","3","ANSIO Dehumidifier Pack of 10 x 500ml Condensation Remover Moisture Absorber Dehumidifiers for Damp Mould Moisture in Home Kitchen Wardrobe Bedroom Caravan Office Garage Bathroom Basement 500 ml Pack of 10","ANSIO","13.98","3777","168","52802","09/12/2015","9.66","6949","4.5","4.32","139","Home & Kitchen","B015AOGP1S","https://www.amazon.co.uk/ANSIO-Dehumidifier-Condensation-Moisture-Dehumidifiers/dp/B015AOGP1S/ref=sr_1_54?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856955&s=kitchen&sr=1-54"
"Average Price: £8.58","","4","Gorilla Tape Duct Tape Black 48mm x 11m","Gorilla","4.79","6611","275","31667","07/09/2007","2.02","5881","4.7","2.77","36","DIY & Tools","B001W030HC","https://www.amazon.co.uk/Gorilla-J0016-Tape-11m/dp/B001W030HC/ref=sr_1_55?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856955&s=kitchen&sr=1-55"
"Average Reviews: 7,726","","5","Method Antibacterial Spray All Purpose Cleaner Wild Rhubarb 828 ml","Method","2.10","11119","356","23350","02/17/2017","-0.4","11501","4.8","2.5","15","Grocery","B06XPMH32M","https://www.amazon.co.uk/Method-All-Purpose-Cleaner-Rhubara/dp/B06XPMH32M/ref=sr_1_56?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856955&s=kitchen&sr=1-56"
"","","6","Rolson 61310 Felt Pads 25 mm - 48 Pieces","Rolson","2.85","2307","101","6575","06/24/2013","0.32","9234","4.5","2.53","214","DIY & Tools","B00DQ7B7PQ","https://www.amazon.co.uk/Rolson-61310-Felt-Pads-25/dp/B00DQ7B7PQ/ref=sr_1_57?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856955&s=kitchen&sr=1-57"
"","","7","Invision TV Wall Bracket Mount for 24-55 Inch Screens VESA 100x100mm up to 400x400mm Tilts Swivels & Extends for Flat & Curved TVs Includes Spirit Level Weight Capacity 36.2kg [HDTV-E]","Invision","22.99","7161","240","164631","06/26/2015","17.29","24135","4.7","5.7","29","Electronics & Photo","B010G6972O","https://www.amazon.co.uk/Invision%C2%AE-Ultra-Swivel-Bracket-Mount/dp/B010G6972O/ref=sr_1_58?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856955&s=kitchen&sr=1-58"
"","","8","Wham Bam 4.02 Cool Grey Plastic Studio Storage Baskets Office Home & Kitchen Tidy Organiser 25.5 x 17 x 11cm (5 Baskets)","Wham Bam","9.49","3874","133","36764","04/29/2021","5.86","1971","4.6","3.63","223","Home & Kitchen","B07RXZ2XH4","https://www.amazon.co.uk/Wham-Bam-Plastic-Storage-Organiser/dp/B07RXZ2XH4/ref=sr_1_59?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856955&s=kitchen&sr=1-59"
"","","9","Kärcher 500 ml Glass Cleaning Concentrate for Window Vac","Kärcher","5.00","2738","91","13690","08/08/2012","2.05","9214","4.7","2.95","398","Grocery","B00C2S95YA","https://www.amazon.co.uk/K%C3%A4rcher-Glass-Cleaning-Concentrate-Window/dp/B00C2S95YA/ref=sr_1_60?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856955&s=kitchen&sr=1-60"
"","","10","Yiouou Piping Bags and Nozzles Set 9 Pcs Cake Decorating Supplies Kit with 2 Silicone Icing Piping Cream Pastry Bag and 6 Piping nozzles1Coupler for Cake DIY","Yiouou","3.88","2949","119","11442","09/01/2020","2.24","1264","4.4","1.64","274","Home & Kitchen","B08H5SK23D","https://www.amazon.co.uk/Yiouou-Decorating-Supplies-Silicone-1Coupler/dp/B08H5SK23D/ref=sr_1_64?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856955&s=kitchen&sr=1-64"
