"Export date: 7/10/2021, 12:09:30 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","HG Glass & Mirror Spray 500 ml-Streak-Free Cleaner-Removes Grease and Dirt from Glass and Mirrors Quickly","HG","3.07","5667","188","17398","09/20/2006","0.42","4861","4.6","2.65","77","Home & Kitchen","B000IU3W7K","https://www.amazon.co.uk/HG-streak-free-cleaner-removes-quickly/dp/B000IU3W7K/ref=sr_1_412?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857732&s=kitchen&sr=1-412"
"Average Sales: 1,856","","2","121Pcs Olive Green Balloon Garland Arch Kit White Gold Confetti Balloons Retro Green Balloon and Gold Metallic Latex Balloons for Wedding Birthday Balloons Boy/Girl Baby Shower Decorations","QIFU","13.98","1637","52","22885","12/25/2020","9.66","53","4.1","4.32","559","Toys & Games","B08R9NRYBB","https://www.amazon.co.uk/Confetti-Balloons-Metallic-Birthday-Decorations/dp/B08R9NRYBB/ref=sr_1_413?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857732&s=kitchen&sr=1-413"
"Average Sales Rank: 3,580","","3","Busy Bees Stemless Gin Cocktail Glass Tumbler","The Leonardo Collection","8.00","566","18","4528","03/11/2021","4.67","419","4.8","3.42","3584","Home & Kitchen","B07YYCW25N","https://www.amazon.co.uk/Busy-Stemless-Cocktail-Glass-Tumbler/dp/B07YYCW25N/ref=sr_1_414?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857732&s=kitchen&sr=1-414"
"Average Price: £10.77","","4","YQL Coffee Filter Papers 200PCS V-Shaped Disposable Unbleached Filter Papers Size 2 for V60 Coffee Dripper Cones/Pour Over Coffer Makers(2-4 Cups)","YQL","8.99","398","13","3578","05/12/2021","5.43","4","3.4","3.56","6205","Home & Kitchen","B094VR2L5V","https://www.amazon.co.uk/YQL-V-Shaped-Disposable-Unbleached-Dripper/dp/B094VR2L5V/ref=sr_1_415?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857732&s=kitchen&sr=1-415"
"Average Reviews: 2,069","","5","BEDSURE Cotton Sofa Throw Blanket - Waffle Throws for the Sofa Couch Chair and Bed 100% Cotton Light Grey Double 150x200cm","Bedsure","21.99","1064","35","23397","03/05/2021","15.6","1502","4.7","5.39","5121","Home & Kitchen","B08X2GHPRS","https://www.amazon.co.uk/BEDSURE-Cotton-Sofa-Throw-Blanket/dp/B08X2GHPRS/ref=sr_1_416?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857732&s=kitchen&sr=1-416"
"","","6","MARTHA&IVAN Artificial Ivy  6 Pack 40Ft Fake Ivy Garland Decorations Fake Plants Fake Vine Vine Decoration for Wedding Party Garden Home Decoration (6 Pack Ivy)","MARTHA&IVAN","6.73","3967","132","26698","08/02/2019","3.52","3744","4.5","3.21","62","Home & Kitchen","B08N4PHYGT","https://www.amazon.co.uk/MARTHA-IVAN-Artificial-Ivy-Decorations/dp/B08N4PHYGT/ref=sr_1_417?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857732&s=kitchen&sr=1-417"
"","","7","Aigostar Waffle Maker Machine Rotatable Waffle Iron with Non-Stick Coating Deep Cooking Plates Adjustable Temperature Control Belgian American Sweet Savoury Homemade Waffle Maker 950W - Leon 30RRI","Aigostar","36.99","623","20","23045","10/08/2020","29.15","30","4.6","7.84","4638","Home & Kitchen","B08KW5MJX4","https://www.amazon.co.uk/Aigostar-Rotatable-Non-Stick-Adjustable-Temperature/dp/B08KW5MJX4/ref=sr_1_418?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857732&s=kitchen&sr=1-418"
"","","8","Price's Candles Citronella Tealights Pack of 25 (Citronella Range)","Price's","2.30","3858","128","8873","04/07/2011","0.19","3747","4.4","2.11","354","Home & Kitchen","B003VJSCL6","https://www.amazon.co.uk/dp/B003VJSCL6"
"","","9","Rigid Paper Fibre Face Mask Pack 10","Major Brushes","9.50","419","13","3981","07/11/2017","...","355","4.6","","2479","Toys & Games","B073VP4CRY","https://www.amazon.co.uk/dp/B073VP4CRY"
"","","10","VersionTECH. Hand Held FanPortable Handheld USB Rechargeable Fans with 3 SpeedsBattery Operated Electric Powered Mini FanFoldable Desk Desktop Fans for Home Office Ceiling Travel Ceiling Black","VersionTECH","7.99","8549","284","68307","03/29/2018","4.59","6335","4.8","3.4","20","Home & Kitchen","B07BT18FFP","https://www.amazon.co.uk/dp/B07BT18FFP"
"","","11","Electric Lighter Flameless Safety Fire Lighter Candle Lighter Rechargeable Arc Lighter for Safety Switch Safety Long Lighter for BBQ Kitchen Camping gas stove (Red)","EdorReco","5.50","1338","44","7359","03/12/2021","3.61","511","4.6","1.89","849","Home & Kitchen","B08R42YJ2D","https://www.amazon.co.uk/dp/B08R42YJ2D"
"","","12","eBoutik - Large England St Georges Flag - Hanging Wall/Room Decorations Home Party Supplies For Football & Sports Events (90cm x 150cm Flag)","eBoutik","9.99","1140","15","11389","06/21/2021","7.08","0","","2.91","7832","Home & Kitchen","B097MV4CJZ","https://www.amazon.co.uk/eBoutik-England-Decorations-Supplies-Football/dp/B097MV4CJZ/ref=sr_1_413?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857732&s=kitchen&sr=1-413"
"","","13","Coffee Maker Filter Coffee Machine Aicook 12 Cup Programmable Coffee Maker with Timer Carafe Anti-Drip System Permanent Reusable Filter Black and Silver.","AICOOK","29.99","336","11","10077","09/14/2018","23.22","755","4.5","6.77","9239","Home & Kitchen","B07QQZ6K2D","https://www.amazon.co.uk/dp/B07QQZ6K2D"
"","","14","Chuckle - Holding Hands 3D Keepsake Casting Model Kit - Gold Paint","Chuckle","22.49","332","11","7467","12/22/2020","16.87","70","4.2","5.62","14398","Home & Kitchen","B08R69BQ2T","https://www.amazon.co.uk/dp/B08R69BQ2T"
"","","15","KEPLIN Vacuum Storage Bags Pack of 6 80cm x 100cm (80% MORE Compression) Best Sealer Bags for Clothes Duvets Bedding Pillows Blankets Curtains","KEPLIN","11.99","690","23","8273","02/05/2021","...","3043","4.2","","3778","Home & Kitchen","B08W2236BC","https://www.amazon.co.uk/dp/B08W2236BC"
"","","16","Renshaw Rolled Fondant Extra 250 g (Pack of 1) - Natural White R02872","Renshaw","3.32","15","0","50","12/10/2014","1.76","1065","4.6","1.56","14366","Grocery","B00JAE5U0M","https://www.amazon.co.uk/dp/B00JAE5U0M"
"","","17","10-Piece Stainless Steel Kitchen Utensil Set - Non-Stick Heat Resistant Cooking Utensils Set and Holder Spoons Tongs Turner Server Ladle Whisk Masher - Sleek Kitchen Tools Set with Utensil Pot","FineDine","12.49","2129","70","26591","08/28/2019","8.4","7730","4.6","4.09","315","Home & Kitchen","B07WZX4K48","https://www.amazon.co.uk/dp/B07WZX4K48"
"","","18","Happy Birthday Banners Birthday Banner for Decoration with 6 Gold Latex Confetti Balloons perfect for Bunting Birthday Decorations (Pink White Green)","Volsha","3.80","409","13","1554","05/06/2021","2.17","1","5","1.63","4684","Toys & Games","B0948SCZC1","https://www.amazon.co.uk/dp/B0948SCZC1"
"","","19","VEHHE 20 Pack Reusable Food Storage Bags (2 Gallon Reusable Freezer Bags + 6 Reusable Sandwich Bags + 6 Reusable Ziplock Bags + 6 Snack Bags) Leakproof Lunch Bags for Travel Jewelry Make-Up","VEHHE","12.79","848","28","10846","08/07/2020","8.65","548","4.6","4.14","1749","Home & Kitchen","B08FD533H4","https://www.amazon.co.uk/dp/B08FD533H4"
"","","20","Ashley BB-CB112 8-Inch Metal Cash Box with 2 Keys - Color May Vary","Ashley","8.68","825","27","7161","03/25/2007","5.17","2693","4.6","3.51","955","Stationery & Office Supplies","B000OTPWNC","https://www.amazon.co.uk/dp/B000OTPWNC"
"","","21","Q Connect 89x36mm Self-Adhesive Address Label (Roll of 250)-White","Q-CONNECT","2.50","4294","143","10735","01/01/2003","-0.06","5002","4.7","2.56","90","Stationery & Office Supplies","B00CJRLBPK","https://www.amazon.co.uk/dp/B00CJRLBPK"
