"Export date: 7/10/2021, 12:06:02 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Bostik Extra Strength Sticki Dots 10mm Pack of 64 - Color: Clear","Bostik","2.19","814","39","1783","09/17/2020","1.25","2050","4.3","0.94","1877","Home & Kitchen","B01H2T5ENE","https://www.amazon.co.uk/Bostik-Extra-Strength-Sticki-Dots/dp/B01H2T5ENE/ref=sr_1_305?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857475&s=kitchen&sr=1-305"
"Average Sales: 1,630","","2","Essential Oil Diffuser Remote Control Ultrasonic Aroma Diffuser Essential Oils Whisper Quiet Mist Humidifiers with 7 Color Lamps and Waterless Auto Shut-Off","Diffuserlove","29.99","347","17","10407","02/01/2021","23.22","45","4.5","6.77","4619","Health & Personal Care","B08TWDSXDC","https://www.amazon.co.uk/Essential-Diffuser-Ultrasonic-Humidifiers-Waterless/dp/B08TWDSXDC/ref=sr_1_306?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857475&s=kitchen&sr=1-306"
"Average Sales Rank: 4,976","","3","Balloon Garland Kit Arch MMTX 106pcs Pink Balloon Arch Kit Gold Balloons white Orange Balloons for Girls Birthday Party Bridal Baby Shower Wedding Party Decorations","MMTX","12.69","523","24","6637","05/07/2021","8.57","5","3.7","4.12","1833","Toys & Games","B093H3V25P","https://www.amazon.co.uk/Balloon-MMTX-Balloons-Birthday-Decorations/dp/B093H3V25P/ref=sr_1_307?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857475&s=kitchen&sr=1-307"
"Average Price: £12.09","","4","Vileda Cordomatic 15 Metre Automatic Retractable Clothes Line - Retractable washing line Indoor washing line outdoor washing line","Vileda","12.30","4054","113","49864","06/11/2011","","1613","4.4","","305","Home & Kitchen","B07F7GPV6J","https://www.amazon.co.uk/Vileda-Cordomatic-Automatic-Retractable-Clothes/dp/B07F7GPV6J/ref=sr_1_91?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-91"
"Average Reviews: 1,488","","5","R Backflow Incense Holder Waterfall Incense Burner Ceramic Aromatherapy Ornament Home Decor with 120 Backflow Incense Cones + 30 Incense Stick BlueB07ZQDYMTY","SPACEKEEPER","18.69","2072","270","38726","10/29/2019","13.65","6053","4","5.04","50","Home & Kitchen","SPACEKEEPE","https://www.amazon.co.uk/SPACEKEEPER-Backflow-Waterfall-Aromatherapy-Ornament/dp/B07ZQDYMTY/ref=sr_1_319?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857526&s=kitchen&sr=1-319"
"","","6","2 Pcs Window Squeegees and One Microfiber Window Scrubber Window Cleaning Combo Shower Screen Wiper Cleaner Scraper Washer Wiper Squeegees for Mirror Floor Glass Bathroom Window","MingXing","7.99","141","5","1127","04/26/2021","4.59","3","5","3.4","28843","Home & Kitchen","B093GWYNJ4","https://www.amazon.co.uk/Squeegees-Microfiber-Scrubber-Cleaning-Bathroom/dp/B093GWYNJ4/ref=sr_1_320?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857526&s=kitchen&sr=1-320"
"","","7","200pcs Googly Wobbly Wiggly Stick On Eyes Children Kid Craft Arts","The Box","1.74","1145","40","1992","10/26/2018","","476","3.5","","1828","Home & Kitchen","B07JPLTDBY","https://www.amazon.co.uk/200pcs-Googly-Wobbly-Adhesive-Children/dp/B07JPLTDBY/ref=sr_1_321?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857526&s=kitchen&sr=1-321"
"","","8","Cleaning Cloth6 Pack Lint Free Cleaning Nanoscale Cloth Fish Scale Cleaning Cloths Reusable Absorbent Polishing Microfiber Dish Cleaning Cloth for HomeKitchen-(30 x 40cmRandom Color)","EXGOX","7.59","1040","50","7894","05/11/2021","5.05","39","4.5","2.54","1276","Home & Kitchen","B094NC6PCR","https://www.amazon.co.uk/Cleaning-Nanoscale-Absorbent-Polishing-Microfiber/dp/B094NC6PCR/ref=sr_1_322?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857526&s=kitchen&sr=1-322"
"","","9","Twinneal Macrame Cord 3mm x 100m (328ft) - 4 Strand Twisted Natural Cotton Rope for Plant Hangers Wall Hangings Knitting and DIY Craft Projects","Twinneal","7.99","420","18","3356","11/19/2020","4.59","32","5","3.4","6095","Home & Kitchen","B08NW4PG3D","https://www.amazon.co.uk/Twinneal-Macrame-Cord-100m-328ft/dp/B08NW4PG3D/ref=sr_1_313?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857526&s=kitchen&sr=1-313"
"","","10","Tommee Tippee Groclock Toddler Sleep Trainer Ollie the Owl","Tommee Tippee","19.99","2499","53","49955","06/29/2020","14.75","369","4.4","5.24","254","Baby Products","B08BD83QZZ","https://www.amazon.co.uk/Tommee-Tippee-Groclock-Toddler-Trainer/dp/B08BD83QZZ/ref=sr_1_92?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-92"
