"Export date: 7/9/2021, 11:58:25 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"","","12","12 HB Pencils for Children | Pencils for School | Kids Writing Pencils | Hexagonal | Wood Cased | Everyday Office use (Black Lead 12)","12PA","1.99","2830","107","5632","09/22/2020","0.64","521","4.8","1.35","169","Stationery & Office Supplies","B08JPWM5QL","https://www.amazon.co.uk/Pencils-Children-Writing-Hexagonal-Everyday/dp/B08JPWM5QL/ref=sr_1_31?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856902&s=kitchen&sr=1-31"
"","","13","Fomoyi Mini Silent Alarm Clocks Non Ticking Battery Powered Clocks with Large Display and Snooze Light Function for Bedroom Home Office Travel","Fomoyi","7.99","304","10","2429","06/02/2021","4.56","2","3","3.43","12215","Home & Kitchen","B096F9VKLB","https://www.amazon.co.uk/Fomoyi-Ticking-Battery-Powered-Function/dp/B096F9VKLB/ref=sr_1_105?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-105"
"","","14","rabofly Premium Vacuum Storage Bags - Pack of 8 (2 Jumbo + 2 Large + 2 Medium + 2 small) Double Zip Seal Reusable for Duvets Bedding Pillows Clothes Quilts Sweater Comforters Suitcases","rabofly","11.89","2632","237","31294","10/15/2019","7.89","3004","4.4","4","67","Home & Kitchen","B07Z612CYS","https://www.amazon.co.uk/rabofly-Premium-Vacuum-Storage-Bags/dp/B07Z612CYS/ref=sr_1_106?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-106"
"","","15","WenTop Led Strip Lights with Remote 10m Ultra-Long RGB LED Lights for Bedroom Home Wall Ceiling Festival Party SMD 5050 Multi Colour Lights Strips Kit","WenTop","12.73","6575","297","83700","09/14/2019","8.6","8964","4.4","4.13","3","Lighting","B07XXTGR82","https://www.amazon.co.uk/WenTop-Multi-Color-Lighting-Festival-Decorative/dp/B07XXTGR82/ref=sr_1_32?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856902&s=kitchen&sr=1-32"
"","","16","Official Nescaf Dolce Gusto Durgol Descaling Kit - 2 Bottles x 125ml - Water Descaler","NESCAF","12.48","753","25","9397","11/05/2018","","587","4.5","","3615","Home & Kitchen","B07K6WFJHB","https://www.amazon.co.uk/Official-Nescaf%C3%A9-Dolce-Durgol-Descaling/dp/B07K6WFJHB/ref=sr_1_108?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-108"
"","","17","NUTRiBULLET Magic Bullet Deluxe Blender Mixer & Food Processor Silver","NUTRiBULLET","34.99","5966","203","208750","01/16/2014","27.46","7955","4.5","7.53","94","Home & Kitchen","B078H22NBQ","https://www.amazon.co.uk/NUTRiBULLET-Magic-Bullet-Blender-Processor/dp/B078H22NBQ/ref=sr_1_109?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-109"
"","","18"," Pop-Up Mesh Food Covers Tent Umbrella 6 Pack 12 inch Reusable and Collapsible Screen Net Protectors for Outdoors Parties Picnics BBQs Keep Out Flies Bugs MosquitoesB08VWMVWYS","WISDOMWELL","7.99","5704","190","45575","02/04/2021","4.56","1955","4.3","3.43","411","Home & Kitchen","WISDOMWELL","https://www.amazon.co.uk/WISDOMWELL-Umbrella-Collapsible-Protectors-Mosquitoes/dp/B08VWMVWYS/ref=sr_1_110?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-110"
"","","19","Frog Tape Green Multi Surface Painters Masking Tape Indoor Painting and Decorating For Sharp Lines and No Paint Bleed 36mm X 41.1m","Frog Tape","5.99","12308","410","73725","05/18/2011","3.05","14422","4.7","2.94","12","DIY & Tools","B007AS07UI","https://www.amazon.co.uk/dp/B007AS07UI"
"","","20","40ft Fabric Bunting 42pcs Outdoor Bunting BannerFloral Vintage Cotton Triangle Flag for Garden Birthday Party Outdoor Party Decoration (Pink)","N\C","11.99","557","17","6678","06/17/2021","7.95","1","5","4.04","2903","Toys & Games","B097D48SQP","https://www.amazon.co.uk/Bunting-Outdoor-Triangle-Birthday-Decoration/dp/B097D48SQP/ref=sr_1_115?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857069&s=kitchen&sr=1-115"
"","","21","50 Sheets of Large White Tissue Paper 20 x 30 inches MG Acid Free","Kite","3.35","3826","127","12817","10/25/2020","1.33","2004","4.6","2.02","204","Home & Kitchen","B08945BMCC","https://www.amazon.co.uk/dp/B08945BMCC"
"","","22","Kuyal Griddle Pan Non Stick Induction Base with Detachable Handle Compatible with Gas & Electric Hobs 28cm / 11-inch Square Pan Cast Aluminium","Kuyal","20.35","310","10","6309","05/12/2021","15.06","2","5","5.29","5073","Home & Kitchen","B094QY83H8","https://www.amazon.co.uk/dp/B094QY83H8"
"","","23","Masper Sunset Lamp Multicolored Sunset Lamp Projection 180 Flip 360 Rotation USB Powered with Remote Control Sunset Light Sunset Projection Lamp","Masper","23.99","330","11","7917","05/13/2021","18.14","19","4.3","5.85","510","Lighting","B092QR3QPQ","https://www.amazon.co.uk/dp/B092QR3QPQ"
"","","24","LED Night Light Plug in Walls with Dusk to Dawn Photocell Sensor & Brightness Adjustable 2700K Warm White Lamp Babyliya Auto Sensor Night Lighting for Kids/Children Stairs Hallway Kitchen Bedroom","Babyliya","5.09","4269","142","21729","07/17/2020","2.13","3597","4.7","2.96","5","Lighting","B08D63NJ1G","https://www.amazon.co.uk/dp/B08D63NJ1G"
