"Export date: 7/10/2021, 12:27:50 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","PME FF54 Fun Fonts Cupcake and Cookie Stamping Set-Collection 1","PME","17.80","1888","65","33606","09/18/2020","12.87","2534","4.6","4.93","819","Home & Kitchen","B08JH7L3X2","https://www.amazon.co.uk/PME-FF54-Cupcake-Stamping-Set-Collection/dp/B08JH7L3X2/ref=sr_1_580?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858829&s=kitchen&sr=1-580"
"Average Sales: 1,600","","2","Ravenhead 0040.902 Essentials Glass Vinegar Pot","Ravenhead","5.37","749","27","4022","06/29/2014","2.37","1923","4.6","3","3371","Home & Kitchen","B00LDLBG3A","https://www.amazon.co.uk/Ravenhead-Essentials-Glass-Vinegar-Bottle/dp/B00LDLBG3A/ref=sr_1_581?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858829&s=kitchen&sr=1-581"
"Average Sales Rank: 6,184","","3","Clinell Universal Cleaning and Disinfecting Wipes for Home - 4 Packs of 70 XL Antimicrobial Wipes with Lock Lid - Kills 99.99% of Germs Effective from 10 Seconds","Clinell","9.29","3592","125","33370","02/26/2020","5.69","1141","4.8","3.6","29","Business Industry & Science","B0856DR1HF","https://www.amazon.co.uk/CLINELL-Universal-Disinfecting-Effective-Antimicrobial/dp/B0856DR1HF/ref=sr_1_582?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858829&s=kitchen&sr=1-582"
"Average Price: £9.44","","4","129 Pcs Blush Balloon Garland Arch Kit Peach Pastel Orange Rose Gold Gray White Balloons Confetti Metallic Latex Balloons for Girls Wedding Bridal Baby Shower Birthday Party Decorations","Amandir","13.99","208","7","2910","03/16/2021","9.67","7","3.7","4.32","21784","Home & Kitchen","B08Z3QB78Z","https://www.amazon.co.uk/Balloons-Confetti-Metallic-Birthday-Decorations/dp/B08Z3QB78Z/ref=sr_1_583?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858829&s=kitchen&sr=1-583"
"Average Reviews: 1,809","","5","MasterClass MCSGNWNT Fish Slice/Slotted Turner with Soft Grip Handle Non Stick Safe Nylon Black","MasterClass","5.49","515","13","2827","01/17/2019","2.47","754","4.4","3.02","9127","Home & Kitchen","B07MQF547H","https://www.amazon.co.uk/MasterClass-Slice-Slotted-Turner-Handle/dp/B07MQF547H/ref=sr_1_584?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858829&s=kitchen&sr=1-584"
"","","6","Diamond Steel 12 inch Professional Sharpening Steel for Master Chef Ideal for Kitchen Knife Cooking Knife Butchers and Japanese Knife Hunter or Home Gourmet Blade Sharpening Stick","NCAL","20.79","224","6","4657","03/03/2021","15.43","15","4.5","5.36","25156","Home & Kitchen","B08XXL23PP","https://www.amazon.co.uk/Diamond-Professional-Sharpening-Butchers-Japanese/dp/B08XXL23PP/ref=sr_1_585?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858829&s=kitchen&sr=1-585"
"","","7","Blue Planet Fancy Dress Bride to Be Tote Bag - White with Gold Writing (White Bride to Be) Hen Party Goody Bag Accessories Fillers","Blue Planet Fancy Dress","3.99","140","13","559","01/20/2017","","91","4.4","","8942","Home & Kitchen","B07N95VDVW","https://www.amazon.co.uk/Blue-Planet-Bride-Tote-Bag/dp/B07N95VDVW/ref=sr_1_586?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858829&s=kitchen&sr=1-586"
"","","8","SPARES2GO Universal Teflon Oven Cooker Liner Non Stick Heavy Duty Lining (Pack of 2)","Spares2go","7.99","4739","174","37865","11/18/2014","4.59","13470","4.7","3.4","130","Home & Kitchen","B00PSLJF6Q","https://www.amazon.co.uk/Spares2go-Universal-Teflon-Cooker-Lining/dp/B00PSLJF6Q/ref=sr_1_577?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858829&s=kitchen&sr=1-577"
"","","9","Perlegear TV Wall Bracket for 26-55 inch TVs Tilt Sturdy Strong Flat TV Wall Mount 52kg Weight Capacity Max VESA 400x400mm with Pull Strings","Perlegear","14.99","4701","169","70468","01/06/2017","10.52","7074","4.7","4.47","57","Electronics & Photo","B073J6KSB6","https://www.amazon.co.uk/Perlegear-Bracket-Plasma-400x400mm-included-Max-VESA/dp/B073J6KSB6/ref=sr_1_578?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858829&s=kitchen&sr=1-578"
"","","10","Set of 6 Unbreakable Polycarbonate Plastic Pint Glasses. Capacity (1 pint / 568ml / 20oz). Ideal for bbq's camping glamping boats and general use around the home inside or out. Includes 1 x AIOS coaster. Dishwasher safe.","AIOS","9.43","732","32","6903","12/08/2014","5.81","339","4.6","3.62","2524","Home & Kitchen","B00O2F0LT4","https://www.amazon.co.uk/Unbreakable-Polycarbonate-Glasses-AIOS-Dishwasher/dp/B00O2F0LT4/ref=sr_1_579?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858829&s=kitchen&sr=1-579"
"","","11","Beat That! - The Bonkers Battle of Wacky Challenges [Family Party Game for Kids & Adults]","Gutter Games","24.99","3779","119","94437","08/12/2019","18.99","4336","4.8","6","101","Toys & Games","B07WCW9PB3","https://www.amazon.co.uk/Beat-That-Bonkers-Battle-Challenges/dp/B07WCW9PB3/ref=sr_1_580?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858829&s=kitchen&sr=1-580"
"","","12","Unfragranced White Tea Lights 20pk","bloome","2.58","764","25","1971","09/07/2016","1.14","516","4.4","1.44","3617","Home & Kitchen","B01KIFLXX4","https://www.amazon.co.uk/Unfragranced-White-Tea-Lights-20pk/dp/B01KIFLXX4/ref=sr_1_581?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858829&s=kitchen&sr=1-581"
"","","13","Funnlot Gender Reveal Boy or Girl Voting Game Gender Reveal Party Games 54pcs Gender Reveal Voting Game Stickers Boy or Girl Gender Reveal Guess Game Gender Reveal Party Supplies","Funnlot","6.99","270","8","1887","03/06/2021","4.87","6","4.8","2.12","7069","Toys & Games","B08Y6SYD3V","https://www.amazon.co.uk/Funnlot-Gender-Reveal-Stickers-Supplies/dp/B08Y6SYD3V/ref=sr_1_582?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858829&s=kitchen&sr=1-582"
"","","14","VELCRO Brand ONE-WRAP Plant Ties 12 mm x 5 m-Green","VELCRO Brand","2.99","2993","85","8949","07/09/2007","1.48","2111","4.6","1.51","284","Garden & Outdoors","B0010YQJZ0","https://www.amazon.co.uk/VELCRO-Brand-One-Wrap-Plant-Ties/dp/B0010YQJZ0/ref=sr_1_583?dchild=1&keywords=-kvnjdsnfkjew&qid=1625858829&s=kitchen&sr=1-583"
