"Export date: 7/9/2021, 11:48:27 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Color Changing Cups with Lids & Straws - 7 PCs Reusable Bulk Magic Party Tumblers Plastic Cold Drinks Cup for Adults Kids - 16oz BPA Free Iced Water Coffee Travel Mugs","HAPPON","17.99","228","7","4102","06/03/2021","13.06","0","","4.93","24997","Home & Kitchen","B096K4HGR5","https://www.amazon.co.uk/Color-Changing-Cups-Lids-Straws/dp/B096K4HGR5/ref=sr_1_4?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856460&s=kitchen&sr=1-4"
"Average Sales: 5,497","","2","25Pcs Girl's music Balloons Latex and Foil Balloons Party Supplies for TIK TOK Theme Birthday Party Decorations","XIAOHUANXIONG","12.99","150","5","1949","06/03/2021","8.79","0","","4.2","18691","Toys & Games","B096JF94KB","https://www.amazon.co.uk/25Pcs-Balloons-Supplies-Birthday-Decorations/dp/B096JF94KB/ref=sr_1_5?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856460&s=kitchen&sr=1-5"
"Average Sales Rank: 1,972","","3","Bstorify Square Small Scrapbook Photo Albums 60 Pages (21 x 21 cm) Brown Thick Kraft Paper Scrap Book Memory Book Ribbon Closure - Ideal for Your Scrapbooking Art & Craft Projects","Bstorify","5.33","3711","123","19780","03/17/2021","3.46","75","4.7","1.87","194","Home & Kitchen","B08Z76J9YT","https://www.amazon.co.uk/Bstorify-Square-Scrapbook-Albums-Closure/dp/B08Z76J9YT/ref=sr_1_6?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856460&s=kitchen&sr=1-6"
"Average Price: £11.87","","4","Henry NVM-1CH/907075 HepaFlo Vacuum Bags Pack of 10","Henry","9.99","16575","552","165584","02/07/2018","...","23503","4.8","","4","Home & Kitchen","B079NKN5TG","https://www.amazon.co.uk/Henry-NVM-1CH-907075-HepaFlo-Vacuum/dp/B079NKN5TG/ref=sr_1_7?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856460&s=kitchen&sr=1-7"
"Average Reviews: 7,472","","5","BRITA MAXTRA + Replacement Water Filter Cartridges  Compatible with all BRITA Jugs - Reduce Chlorine  Limescale and Impurities for Great Taste - Pack of 6","BRITA","20.30","26996","899","548019","06/10/2013","14.7","58729","4.8","5.6","1","Home & Kitchen","B071FJ6FBW","https://www.amazon.co.uk/BRITA-MAXTRA-water-filter-cartridge/dp/B071FJ6FBW/ref=sr_1_8?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856460&s=kitchen&sr=1-8"
"","","6","U-MISS Bladeless Personal Neck Fan Leafless Rechargeable Headphone Design Three-speeds Change and USB Rechargeable for Working Cooking Travel Sports Carry Outdoor Activities(Black)","U-MISS","16.15","2826","94","45640","04/01/2021","11.5","322","4.8","4.65","124","Home & Kitchen","B091DH2PR3","https://www.amazon.co.uk/U-MISS-Bladeless-Rechargeable-Three-speeds-Activities/dp/B091DH2PR3/ref=sr_1_9?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856460&s=kitchen&sr=1-9"
"","","7","Dettol Wipes Antibacterial Bulk Surface Cleaning Multipack of 6 x 126 Total 756 Wipes","Dettol","19.15","13855","461","265323","01/25/2017","14.04","10409","4.8","5.11","3","Business Industry & Science","B01N16BG67","https://www.amazon.co.uk/Dettol-Antibacterial-Surface-Cleaning-Wipes/dp/B01N16BG67/ref=sr_1_10?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856460&s=kitchen&sr=1-10"
"","","8","Ikea Bevara Sealing Clip Multicolor","Ikea","2.99","4239","141","12675","01/19/2017","1.48","4966","4.7","1.51","141","Home & Kitchen","B00C65BLD2","https://www.amazon.co.uk/Ikea-103-391-71-Sealing-assorted-30-pack/dp/B00C65BLD2/ref=sr_1_11?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856460&s=kitchen&sr=1-11"
"","","9","SPEAR & JACKSON 5LPAPS Pump Action Pressure Sprayer 5 L Blue 5 Litre","Spear & Jackson","13.28","2029","67","26945","01/05/2015","9.1","19459","4.6","4.18","7","Garden & Outdoors","B00RD0KTZQ","https://www.amazon.co.uk/Spear-Jackson-Action-Pressure-Sprayer/dp/B00RD0KTZQ/ref=sr_1_12?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856460&s=kitchen&sr=1-12"
"","","10","Korbond Lint Roller & Refill Set  One Lint Roller and Two Replacement Heads  91 Sheets in Total - Suitable for ALL FABRIC TYPES","Korbond","5.99","3494","116","20929","01/15/2021","2.86","199","4.6","3.13","108","Home & Kitchen","B08T6269X5","https://www.amazon.co.uk/Korbond-Lint-Roller-Refill-Set/dp/B08T6269X5/ref=sr_1_16?dchild=1&keywords=-kvnjdsnfkjew&qid=1625856460&s=kitchen&sr=1-16"
