"Export date: 7/10/2021, 12:07:47 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Miracle-Gro Evergreen Complete 4 in 1 Lawn Food - 200 m2 7 kg Lawn Food Weed & Moss Control","Miracle-Gro","12.00","11304","378","135648","02/01/2014","4.74","12509","4.4","7.26","10","Garden & Outdoors","B00J086QO2","https://www.amazon.co.uk/Miracle-Gro-Evergreen-Complete-4in1-7kg/dp/B00J086QO2/ref=sr_1_356?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857576&s=kitchen&sr=1-356"
"Average Sales: 2,693","","2","MOOPOPS (Pastel - Mixed 3 pack of reusable silicone tops specifically designed to fit standard UK one pint glass milk bottles. Dishwasher and fridge safe. Don't toil with the foil!","MOOPOPS","4.99","","","","05/12/2019","","6080","4.8","","","","B07RQLTNY8","https://www.amazon.co.uk/MOOPOPS-Pastel-reusable-specifically-Dishwasher/dp/B07RQLTNY8/ref=sr_1_365?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857626&s=kitchen&sr=1-365"
"Average Sales Rank: 3,013","","3","Vax 1-9-137771 Ultra Plus Carpet Cleaning Solution 1.5L","Vax","14.99","6312","206","94617","06/01/2013","10.52","12038","4.6","4.47","75","Grocery","B00CXMZTI6","https://www.amazon.co.uk/Vax-Ultra-Carpet-Cleaning-Solution/dp/B00CXMZTI6/ref=sr_1_102?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-102"
"Average Price: £9.64","","4","Lamapee Potato Peelers Stainless Steel Vegetable Peeler for Kitchen Black - New Upgrade","Lamapee","3.99","1057","34","4217","03/02/2021","2.33","91","4.7","1.66","2299","Home & Kitchen","B08XVMJR5T","https://www.amazon.co.uk/Lamapee-Peelers-Stainless-Vegetable-Kitchen/dp/B08XVMJR5T/ref=sr_1_367?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857626&s=kitchen&sr=1-367"
"Average Reviews: 3,764","","5","POOTACK Gel Seat Cushion for Office Chair Memory Foam Ergonomics Cushions Reduce Sciatica Hemorrhoid Tailbone Back Pain Breathable Seat Pads Support for Wheelchair Car Seat Chair Recliner Cushion","POOTACK","11.89","360","25","4280","07/14/2020","7.89","85","4.3","4","3581","Home & Kitchen","B08CXK3RHN","https://www.amazon.co.uk/Pootack-Seat-Cushion-Office-Chair/dp/B08CXK3RHN/ref=sr_1_368?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857626&s=kitchen&sr=1-368"
"","","6","ELNORRE Rug Gripper for Wooden Floors (10pcs) - Reuseable Carpet Grippers and Multipurpose Carpet Tape Anti Slip Rug Underlay for Hard Floors","ELNORRE","5.89","288","12","1696","05/20/2021","3.61","8","5","2.28","10638","Home & Kitchen","B095G7WDQT","https://www.amazon.co.uk/ELNORRE-Gripper-Wooden-Floors-10pcs/dp/B095G7WDQT/ref=sr_1_369?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857626&s=kitchen&sr=1-369"
"","","7","Let's Party Party Blowers Blowouts Birthday Loot Bag Filler Noise Toy Foil Colors 20 x","Berri","2.38","1255","56","2987","11/27/2014","0.97","731","4","1.41","484","Toys & Games","B00Q8V4PLU","https://www.amazon.co.uk/Blowers-Blowouts-Birthday-Filler-Colors/dp/B00Q8V4PLU/ref=sr_1_370?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857626&s=kitchen&sr=1-370"
"","","8","COTTON TREE 100% Pure Cotton Super Soft Pack of 200","Cotton Tree","2.98","709","35","2113","08/22/2012","0.34","474","4.5","2.64","2181","Home & Kitchen","B000PJEVVA","https://www.amazon.co.uk/White-Cotton-Wool-Balls-Pack/dp/B000PJEVVA/ref=sr_1_361?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857626&s=kitchen&sr=1-361"
"","","9","STAEDTLER Wood-Free Coloured Pencils - Box of 12 Assorted Colours","STAEDTLER","2.97","3418","149","10151","03/04/2016","1.47","5252","4.7","1.5","90","Stationery & Office Supplies","B01CJQX2MK","https://www.amazon.co.uk/STAEDTLER-175-C12-Wood-Free-Coloured/dp/B01CJQX2MK/ref=sr_1_103?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-103"
"","","10","Command Ceiling Hooks Multicoloured 10 x 17.5 x 2.8 cm Pack of 7","3M","6.95","406","18","2822","03/18/2018","4.84","746","4.3","2.11","5948","Home & Kitchen","B07BG82J65","https://www.amazon.co.uk/Command-Hooks-Ceiling-Multicolour-Pieces/dp/B07BG82J65/ref=sr_1_363?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857626&s=kitchen&sr=1-363"
