"Export date: 7/10/2021, 12:46:34 AM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","bar@drinkstuff White Plastic Ice Crusher - Cocktail Ice Crusher Manual Ice Cube Crusher Domestic Use - Great for Mojito Cocktails!","bar@drinkstuff","12.99","415","15","5391","10/11/2007","8.82","570","4.1","4.17","7720","Home & Kitchen","B0049VBGQS","https://www.amazon.co.uk/bar-drinkstuff-White-Plastic-Crusher/dp/B0049VBGQS/ref=sr_1_821?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859914&s=kitchen&sr=1-821"
"Average Sales: 700","","2","32X Kids Childrens Birthday Party Invitations with Envelopes Invitation Pack of 32 Invites","Datasafe","6.47","641","25","4147","04/23/2021","3.3","13","4.3","3.17","1820","Toys & Games","B093C632V4","https://www.amazon.co.uk/Childrens-Birthday-Invitations-Envelopes-Invitation/dp/B093C632V4/ref=sr_1_822?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859914&s=kitchen&sr=1-822"
"Average Sales Rank: 7,870","","3","Solar Pandent LightsStillCool Remote Control IP65 Waterproof Solar Shed Lights(30LEDs) with 9.84FT/3M Cord for CourtyardGardenPatioCorridor(White Light)","StillCool","24.99","303","12","7572","10/07/2020","18.99","42","3.6","6","1503","Lighting","B08VJ3FNZ6","https://www.amazon.co.uk/Pandent-StillCool-Waterproof-Courtyard-Corridor/dp/B08VJ3FNZ6/ref=sr_1_822?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859957&s=kitchen&sr=1-822"
"Average Price: £12.86","","4","Ossian Wall Mounted 2 in 1 Can Crusher and Bottle Opener  Premium Heavy Duty 16oz 500ml Aluminium Drinking Tin Can Kitchen Recycle Tool with Soft Grip Foam Handle and Bottle Opener","Ossian","11.49","156","8","1792","05/17/2019","","103","4.3","","16578","Home & Kitchen","B07S3GHMP4","https://www.amazon.co.uk/Ossian-Mounted-Crusher-Bottle-Opener/dp/B07S3GHMP4/ref=sr_1_823?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859957&s=kitchen&sr=1-823"
"Average Reviews: 609","","5","100 Pcs 5 Inch Mini White BalloonsRomantic Baloon Decorative Latex Balloons Thick Latex Balloons for Baby Shower Birthday Party Wedding Engagement Anniversary Festival Decorations","HONGCI","7.49","1008","74","7550","04/13/2021","5.29","7","3.5","2.2","655","Home & Kitchen","B094RGLCLH","https://www.amazon.co.uk/Balloons-Decorative-Engagement-Anniversary-Decorations/dp/B094RGLCLH/ref=sr_1_824?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859957&s=kitchen&sr=1-824"
"","","6","Blackmoor Frying Pans | 2 Colours | Non-Stick Anti-Scratch Pans | Cool Touch Handles | Suitable for Induction Electric and Gas Hobs | 20/24/28cm (Black 24cm)","Blackmoor","11.99","4380","153","52516","01/20/2016","7.98","2020","4.7","4.01","167","Home & Kitchen","B012TLS8U6","https://www.amazon.co.uk/Blackmoor-Frying-Non-Stick-Anti-Scratch-Black/dp/B012TLS8U6/ref=sr_1_825?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859957&s=kitchen&sr=1-825"
"","","7","KYONANO DIY Candle Dye for 67 lb of Wax 34 Colors Vegetable Candle Wax Dye for Candle Making Candle Color Dye for Soy Wax & More High Safety Easy-Cleaning & Portable","KYONANO","11.99","218","4","2614","06/29/2020","7.98","66","4.5","4.01","38164","Home & Kitchen","B08Q3TRX1F","https://www.amazon.co.uk/KYONANO-Candle-Vegetable-Easy-Cleaning-Portable/dp/B08Q3TRX1F/ref=sr_1_826?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859957&s=kitchen&sr=1-826"
"","","8","Can Crusher & Bottle Opener- 500ML Heavy Duty 16OZ 2 in 1 Crushes Soda Cans and Beer Cans-Large Beer Tin Can Crusher Wall Mounted Recycling Tool Bottle Opener","ROEQE","13.99","869","35","12157","03/15/2021","9.67","22","4.3","4.32","2178","Home & Kitchen","B08YZ2XJ2L","https://www.amazon.co.uk/Crusher-Opener-Crushes-Cans-Large-Recycling/dp/B08YZ2XJ2L/ref=sr_1_817?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859957&s=kitchen&sr=1-817"
"","","9","Dyson AM09 Hot Cool Fan Heater Remote Control - White","Dyson","27.99","455","5","12735","10/23/2016","22.33","461","4.7","5.66","31311","Home & Kitchen","B01MUZX8OC","https://www.amazon.co.uk/Dyson-AM09-Heater-Remote-Control/dp/B01MUZX8OC/ref=sr_1_818?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859957&s=kitchen&sr=1-818"
"","","10","3D Skull Shape Shapes Black BPA Free Silicone Ice Cube Mold Tray with Lid Makes 4Vivid Skulls Perfect for Whiskey Cocktail and Any Drink","OUSMIN","6.28","448","18","2813","08/18/2017","3.14","1352","4.5","3.14","5973","Home & Kitchen","B074XDPX3B","https://www.amazon.co.uk/Pawaca-Flexible-Silicone-Whiskey-Cocktails/dp/B074XDPX3B/ref=sr_1_819?dchild=1&keywords=-kvnjdsnfkjew&qid=1625859957&s=kitchen&sr=1-819"
