"Export date: 7/9/2021, 11:57:35 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Blow Torch Professional Kitchen Cooking Torch with Safety Lock Adjustable Flame Refillable Mini Blow Torch Lighter for Crafts Cooking BBQ Baking Brulee Creme DIY Soldering(Butane Gas Not Included)","Magicfun","13.99","2997","115","41928","03/23/2019","9.67","6924","4.5","4.32","292","Home & Kitchen","B07PZZVS21","https://www.amazon.co.uk/Professional-Adjustable-Refillable-Soldering-Included/dp/B07PZZVS21/ref=sr_1_76?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-76"
"Average Sales: 4,452","","2","Dual Sided Texture Changing Sponge/Scrubber Kitchen Sponge - Super Absorbent Sponge Side - Scrub Mommy by Scrub Daddy (Pink)","Scrub Daddy","3.49","3129","91","10920","08/27/2018","0.75","1528","4.8","2.74","453","Home & Kitchen","B07GWPT9GG","https://www.amazon.co.uk/Texture-Changing-Sponge-Scrubber-Kitchen/dp/B07GWPT9GG/ref=sr_1_77?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-77"
"Average Sales Rank: 208","","3","Genuine GN HyClean 3D Efficiency Dust Bags For Miele Vacuum Cleaners + Free Fresheners","Miele","13.82","2860","119","39525","01/02/2015","9.53","2316","4.8","4.29","275","Home & Kitchen","B00RP2YHGY","https://www.amazon.co.uk/Genuine-Efficiency-Miele-Cleaners-Fresheners/dp/B00RP2YHGY/ref=sr_1_78?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-78"
"Average Price: £10.47","","4","Lifewit Large Capacity Clothes Storage Bag Organizer with Reinforced Handle Thick Fabric for Comforters Blankets Bedding Foldable with Sturdy Zipper Clear Window 3 Pack Grey","Lifewit","14.99","10002","261","149930","03/04/2019","10.52","8717","4.6","4.47","54","Home & Kitchen","B07PCMSLLF","https://www.amazon.co.uk/Lifewit-Capacity-Organizer-Reinforced-Comforters/dp/B07PCMSLLF/ref=sr_1_79?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-79"
"Average Reviews: 6,746","","5","Audew Handheld Vacuums Cordless Portable Handheld Vacuum Cleaner with Powerful Suction 120W Rechargeable Car Vacuum Cleaner Handheld hoover Lightweight Wet Dry Vacuum for Home Car and Pet","Audew","28.99","5784","181","167678","06/12/2020","22.37","10529","3.9","6.62","120","Home & Kitchen","B07FPVQX4Q","https://www.amazon.co.uk/Audew-Cleaner-Handheld-Cordless-Rechargeable/dp/B07FPVQX4Q/ref=sr_1_80?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-80"
"","","6","AnySharp World's Best Knife Sharpener with PowerGrip Silver","AnySharp","7.00","10101","352","70707","02/01/2008","3.75","38920","4.5","3.25","27","Home & Kitchen","B0029X0RTU","https://www.amazon.co.uk/AnySharp-Knife-Sharpener-PowerGrip-Silver/dp/B0029X0RTU/ref=sr_1_81?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-81"
"","","7","JVL Heavy Duty Multi-Fit Ground Soil Spear Spike with Adaptor to Fit 32 and 40 mm Diameters with Plastic Adaptor","JVL","5.95","3359","111","19986","05/13/2014","2.86","4112","4.4","3.09","315","Home & Kitchen","B00WIYPD62","https://www.amazon.co.uk/JVL-Rotary-Multi-Fit-Adaptor-Diameter/dp/B00WIYPD62/ref=sr_1_82?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-82"
"","","8","RAYYAN LINEN WHITE 100% EGYPTIAN COTTON PAIR OF PILLOWCASES 200 THREAD COUNT 50 X 75 CM","RAYYAN LINEN","6.99","2218","80","15504","12/13/2013","4.16","4736","4.4","2.83","569","Home & Kitchen","B00HAN52GC","https://www.amazon.co.uk/RAYYAN-LINENS-EGYPTIAN-COTTON-PILLOWCASES/dp/B00HAN52GC/ref=sr_1_83?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-83"
"","","9","Spear & Jackson 2LPAPS Pump Action Pressure Sprayer 2 L","Spear & Jackson","7.25","2963","130","21482","08/03/2015","3.96","3882","4.3","3.29","132","Garden & Outdoors","B013T16IWA","https://www.amazon.co.uk/Spear-Jackson-2LPAPS-Pressure-Sprayer/dp/B013T16IWA/ref=sr_1_84?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-84"
"","","10","Korbond 7.4m Roller Clothes Furniture And Carpet. Removes Lint Dust Pet Hair and Fluff 49 Sticky Pre-Cut Paper Sheets","Korbond","2.00","8034","249","16068","06/23/2014","-0.49","5215","4.6","2.49","60","Home & Kitchen","B00L45NB3I","https://www.amazon.co.uk/Korbond-Clothes-Furniture-Carpet-Removes/dp/B00L45NB3I/ref=sr_1_88?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-88"
"","","11","Minky TT78790300 M Cloth Anti-Bacterial Cleaning Pad 3 Pack - Grey Pink Green","Minky","5.89","2217","83","13058","04/11/2019","3.94","5144","4.7","1.95","538","Home & Kitchen","B07QQBHTT4","https://www.amazon.co.uk/Minky-Cloth-Pack-Anti-bacterial-Cleaning/dp/B07QQBHTT4/ref=sr_1_89?dchild=1&keywords=-kvnjdsnfkjew&qid=1625857027&s=kitchen&sr=1-89"
