"Export date: 7/11/2021, 7:28:49 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Wedding Anniversary Card - Anniversary Card for Couple - Cute Boofle Design 649675-0-1","Boofle","2.49","940","30","2341","02/17/2020","1.06","368","4.8","1.43","1154","Stationery & Office Supplies","B084PVJ7PT","https://www.amazon.co.uk/Wedding-Anniversary-Card-Couple-649675-0-1/dp/B084PVJ7PT/ref=sr_1_4355?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013627&s=kitchen&sr=1-4355"
"Average Sales: 598","","2","iDesign Suction Soap Holster Clear","InterDesign","1.99","482","22","959","01/31/2014","-0.49","239","4","2.48","4311","Home & Kitchen","B00021LRMM","https://www.amazon.co.uk/iDesign-Suction-Soap-Holster-Clear/dp/B00021LRMM/ref=sr_1_4359?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013627&s=kitchen&sr=1-4359"
"Average Sales Rank: 5,939","","3","Bulary Bohemian Blanket Throw 130 * 180CM Pure Cotton Braided Boho Throw Blankets Sofa Bedspread Patchwork Knitted Blanket","Bulary","14.75","275","15","4056","12/14/2017","","175","4.5","","7506","Home & Kitchen","B0788JJBMK","https://www.amazon.co.uk/Bulary-Bohemian-Blankets-Bedspread-Patchwork/dp/B0788JJBMK/ref=sr_1_4360?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013627&s=kitchen&sr=1-4360"
"Average Price: £13.94","","4","Sun & Moon Rise Kids Alarm Clock Children's Sleep Trainer Sleep Sound Machine Wake Up Light & Night Light Teach Kids Day & Night","ICODE","33.99","843","22","28654","09/26/2019","26.61","2533","4.4","7.38","4332","Home & Kitchen","B07YDH9H5S","https://www.amazon.co.uk/I%C2%B7CODE-Alarm-Childrens-Trainer-Machine/dp/B07YDH9H5S/ref=sr_1_4361?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013627&s=kitchen&sr=1-4361"
"Average Reviews: 998","","5","KitchenCraft Fridge-Safe Plastic Drinks Can Storage Box 34.5 x 14 x 9.5 cm (13.5' x 5.5' x 3.5') - Transparent","KitchenCraft","6.11","551","18","3367","01/11/2018","3","487","4.5","3.11","5936","Home & Kitchen","B078HXGN9Z","https://www.amazon.co.uk/KitchenCraft-Fridge-Safe-Plastic-Drinks-Storage/dp/B078HXGN9Z/ref=sr_1_4362?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013627&s=kitchen&sr=1-4362"
"","","6","Gryeer Microfibre Tea Towels - Pack of 8 (Stripe Designed Grey and White Colours) - Soft Super Absorbent and Lint Free Kitchen Towels 45 x 65 cm","Gryeer","11.89","1892","104","22496","03/12/2019","7.89","9015","4.6","4","356","Home & Kitchen","B07PG9S1SP","https://www.amazon.co.uk/Gryeer-Microfibre-Tea-Towels-Absorbent/dp/B07PG9S1SP/ref=sr_1_4377?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013688&s=kitchen&sr=1-4377"
"","","7","Variety Mats for Cricut Explore Air 2/Air/One/Maker StandardGrip/LightGripGrip/FrabricGrip Multiple Sticky Green Blue Purple Pink Cricket 12x12 Cutting Mats for Cricut 5 Pack","Youngneer Elefama","15.99","410","15","6556","12/11/2020","11.36","100","4.7","4.63","7259","Home & Kitchen","B08QCSD4CC","https://www.amazon.co.uk/Variety-StandardGrip-LightGripGrip-FrabricGrip-Multiple/dp/B08QCSD4CC/ref=sr_1_4363?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013627&s=kitchen&sr=1-4363"
"","","8","Happy Birthday From The Best Decision You Ever Made Funny Greeting Card For Him Her Partner Boyfriend Girlfriend Friend Husband Wife","PrimePrints","3.49","290","12","1012","05/11/2021","2.36","2","5","1.13","3298","Stationery & Office Supplies","B094PT3NFR","https://www.amazon.co.uk/Birthday-Decision-Greeting-Boyfriend-Girlfriend/dp/B094PT3NFR/ref=sr_1_4364?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013627&s=kitchen&sr=1-4364"
"","","9","Peachy Antics Funny Cards Valentines Anniversary Birthday Cards Husband Wife Boyfriend Girlfriend Swearing Cards Humorous Survived Another Year PC205","Peachy Antics","2.95","212","8","625","04/24/2018","1.45","673","4.8","1.5","5282","Stationery & Office Supplies","B07CMDG6VX","https://www.amazon.co.uk/Valentines-Anniversary-Birthday-Boyfriend-Girlfriend/dp/B07CMDG6VX/ref=sr_1_4370?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013688&s=kitchen&sr=1-4370"
"","","10","Brush Wallplate Single | Steel","AVLink","7.99","222","7","1774","05/18/2011","4.8","251","4.5","3.19","8866","DIY & Tools","B0051FKTR8","https://www.amazon.co.uk/AV-Link-122-270-Wallplate-Single/dp/B0051FKTR8/ref=sr_1_4371?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013688&s=kitchen&sr=1-4371"
"","","11","Hioni Hot Tub Rules Metal Tin Sign Vintage Plaque Wall Decor","Hioni","9.99","180","11","1798","10/15/2020","7.41","37","4.6","2.58","11349","Home & Kitchen","B08LCJ1MVS","https://www.amazon.co.uk/Hioni-Rules-Metal-Vintage-Plaque/dp/B08LCJ1MVS/ref=sr_1_4372?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013688&s=kitchen&sr=1-4372"
"","","12","Jomnvo Berolle 12 PCS Window Crawler Men Party Bag Fillers Stretchy Sticky Wall Climbers Novelty Toys for Party Home School (12 Pieces)","Jomnvo","5.99","258","11","1545","03/25/2021","2.86","4","5","3.13","5075","Toys & Games","B0912VP7H2","https://www.amazon.co.uk/Jomnvo-Berolle-Crawler-Stretchy-Climbers/dp/B0912VP7H2/ref=sr_1_4373?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013688&s=kitchen&sr=1-4373"
"","","13","Vallejo Model Color 200 ml Water Effects - Still Water","Vallejo","10.99","265","12","2912","09/21/2012","7.1","289","4.5","3.89","4580","Toys & Games","B000PHBH14","https://www.amazon.co.uk/Vallejo-Model-Color-Water-Effects/dp/B000PHBH14/ref=sr_1_4374?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013688&s=kitchen&sr=1-4374"
"","","14","DeWalt DT71522-QZ 25mm Flip PHillips No.2 Bits (Box of 25)","DEWALT","5.99","345","12","2067","11/01/2007","3.05","891","4.6","2.94","4373","DIY & Tools","B000Y8QH5K","https://www.amazon.co.uk/DeWalt-DT71522-QZ-25mm-Flip-PHillips/dp/B000Y8QH5K/ref=sr_1_4375?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013688&s=kitchen&sr=1-4375"
"","","15","EAQ Large Baby Playpen Indoor & Outdoor Kids Activity Center with Anti-Slip Base Sturdy Safety Play Yard with Super Soft Breathable Mesh Kid's Fence for Infants Toddlers(Grey)","EAQ","69.99","113","8","7909","02/24/2021","54.31","0","","15.68","2169","Baby Products","B08GKF2H58","https://www.amazon.co.uk/EAQ-Activity-Anti-Slip-Breathable-Toddlers/dp/B08GKF2H58/ref=sr_1_4376?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013688&s=kitchen&sr=1-4376"
"","","16","Miele IntenseClean","Miele","6.49","555","17","3602","04/17/2013","3.32","183","4.5","3.17","3610","Grocery","B077CYZ9NB","https://www.amazon.co.uk/Miele-GP-CL-252-IntenseClean/dp/B077CYZ9NB/ref=sr_1_4377?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013688&s=kitchen&sr=1-4377"
"","","17","Mirror Glass Metal Antique Decorative Silver Candle Plate Display Tray","SIL","9.99","366","8","3656","06/13/2016","6.28","937","4.3","3.71","18045","Home & Kitchen","B01H0SNENO","https://www.amazon.co.uk/Mirror-Antique-Decorative-Silver-Display/dp/B01H0SNENO/ref=sr_1_4378?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013688&s=kitchen&sr=1-4378"
