"Export date: 7/11/2021, 5:53:05 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","50 Polythene Garment Covers Dry Cleaner Bags 24' x 38'","Bonnin","10.99","245","6","2693","03/04/2019","7.1","250","4.5","3.89","23659","Home & Kitchen","B07PXX1V3H","https://www.amazon.co.uk/Polythene-Garment-Covers-Cleaner-Bags/dp/B07PXX1V3H/ref=sr_1_2788?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007906&s=kitchen&sr=1-2788"
"Average Sales: 933","","2","Bar Drinkstuff CL-325007 Plastic Cocktail Fish Bowl Single 3L 185mm Diameter","Bar Drinkstuff","9.99","288","7","2877","10/11/2007","6.28","479","4.2","3.71","19451","Home & Kitchen","B00AKHIB9K","https://www.amazon.co.uk/Plastic-Cocktail-Fish-Bowl-18-5cm/dp/B00AKHIB9K/ref=sr_1_2789?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007906&s=kitchen&sr=1-2789"
"Average Sales Rank: 8,745","","3","Beach Blanket 210 x 200cm Picnic Blanket Extra Large Waterproof Beach Mat with 4 Fixed Nails for Beach Camping Hiking Compact Lightweight 83 X 79in","Rantizon","13.95","968","34","13504","06/13/2021","9.64","37","4.1","4.31","1014","Sports & Outdoors","B093PBN673","https://www.amazon.co.uk/Beach-Blanket-Waterproof-Mat-Lightweight/dp/B093PBN673/ref=sr_1_2790?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007906&s=kitchen&sr=1-2790"
"Average Price: £11.54","","4","TCL BREEVA A1 Air Purifier Replacement Filter True HEPA H13 and Activated Carbon Filter BREEVA A1F 1 Pack White","TCL","19.99","167","10","3338","08/19/2020","14.75","49","4.6","5.24","12736","Home & Kitchen","B08G84GV67","https://www.amazon.co.uk/TCL-BREEVA-Purifier-Replacement-Activated/dp/B08G84GV67/ref=sr_1_2791?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007947&s=kitchen&sr=1-2791"
"Average Reviews: 1,514","","5","The Glencairn Whisky Glass in Gift Carton","Glencairn","7.32","378","15","2767","07/08/2013","4.02","1997","4.8","3.3","7486","Home & Kitchen","B00DTS9PGK","https://www.amazon.co.uk/Glencairn-Whisky-Nosing-Tasting-Glass/dp/B00DTS9PGK/ref=sr_1_2792?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007947&s=kitchen&sr=1-2792"
"","","6","Handheld Sewing Machine Mini Portable Electric Sewing Machine for Beginners Adult Easy to Use and Fast Stitch Suitable for ClothesFabrics CutainsDIY Home Travel","PiAEK","19.99","350","10","6996","04/09/2021","14.75","154","3.9","5.24","12745","Home & Kitchen","B0923KDFWT","https://www.amazon.co.uk/Handheld-Portable-Electric-Beginners-Suitable/dp/B0923KDFWT/ref=sr_1_2793?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007947&s=kitchen&sr=1-2793"
"","","7","Hozelock 2100A6002 12.5mm Hose Repair Connector Grey","Hozelock Ltd","4.59","2094","54","9611","12/19/2007","1.68","1122","4.7","2.91","576","Garden & Outdoors","B00CZ7WGGM","https://www.amazon.co.uk/Hozelock-12-5mm-Hose-Repair-Connector/dp/B00CZ7WGGM/ref=sr_1_2794?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007947&s=kitchen&sr=1-2794"
"","","8","100M Bunting Banner Multicolor Flag Banners with 200 pcs Triangle Flags Nylon Fabric Bunting Banners for Birthday Wedding Outdoor Indoor Activity Party Decoration","Joykey","8.99","2413","97","21693","07/13/2017","5.43","997","4.4","3.56","163","Toys & Games","B073XQN12R","https://www.amazon.co.uk/Multicolor-Triangle-Birthday-Activity-Decoration/dp/B073XQN12R/ref=sr_1_2785?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007947&s=kitchen&sr=1-2785"
"","","9"," GIFTS University College Degree Pass Present Crystal Owl in Black Graduation Hat / Mortarboard Cap GiftB07B7LB6Q3","Parmy","9.95","193","15","1920","06/10/2015","","278","4.5","","7895","Home & Kitchen","GRADUATION","https://www.amazon.co.uk/GRADUATION-University-College-Graduation-Mortarboard/dp/B07B7LB6Q3/ref=sr_1_2786?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007947&s=kitchen&sr=1-2786"
"","","10","2Pcs Kitchen Scissors Heavy Duty Kitchen Scissors Stainless Steel Kitchen Shear with Cover Sharp Cooking Scissors for Meat Chicken Fish Nut Vegetable Herb Bottle Opener","atopo","9.99","1014","33","10130","12/31/2020","7.41","137","4.7","2.58","2413","Home & Kitchen","B08RS7M1F2","https://www.amazon.co.uk/Kitchen-Scissors-Stainless-Cooking-Vegetable/dp/B08RS7M1F2/ref=sr_1_2787?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007947&s=kitchen&sr=1-2787"
