"Export date: 7/11/2021, 6:11:50 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","EasyGleam Mop and Bucket Set. Microfibre Flat Mop with Stainless Steel Handle Innovative Twin Chamber Bucket for Wet & Dry use. 2 Reusable Pads Supplied Suitable for All Floor Types","Easy Gleam","31.95","1792","59","57254","06/10/2019","24.88","4767","4.5","7.07","815","Grocery","B07SXD8GTS","https://www.amazon.co.uk/EasyGleam-Microfibre-Stainless-Innovative-Reusable/dp/B07SXD8GTS/ref=sr_1_3292?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009074&s=kitchen&sr=1-3292"
"Average Sales: 933","","2","MAXPORIUM 4-Pieces Clothes Drawer Organisers Divider - Foldable Wardrobe Organiser - Fabric Drawer Divider Underwear Storage Boxes for Bras Baby Clothes Socks Ties - Grey","MAXPORIUM","13.99","491","16","6869","04/06/2020","10.23","487","4.5","3.76","1872","Home & Kitchen","B0871CWJ8T","https://www.amazon.co.uk/Maxporium-4-Pieces-Clothes-Organiser-Dividers/dp/B0871CWJ8T/ref=sr_1_3293?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009074&s=kitchen&sr=1-3293"
"Average Sales Rank: 3,668","","3","Graduation Decorations 2021 Graduation Balloons Gold Foil Congrats Grad Banner Suitable for High School College Graduation Party Decorations SuppliesYou Did It","QASIMOF","15.99","210","7","3358","06/09/2021","11.33","1","5","4.66","7461","Toys & Games","B096XSR2LG","https://www.amazon.co.uk/Graduation-Decorations-Balloons-Congrats-Suitable/dp/B096XSR2LG/ref=sr_1_3294?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009074&s=kitchen&sr=1-3294"
"Average Price: £8.25","","4","Ring Bottle Opener","The Discovery","2.26","375","12","847","10/05/2011","0.86","596","3.6","1.4","10259","Home & Kitchen","B005SRI6G0","https://www.amazon.co.uk/The-Discovery-Store-Bottle-Opener/dp/B005SRI6G0/ref=sr_1_3295?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009074&s=kitchen&sr=1-3295"
"Average Reviews: 1,140","","5","Plumb-Pak PF284-3AMZ Compression Blanking Nut 1/2 inch - Pack of 3","Plumb Pak","3.40","360","12","1224","09/01/2009","1.6","406","4.5","1.8","6203","DIY & Tools","B0039823KU","https://www.amazon.co.uk/Plumb-Pak-Compression-Blanking-Nut-inch/dp/B0039823KU/ref=sr_1_3296?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009074&s=kitchen&sr=1-3296"
"","","6","Silverline 589673 Concrete and Stone Cutting Diamond Blade 230 x 22.2 mm","Silverline","11.29","355","11","4008","11/30/2006","7.42","1420","4.6","3.87","2936","DIY & Tools","B000LFYQ1S","https://www.amazon.co.uk/Silverline-589673-Concrete-Cutting-Diamond/dp/B000LFYQ1S/ref=sr_1_3297?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009074&s=kitchen&sr=1-3297"
"","","7","Ecover Toilet Cleaner Pine & Mint 750ml","Ecover","1.00","2023","67","2023","01/01/2006","-1.74","242","4.6","2.74","247","Grocery","B0017RRD8C","https://www.amazon.co.uk/Ecover-Toilet-Cleaner-750-ml/dp/B0017RRD8C/ref=sr_1_3298?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009074&s=kitchen&sr=1-3298"
"","","8","Suob 6 Pack Vacuum Storage Bags 80 x 60cm Double Zip Seal Reusable for Bedding Double Duvet Pillows Mattress Quilt Clothes Sweaters Dress Coats Curtains Blankets","Suob","12.99","5306","176","68925","04/07/2019","8.82","6618","4.4","4.17","125","Home & Kitchen","B07QGS32WV","https://www.amazon.co.uk/Suob-Reusable-Mattress-Sweaters-Curtains/dp/B07QGS32WV/ref=sr_1_3289?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009074&s=kitchen&sr=1-3289"
"","","9","2 Packs of A3 Setchbook Drawing Paper - Kids Coloring Book and Art Paper - Easy to Use Doodle Pad with 80 GSM 30 Sheets Each Total 60 Sheets","G4GADGET","6.99","690","23","4823","07/10/2020","...","216","4.5","","1580","Stationery & Office Supplies","B08CRVKMZ7","https://www.amazon.co.uk/Packs-Sketch-Pad-GSM-Sheets/dp/B08CRVKMZ7/ref=sr_1_3290?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009074&s=kitchen&sr=1-3290"
"","","10","Sealey PL/13/3S Extra Heavy-Duty Rubber Plug 13Amp 134mm x 96mm x 49mm Black","Sealey","6.19","327","10","2024","06/07/2007","3.22","1625","4.6","2.97","3466","DIY & Tools","B000RO1G2U","https://www.amazon.co.uk/Sealey-PL-13-3S-Heavy-Duty/dp/B000RO1G2U/ref=sr_1_3291?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009074&s=kitchen&sr=1-3291"
