"Export date: 7/11/2021, 5:51:20 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Plant Pot Coffee Mug for Gardeners Gardener of The Year Pot Mug and Shovel Spoon Unique Design Gift Set for Nature Lovers Gardeners Birthdays & Fathers Day","RAJX","12.49","473","9","5908","03/29/2021","8.4","18","4.9","4.09","13858","Home & Kitchen","B0912GF1KH","https://www.amazon.co.uk/Coffee-Gardeners-Gardener-Birthdays-Fathers/dp/B0912GF1KH/ref=sr_1_2740?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007844&s=kitchen&sr=1-2740"
"Average Sales: 1,101","","2","ANSIO Mini Tower fan - Black 16 inch Oscillating Fan with 3 Speed setting  Ideal for Desktop Bedside Table Home or Office Use","ANSIO","24.99","3032","75","75770","04/17/2020","17.09","548","4.3","7.9","638","Home & Kitchen","B0878PRZSW","https://www.amazon.co.uk/ANSIO-Mini-Tower-fan-Oscillating/dp/B0878PRZSW/ref=sr_1_2741?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007844&s=kitchen&sr=1-2741"
"Average Sales Rank: 3,298","","3","Yankee Candle Gift Set | 3 Scented Votive Candles & 1 Small Jar Candle | The Last Paradise Collection | Ideal for Mother's Day","Yankee Candle","12.60","1973","89","24860","12/28/2020","8.49","2538","4.6","4.11","472","Home & Kitchen","B08RJ858SJ","https://www.amazon.co.uk/Yankee-Candle-Scented-Paradise-Collection/dp/B08RJ858SJ/ref=sr_1_2742?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007844&s=kitchen&sr=1-2742"
"Average Price: £10.62","","4","ThermoPro TP02S Digital Meat Thermometer Instant Read Cooking Food Thermometer for Kitchen Smoker Grill BBQ Water Milk Jam Hot Beverage Thermometer Probe","ThermoPro","9.99","4637","91","46324","10/18/2016","6.25","6300","4.6","3.74","450","Home & Kitchen","B01LXI5HYH","https://www.amazon.co.uk/ThermoPro-Instant-Thermometer-Stainless-Included/dp/B01LXI5HYH/ref=sr_1_2743?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007844&s=kitchen&sr=1-2743"
"Average Reviews: 849","","5","Yiran Colorful Confetti Balloons - Pack of 12 Latex 12' Inch with 1pc Balloon Spare and 1pc Ribbon Decorations for Birthday Parties Weddings Anniversaries and Celebrations","Yiran","4.29","2556","83","10965","03/26/2021","2.58","950","4.6","1.71","225","Toys & Games","B09157RP56","https://www.amazon.co.uk/Yiran-Colorful-Confetti-Balloons-Anniversaries/dp/B09157RP56/ref=sr_1_2744?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007844&s=kitchen&sr=1-2744"
"","","6","Beaumont DF225 Stainless Steel Mezzlar Tin on Tin Boston Cocktail Shaker","Beaumont","8.81","274","11","2414","08/14/2015","5.14","506","4.6","3.67","11774","Home & Kitchen","B076MGY9C5","https://www.amazon.co.uk/Beaumont-DF225-Mezclar-Boston-Cocktail/dp/B076MGY9C5/ref=sr_1_2745?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007844&s=kitchen&sr=1-2745"
"","","7","Daler Rowney Caddy Box - White","DR","13.26","334","16","4429","01/28/2008","8.74","638","4","4.52","6895","Home & Kitchen","B0013FA3SU","https://www.amazon.co.uk/Daler-Rowney-Caddy-Box-White/dp/B0013FA3SU/ref=sr_1_2746?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007844&s=kitchen&sr=1-2746"
"","","8","Birthday Card Husband Wife Partner Anniversary Valentines Christmas Annoy You Rude Card 278","Close to the Bone","3.99","916","27","3655","04/14/2021","2.33","31","4.8","1.66","1359","Stationery & Office Supplies","B092JQ8YTR","https://www.amazon.co.uk/Birthday-Husband-Anniversary-Valentines-Christmas/dp/B092JQ8YTR/ref=sr_1_2737?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007844&s=kitchen&sr=1-2737"
"","","9","Unicorn Gifts for Girls 2 in 1 Star Projector Unicorn Night Light for Kids Girls Toys for Kids Age 3-9 Christmas Birthday Unicorn Gifts for 3-10 Year Old Girls Unicorn Toys for 3-8 Year Old Girls","DQMOON","17.99","508","9","9139","03/31/2021","13.06","9","4.1","4.93","1859","Lighting","B091FD6RHJ","https://www.amazon.co.uk/Unicorn-Gifts-Projector-Christmas-Birthday/dp/B091FD6RHJ/ref=sr_1_2738?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007844&s=kitchen&sr=1-2738"
"","","10","YILEEY Scrap Book 80 Black Pages Scrapbook Photo Album 12 x 9 inches Memory Books Guestbooks DIY Gift Scrapbooking Kits with 10pcs Markers Pens 5pcs Stencils 6pcs Stickers and 2pcs Photo Corners","YILEEY","13.89","1813","63","25183","05/24/2020","9.55","1024","4.8","4.34","862","Home & Kitchen","B087BZX38C","https://www.amazon.co.uk/dp/B087BZX38C"
