"Export date: 7/11/2021, 7:20:50 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","NOAH'SLINEN EXTRA DEEP FITTED SHEET SUPER KING SIZE WHITE 100% COTTON 200 THREAD COUNT 200TC 40CM/16' INCHESB07CZKJX4C","Noah's Linen","12.80","1897","89","24282","05/09/2018","8.66","2139","4.5","4.14","470","Home & Kitchen","NOAHSLINEN","https://www.amazon.co.uk/NOAHSLINEN-FITTED-COTTON-THREAD-INCHES/dp/B07CZKJX4C/ref=sr_1_4180?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013200&s=kitchen&sr=1-4180"
"Average Sales: 536","","2","Quailitas Cultery Basket for models Hotpoint FDAL28 FDF780 FDF784 FDF570 FDL570 Dishwasher","Quailitas","7.90","327","10","2583","07/22/2020","","357","4.3","","12402","Home & Kitchen","B08DG2WJ7K","https://www.amazon.co.uk/Quailitas-Cultery-Basket-Hotpoint-Dishwasher/dp/B08DG2WJ7K/ref=sr_1_4181?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013200&s=kitchen&sr=1-4181"
"Average Sales Rank: 10,540","","3","Vacuum Sealer Machine Automatic Vacuum Sealer Vac Packing and Food Sealing Dry and Moist Food Preservation 15pcs Vacuum Sealer Bags","YRIGHT","23.99","182","7","4366","12/31/2020","","1282","4.7","","20050","Home & Kitchen","B08RRRPS3Q","https://www.amazon.co.uk/Machine-Automatic-Packing-Sealing-Preservation/dp/B08RRRPS3Q/ref=sr_1_4182?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013200&s=kitchen&sr=1-4182"
"Average Price: £12.59","","4","Dual Tip Brush Pens Funnasting Colouring Pens 24 Colors Dual Tip Brush Marker Pens Brush Fineliner Pens for Colouring Book Journal Drawing Lettering Sketching","Funnasting","8.99","383","18","3443","10/10/2020","6.56","310","4.5","2.43","5860","Home & Kitchen","B08KZXQF8N","https://www.amazon.co.uk/Funnasting-Colouring-Fineliner-Lettering-Sketching/dp/B08KZXQF8N/ref=sr_1_4183?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013200&s=kitchen&sr=1-4183"
"Average Reviews: 1,436","","5","(Beige) 5 Stems Natural Artificial Large Pampas grass Height-40inch/100cm Pampas Grass Decor Phragmites Vase Artificial Plants For Wedding Flower Bunch Home Decor Fake Flower Simulation Wreath Boho","MEETFUN","28.80","218","8","6278","03/09/2021","","45","4.9","","16101","Home & Kitchen","B08YD8M1LS","https://www.amazon.co.uk/Natural-Artificial-Height-40inch-Phragmites-Simulation/dp/B08YD8M1LS/ref=sr_1_4184?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013200&s=kitchen&sr=1-4184"
"","","6","306 Led Curtain Fairy Lights Outdoor Gazebo Lights Mains Powered 3m x 3m Warm White Fairy Lights Waterproof for Outside Garden Pergola Party Summer House Christmas Decorations 8 Modes 20 Hooks","BIGHOUSE","16.14","1243","51","20062","09/16/2019","11.49","1439","4.7","4.65","220","Lighting","B07XYSQB41","https://www.amazon.co.uk/306-LED-Curtain-Lights-Plug/dp/B07XYSQB41/ref=sr_1_4185?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013200&s=kitchen&sr=1-4185"
"","","7","Graduation Decorations 2021 Graduation Balloons Gold Foil Congrats Grad Banner Suitable for High School College Graduation Party Decorations SuppliesYou Did It","QASIMOF","14.99","218","9","3268","06/09/2021","10.49","1","5","4.5","6651","Toys & Games","B096XSR2LG","https://www.amazon.co.uk/Graduation-Decorations-Balloons-Congrats-Suitable/dp/B096XSR2LG/ref=sr_1_4186?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013200&s=kitchen&sr=1-4186"
"","","8","24pk Toilet Bowl Freshener | Each 50g Toilet Block Lasts for 14 Days | A Total of 24 Ocean Scented Cistern Blocks by Prism","Prism","6.89","517","18","3562","07/02/2019","3.66","766","3.7","3.23","3387","Grocery","B07TTFXN2M","https://www.amazon.co.uk/Toilet-Freshener-Scented-Cistern-Prism/dp/B07TTFXN2M/ref=sr_1_4177?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013200&s=kitchen&sr=1-4177"
"","","9","5D DIY Diamond Paint Kits Full Drill 5D Cat with Rose Crystal Cross Stitch Embroidery Arts and Crafts Canvas Pictures Painting by Numbers for Kids Adults Gifts Home Wall Decorations-30x30cm","Xiaomoyu","3.88","130","5","504","04/10/2021","2.24","3","4.6","1.64","27380","Home & Kitchen","B09276CK2C","https://www.amazon.co.uk/Diamond-Embroidery-Pictures-Painting-Decorations-30x30cm/dp/B09276CK2C/ref=sr_1_4178?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013200&s=kitchen&sr=1-4178"
"","","10","Hand Chopper Manual Food Processor Pull String to Slice VegetablesOnions Garlic Nuts Tomato Meat in SecondsCurved Stainless Steel Removable Blades Non-Slip Base Food Chopper(520ml)","ZOJI","10.99","379","12","4165","09/14/2020","7.13","148","4.2","3.86","10221","Home & Kitchen","B08RHTVC21","https://www.amazon.co.uk/Processor-Vegetables-Stainless-Removable-Non-Slip/dp/B08RHTVC21/ref=sr_1_4179?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013200&s=kitchen&sr=1-4179"
"","","11","Klar Water Filter Replacement","Klar Water","9.99","635","20","6344","06/11/2018","6.28","303","4.6","3.71","5005","Home & Kitchen","B07DP4WN7N","https://www.amazon.co.uk/Klar-Water-Filter-Replacement/dp/B07DP4WN7N/ref=sr_1_4180?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013200&s=kitchen&sr=1-4180"
"","","12","Marmite Spread 2 x 600g Tub","Marmite","15.99","236","12","3774","01/02/2015","11.36","275","4.8","4.63","10115","Home & Kitchen","B00RPCVBZY","https://www.amazon.co.uk/Marmite-Spread-600g-Tub/dp/B00RPCVBZY/ref=sr_1_4181?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013200&s=kitchen&sr=1-4181"
"","","13","STAEDTLER for Pencils up to 8.2 mm Diameter Tub Round Sharpener Blue","STAEDTLER","3.90","2434","114","9493","05/22/2011","1.09","3178","4.6","2.81","151","Stationery & Office Supplies","B00FGLL2UU","https://www.amazon.co.uk/STAEDTLER-Pencils-Diameter-Round-Sharpener/dp/B00FGLL2UU/ref=sr_1_4182?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013200&s=kitchen&sr=1-4182"
