"Export date: 7/11/2021, 7:34:38 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Nitebeat Records GC121 Assorted Cork Tops 100g Contains Approx 50 Pieces ranging from 2cm-4cm in Length Natural","Nitebeat Records","5.65","236","13","1333","07/27/2012","2.61","567","4.3","3.04","9233","Home & Kitchen","B008PQ5K6K","https://www.amazon.co.uk/Major-Brushes-CK8115-Assorted-Cork/dp/B008PQ5K6K/ref=sr_1_4516?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014039&s=kitchen&sr=1-4516"
"Average Sales: 524","","2","XHXSTORE 5Pcs Dried Flowers Pampas Grass Reed Grass Plumes Large Natural Dried Plant Grey Pampas Fluffy Phragmites Communis Bouquet for Wedding Floral Arrangements Home Living Room Decoration 110cm","XHXSTORE","18.99","134","8","2545","07/13/2020","13.9","46","3.3","5.09","17353","Home & Kitchen","B087JHJJ8D","https://www.amazon.co.uk/XHXSTORE-Artificial-Gypsophila-Bouquets-Decoration/dp/B087JHJJ8D/ref=sr_1_4517?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014039&s=kitchen&sr=1-4517"
"Average Sales Rank: 7,052","","3","Premier Seeds Direct 9K-M2UV-C56N Herb Basil Genovese Finest Seed 14 gm","Premier Seeds Direct","1.49","852","67","1269","10/01/2014","0.19","347","4.4","1.3","416","Garden & Outdoors","B00OKHAKB8","https://www.amazon.co.uk/Premier-Seeds-Direct-9K-M2UV-C56N-Genovese/dp/B00OKHAKB8/ref=sr_1_4518?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014039&s=kitchen&sr=1-4518"
"Average Price: £17.00","","4","Fabric Scissors - 10 Inch(25.4CM) Sewing Dressmaking Scissors Tailor's Dressmaker Shears for Cutting Fabric Clothes Leather Raw Materials(Right-Handed Black)","Homlynn","10.99","483","20","5308","11/11/2020","7.1","394","4.8","3.89","5130","Home & Kitchen","B086GL9GFL","https://www.amazon.co.uk/Fabric-Scissors-Inch-25-5CM-Right-Handed/dp/B086GL9GFL/ref=sr_1_4519?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014039&s=kitchen&sr=1-4519"
"Average Reviews: 1,211","","5","Talking Tables 6 Pack Reusable Plastic Colourful Food Baskets for Hotdogs Burgers Fries Sweets Crisps Snacks | Movie Nights Kids Birthday Party Picnics Tropical BBQ Summer Garden Festival","Talking Tables","4.70","1268","49","5960","01/20/2017","1.8","953","4.6","2.9","1315","Home & Kitchen","B01NBWM6NM","https://www.amazon.co.uk/Talking-Tables-Plastic-Baskets-Multicolour/dp/B01NBWM6NM/ref=sr_1_4520?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014039&s=kitchen&sr=1-4520"
"","","6","Shower Squeegee Window Squeegee Stainless Steel Shower Screen Wiper with Strong Suction Hook for Bathroom Kitchen MirrorCar Window and Glass Cleaning 10 Chrome","Ettori","13.99","1048","34","14662","08/06/2020","9.64","130","4.4","4.35","1575","Home & Kitchen","B08FC5VCHS","https://www.amazon.co.uk/Squeegee-Stainless-Suction-Bathroom-Cleaning/dp/B08FC5VCHS/ref=sr_1_4521?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014039&s=kitchen&sr=1-4521"
"","","7","New Boasting A Contemporary Design Grey Tea Coffee and Sugar Metal Stacking Canisters","RA-HOMESTORE","18.55","324","10","6010","04/02/2021","...","146","4.3","","8914","Home & Kitchen","B08GM7Y9L5","https://www.amazon.co.uk/Boasting-Contemporary-Design-Stacking-Canisters/dp/B08GM7Y9L5/ref=sr_1_4522?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014039&s=kitchen&sr=1-4522"
"","","8","Chalkola Acrylic Paint Pens for Rock Painting Wood Glass Canvas Ceramic & Fabric Pens - Set of 20 Fine Tip Acrylic Paint Markers - Reversible Bullet & Chisel Tip - Art Supplies for Kids & Adults","Chalkola","14.95","330","11","4934","06/02/2019","...","1748","4.7","","5439","Home & Kitchen","B07SFT4R83","https://www.amazon.co.uk/dp/B07SFT4R83"
"","","9","Gtech Multi MK2 Handheld Vacuum Cleaner","Gtech","149.00","498","16","74202","09/15/2014","122.12","1322","4.5","26.88","6442","Home & Kitchen","B00LZZ3G5U","https://www.amazon.co.uk/Gtech-Multi-Handheld-Vacuum-Cleaner/dp/B00LZZ3G5U/ref=sr_1_4514?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014039&s=kitchen&sr=1-4514"
"","","10","Cricut 2008727 Foil Transfer Kit Explore Maker Machines 3 Tips - fine Medium & Bold","Cricut","39.00","238","7","9282","09/24/2020","30.82","474","4.7","8.18","14835","Home & Kitchen","B08HM5HYWV","https://www.amazon.co.uk/dp/B08HM5HYWV"
"","","11","Barry Wood Sitting On Bed Meme Mug - Funny Rude Mug - Message Appears as it Heats - Perfect Novelty Gag Gift - Office Joke (Barry Wood Sitting on a Bed)","Mean Mugs","14.99","400","13","5996","03/19/2021","10.52","66","4.5","4.47","11051","Home & Kitchen","B08ZJLP6QN","https://www.amazon.co.uk/dp/B08ZJLP6QN"
"","","12","Royal & Langnickel sketching artist pencils - set of 12 drawing pencils 5H to 6B","Royal & Langnickel","2.99","294","9","879","03/05/2010","1.48","6043","4.7","1.51","3775","Stationery & Office Supplies","B003B44N8W","https://www.amazon.co.uk/dp/B003B44N8W"
"","","13","Pyrex Classic Round Glass Bowl Ovenproof and Microwave Safe 0.5 Litre Transparent (Pack of 2)","Pyrex","11.40","173","5","1972","07/24/2020","...","86","4.5","","22009","Home & Kitchen","B08DKXG47L","https://www.amazon.co.uk/dp/B08DKXG47L"
"","","14","Unique Party 84863 Birthday Badge | Glittery Rosegold | 1 Pc Rose Gold Happy","Unique Party","1.38","248","8","342","07/05/2019","-0.25","576","4.7","1.63","4789","Home & Kitchen","B07TZ55MLH","https://www.amazon.co.uk/dp/B07TZ55MLH"
"","","15","A4 Cinematic Lightbox | Includes 205 Letters & Emoji | Illuminated Light Up Box Sign | Battery or USB Powered | Halloween Decoration | Pukkr","Pukkr","12.49","1242","41","15513","10/06/2017","8.09","1898","4.4","4.4","197","Lighting","B0767MPW5L","https://www.amazon.co.uk/dp/B0767MPW5L"
"","","16","Birthday Card Sister - 9 x 6 inches - Regal Publishing","Regal Publishing","2.49","591","19","1472","07/08/2019","1.06","1524","4.8","1.43","2112","Stationery & Office Supplies","B081MRNC14","https://www.amazon.co.uk/dp/B081MRNC14"
"","","17","3 X Sandalwood Satya Nag Champa Incense Sticks Packs 15g with JRose Bookmark by Sterling EffectzB071H43WDF","Satya Nag Champa","2.39","361","15","863","05/18/2017","0.97","309","4.6","1.42","7244","Home & Kitchen","SANDALWOOD","https://www.amazon.co.uk/SANDALWOOD-Satya-Nag-Champa-Souvenir/dp/B071H43WDF/ref=sr_1_4230?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013326&s=kitchen&sr=1-4230"
"","","18","Children Kids Flick A Chicken Novelty Catapult Party Bag Toy Pinata Fillers","Playwrite","1.48","757","25","1120","09/17/2013","0.18","6266","4.4","1.3","2023","Toys & Games","B00IJFAFD0","https://www.amazon.co.uk/dp/B00IJFAFD0"
"","","19","Romanda Kitchen ScalesDigital Scales Kitchen Weight Grams and Oz Electronic Food Scales for Baking and Cooking1g/0.1oz Precise Graduation22lb/10kg","Romanda","23.99","962","32","23078","11/20/2020","18.11","516","4.8","5.88","5424","Home & Kitchen","B08LPQTQ3G","https://www.amazon.co.uk/dp/B08LPQTQ3G"
