"Export date: 7/11/2021, 7:21:50 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Philips Kalk- und Wasserfilter CA6903/22 Aqua Clean Automatic Coffee Machine Water Filters Twin Pack Plastic","Philips","24.11","132","6","3183","09/27/2017","18.1","20410","4.7","6.01","23351","Home & Kitchen","B074M9DZ4M","https://www.amazon.co.uk/Philips-CA6903-22-Water-Limestone-Delivery/dp/B074M9DZ4M/ref=sr_1_4196?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013200&s=kitchen&sr=1-4196"
"Average Sales: 699","","2","Portable Lint Remover Lint Roller Clothes Fuzz Shaver Lint Cleaner","VEGCOO","4.28","1144","38","4896","04/26/2021","2.58","132","4.1","1.7","5050","Home & Kitchen","B08MZDBRTG","https://www.amazon.co.uk/VEGCOO-Portable-Remover-Clothes-Cleaner/dp/B08MZDBRTG/ref=sr_1_4205?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013265&s=kitchen&sr=1-4205"
"Average Sales Rank: 6,877","","3","AUERVO Happy Birthday Banner Birthday Bunting with 4 Pieces Gold Confetti Latex Balloons and 4 Pieces Black and 4 Pieces Gold Party Balloons Perfect for Birthday Party Decorations (Black)","AUERVO","4.99","258","8","1287","03/15/2021","2.02","28","4.8","2.97","7087","Toys & Games","B08YZ2LT8G","https://www.amazon.co.uk/AUERVO-Birthday-Confetti-Balloons-Decorations/dp/B08YZ2LT8G/ref=sr_1_4206?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013265&s=kitchen&sr=1-4206"
"Average Price: £12.05","","4","Kitchen Timer  Digital Kitchen Timer Magnetic Countdown Stopwatch Timer with Loud Alarm Big Digit Back Stand Hanging Hole for Cooking Shower Bathroom Kids ClassroomB088TJVXNK","INRIGOROUS","5.49","1828","60","10036","05/19/2020","3.6","670","4.4","1.89","1446","Home & Kitchen","INRIGOROUS","https://www.amazon.co.uk/INRIGOROUS-Magnetic-Countdown-Stopwatch-Classroom/dp/B088TJVXNK/ref=sr_1_4207?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013265&s=kitchen&sr=1-4207"
"Average Reviews: 1,868","","5","Pilot V5 0.5 mm Liquid Ink Rollerball Pen - Black (Pack of 5) 3131910541103","Pilot","5.00","383","12","1915","01/31/2020","3.18","285","4.8","1.82","2294","Stationery & Office Supplies","B084DQQP87","https://www.amazon.co.uk/Pilot-0-5-Liquid-Rollerball-3131910541103/dp/B084DQQP87/ref=sr_1_4208?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013265&s=kitchen&sr=1-4208"
"","","6","Flowclear Type II Filter Cartridge","Bestway","9.12","1512","50","13789","11/28/2007","5.53","5548","4.5","3.57","1387","Garden & Outdoors","B00FQD5TFM","https://www.amazon.co.uk/Bestway-58094-Pool-Filter-Cartridge/dp/B00FQD5TFM/ref=sr_1_4209?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013265&s=kitchen&sr=1-4209"
"","","7","Cole & Mason H50518P 505 Clear Salt and Pepper Mills | Precision+ | Acrylic | 140 mm | Gift Set | Includes 2 x Salt and Pepper Grinders | Lifetime Mechanism Guarantee","Cole & Mason","16.10","433","14","6971","10/26/2011","11.46","851","4.5","4.64","6182","Home & Kitchen","B00606D7U8","https://www.amazon.co.uk/Cole-Mason-Precision-Capstan-Acrylic/dp/B00606D7U8/ref=sr_1_4210?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013265&s=kitchen&sr=1-4210"
"","","8","MATCC Scrubber Brush Tub and Tile Scrubber with Detachable Long Handle Grout Cleaner Bathroom Bathtubs Cleaner for Deep Cleaning Corner and Area Hard to Reach","MATCC","17.98","298","9","5358","03/03/2021","13.05","39","4.5","4.93","4844","Grocery","B08S6M61VN","https://www.amazon.co.uk/dp/B08S6M61VN"
"","","9","East of India Hanging Heart Gift Memories are the loveliest things","East of India","5.92","397","13","2350","03/23/2021","3.69","321","4.7","2.3","7310","Home & Kitchen","B07MYF586M","https://www.amazon.co.uk/East-India-Hanging-Memories-loveliest/dp/B07MYF586M/ref=sr_1_4202?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013265&s=kitchen&sr=1-4202"
"","","10","homeasy Bathroom Shower Shelf No Drilling Shower Holders Storage Shower Caddy Hanging Bathroom Organiser for Soap Shampoo Shower Rack Hanging with Buckle and Shower Head Hook 2 Rotating Hooks","homeasy","11.04","1725","57","19044","01/20/2021","7.17","1453","4.6","3.87","643","Home & Kitchen","B08THDQ2M1","https://www.amazon.co.uk/dp/B08THDQ2M1"
