"Export date: 7/11/2021, 6:14:29 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","6 Pack Happy Birthday Cake Toppers Fonrroni Gold Glittery Acrylic Cake Toppers for Birthday Party Cake Decorations","Fonrroni","3.89","522","12","2031","04/23/2021","2.24","21","4.6","1.65","10495","Home & Kitchen","B093BKDC2D","https://www.amazon.co.uk/Birthday-Toppers-Fonrroni-Glittery-Decorations/dp/B093BKDC2D/ref=sr_1_3364?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009228&s=kitchen&sr=1-3364"
"Average Sales: 690","","2","Silent DeskFanJoneytech4000mAh USBRechargeableBatteryPortable TableFanswith4SpeedsPowerfulCoolingforHomeOfficeBedroomIndoor andoutdoor(White)","Joneytech","19.99","300","10","5997","05/22/2021","","38","4.5","","12905","Home & Kitchen","B0912GHZ3T","https://www.amazon.co.uk/Joneytech-4000mAh-USB-Rechargeable-Battery-Portable-Table-Fans-Powerful-Cooling-Home-Office-Bedroom-Indoor/dp/B0912GHZ3T/ref=sr_1_3365?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009228&s=kitchen&sr=1-3365"
"Average Sales Rank: 6,191","","3","Fast Tack Quick Stick & Very Sticky PVA Glue - 115ml | Craft Adhesives","CRAFTY CAPERS","5.29","190","9","1005","08/18/2009","","219","4.6","","14413","Home & Kitchen","B002LXNLMI","https://www.amazon.co.uk/Impex-HT1788-Faster-Drying-Adhesive/dp/B002LXNLMI/ref=sr_1_3366?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009228&s=kitchen&sr=1-3366"
"Average Price: £10.45","","4","Silverline 282651 Try & Mitre Square with Spirit Level 150mm","Silverline","4.81","420","15","2020","06/16/2010","2.84","1042","4.3","1.97","3396","DIY & Tools","B003TO6RYC","https://www.amazon.co.uk/Silverline-282651-Mitre-Square-Spirit/dp/B003TO6RYC/ref=sr_1_3367?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009228&s=kitchen&sr=1-3367"
"Average Reviews: 1,146","","5","Q-Connect Metal Pencil Sharpener Pack of 20 Silver","Q-CONNECT","2.49","524","24","1305","02/19/2007","1.06","555","4.4","1.43","1516","Stationery & Office Supplies","B006OBFE82","https://www.amazon.co.uk/Q-Connect-Metal-Pencil-Sharpener-Pack/dp/B006OBFE82/ref=sr_1_3368?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009228&s=kitchen&sr=1-3368"
"","","6","Kmart UK Stock Sensory Toys SetAnxiety Fidget Toy for Children Adults Special Toys Assortment for Birthday Party Favors Classroom Rewards Prizes Carnival Goodie Bag Fillers Gift Set (I)","Kmart","19.99","3234","129","64648","06/01/2021","14.72","7","3.1","5.27","82","Toys & Games","B096B59ZCG","https://www.amazon.co.uk/Kmart-Children-Assortment-Birthday-Classroom/dp/B096B59ZCG/ref=sr_1_3369?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009228&s=kitchen&sr=1-3369"
"","","7","18th Birthday Sash and Tiara for Girls Rose Gold Birthday Sash Crown 18 & Fabulous Sash and Tiara for Girls 18th Birthday Gifts for Happy 18th Birthday Party Favor Supplies","SZHUIHER","10.99","343","14","3770","11/10/2020","7.1","74","4.9","3.89","3725","Toys & Games","B08N46KKGL","https://www.amazon.co.uk/Birthday-Tiara-Girls-Fabulous-Supplies/dp/B08N46KKGL/ref=sr_1_3370?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009228&s=kitchen&sr=1-3370"
"","","8","Miele 9917710 FJM Red Replacement Dustbags","Miele","17.99","342","25","6153","10/31/2016","13.06","837","4.8","4.93","3732","Home & Kitchen","B01M24L2N8","https://www.amazon.co.uk/Miele-FJM-Hyclean-Dustbags-Bags/dp/B01M24L2N8/ref=sr_1_3361?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009228&s=kitchen&sr=1-3361"
"","","9","Sass & Belle Wooden Fox Coasters - Set of 6","Sass & Belle","7.99","251","9","2005","04/09/2014","2.63","436","4.5","5.36","13999","Home & Kitchen","B00JKUMOY6","https://www.amazon.co.uk/Set-Wooden-Coasters-Brown-Beige/dp/B00JKUMOY6/ref=sr_1_3362?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009228&s=kitchen&sr=1-3362"
"","","10","Cricut Smart Vinyl Permanent | 1 Sheet | 33cm x 0.9m Matte Metallic Champagne (3ft)","Cricut","6.99","164","7","1146","06/08/2021","3.74","2","5","3.25","19799","Home & Kitchen","B095X77264","https://www.amazon.co.uk/Cricut-Smart-Permanent-Metallic-Champagne/dp/B095X77264/ref=sr_1_3364?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009228&s=kitchen&sr=1-3364"
"","","11","Briggs & Stratton 100006E 4-Stroke Lawn Mower Engine Oil SAE30 1.4 l Black 1.4 Litre","Briggs & Stratton","8.49","3842","124","32619","03/20/2010","5.01","5444","4.7","3.48","24","Automotive","B003DBQJNU","https://www.amazon.co.uk/Briggs-Stratton-100006E-4-Stroke-Engine/dp/B003DBQJNU/ref=sr_1_3365?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009228&s=kitchen&sr=1-3365"
"","","12","Belgian Waffle Maker Iron Machine 1200W I Non-Stick Coating I Electric I Adjustable Temperature Control I Recipes I Deep Cooking Plates I Indicator Lights I Easy Clean I 2-Slice","AICOOK","33.14","268","25","8882","08/13/2020","25.89","141","4.6","7.25","3675","Home & Kitchen","B0895QGRSL","https://www.amazon.co.uk/AICOOK-Aicook-Belgian-Waffle-Maker-Iron-Machine-1200W-I-Non-Stick-Coating-I-Electric-I-Adjustable-Temperature-Control-I-Recipes-I-Deep-Cooking-Plates-I-Indicator-Lights-I-Easy-Clean-I-2-Slice/dp/B0895QGRSL/ref=sr_1_3366?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009228&s=kitchen&sr=1-3366"
"","","13","3D Illusion Lamp Among Game Us Gift 16 Colors Changes 3D Decor Night Light Gift for Kids Boys Men Girls","Zanetta","12.74","313","18","3988","12/16/2020","8.61","60","4.5","4.13","922","Lighting","B08QRTWH5Y","https://www.amazon.co.uk/Illusion-Among-Colors-Changes-Decor/dp/B08QRTWH5Y/ref=sr_1_3367?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009228&s=kitchen&sr=1-3367"
"","","14","6 Well Economy Palette by Major Brushes","Major Brushes","1.72","1447","48","2489","08/30/2009","-0.72","4196","4.6","2.44","634","Toys & Games","B01HNLHBJG","https://www.amazon.co.uk/6-Well-Economy-Palette-Major-Brushes/dp/B01HNLHBJG/ref=sr_1_3368?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009228&s=kitchen&sr=1-3368"
"","","15","20 x One piece disposable plastic wine glasses (200ml). Ideal for picnics camping and glamping festivals outdoor pool bbq garden and special occasions. Offer Pack of 20 glasses with 4 x AIOS drinks mats in box.","Regalzone","6.50","420","11","2730","07/17/2015","3.33","85","4.1","3.17","11097","Home & Kitchen","B011OB45MM","https://www.amazon.co.uk/disposable-plastic-glamping-festivals-occasions/dp/B011OB45MM/ref=sr_1_3369?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009228&s=kitchen&sr=1-3369"
