"Export date: 7/11/2021, 5:40:51 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Water Jug 2.4L Glass Water Jug with Lid Borosilicate Glass Pitcher Jug for Fridge Heat Resistant Water Carafe for Juice Iced Tea Milk Cold & Hot Beverage","STNTUS INNOVATIONS","15.99","471","18","7531","11/16/2020","11.36","79","4.4","4.63","5915","Home & Kitchen","B08NJQYTCH","https://www.amazon.co.uk/Borosilicate-Pitcher-Fridge-Resistant-Beverage/dp/B08NJQYTCH/ref=sr_1_2452?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007212&s=kitchen&sr=1-2452"
"Average Sales: 1,025","","2","Redolence Wax Melts Scented (Pack of 4)  Long Lasting Fragrance Cubes with Pleasant Aroma  Candle Melts Perfect for Gifts  Reusable Smokeless Air Fresheners for Home and Office Use.","Redolence","8.69","518","14","4501","12/22/2020","5.18","54","4.5","3.51","8317","Home & Kitchen","B08R6BNKDC","https://www.amazon.co.uk/Redolence-Wax-Melts-Scented-Pack/dp/B08R6BNKDC/ref=sr_1_2453?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007212&s=kitchen&sr=1-2453"
"Average Sales Rank: 4,527","","3","Colonial Needle Pebbles Knitter's Needles-Assorted 3/Pkg Other Multicoloured","Colonial Needle","2.99","458","12","1369","11/23/2014","1.15","2615","4.8","1.84","9832","Home & Kitchen","B00NU3LTEK","https://www.amazon.co.uk/Colonial-Needle-Knitters-Needles-Assorted-Multicoloured/dp/B00NU3LTEK/ref=sr_1_2454?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007212&s=kitchen&sr=1-2454"
"Average Price: £8.54","","4","Sapphire Collection 800 Thread Count Pure Egyptian Cotton Super Soft Hotel Quality Flat Sheet (White King)","Sapphire Collection","23.99","195","10","4678","10/09/2018","","225","4.7","","12185","Home & Kitchen","B07J5LWSXG","https://www.amazon.co.uk/Sapphire-collection-Thread-Egyptian-Quality/dp/B07J5LWSXG/ref=sr_1_2455?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007212&s=kitchen&sr=1-2455"
"Average Reviews: 1,618","","5","Neutradol 350G","Neutradol","3.08","398","20","1226","04/18/2018","","346","4.4","","2989","Grocery","B07BK5QXF8","https://www.amazon.co.uk/Fresh-Pink-Carpet-Deodoriser-12RES/dp/B07BK5QXF8/ref=sr_1_2456?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007212&s=kitchen&sr=1-2456"
"","","6","Hallmark Birthday Card for Sister - Contemporary Balloon Design","Hallmark","1.85","1577","79","2917","09/12/2019","0.52","2242","4.7","1.33","285","Stationery & Office Supplies","B07XTX7WS1","https://www.amazon.co.uk/Birthday-Card-Sister-Hallmark-Contemporary/dp/B07XTX7WS1/ref=sr_1_2457?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007212&s=kitchen&sr=1-2457"
"","","7","Oaktree UK Sparkling Fizz Black & Gold 80th Birthday Flag Bunting","Oaktree UK","2.10","203","11","426","12/10/2018","-0.4","359","4.7","2.5","5267","Toys & Games","B07L8F1ZCF","https://www.amazon.co.uk/Oaktree-Sparkling-Black-Birthday-Bunting/dp/B07L8F1ZCF/ref=sr_1_2458?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007212&s=kitchen&sr=1-2458"
"","","8","FXCIST Extendable Microfiber Feather Duster Microfiber Duster Dusting Brush with Extendable Pole Washable Duster Head for Home Office Car 3 Set (3colour 3 Set)","FXCIST","5.99","1685","61","10093","03/03/2020","2.89","914","4.1","3.1","745","Grocery","B085D958BX","https://www.amazon.co.uk/Extendable-Microfiber-Feather-Dusting-Washable/dp/B085D958BX/ref=sr_1_2449?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007212&s=kitchen&sr=1-2449"
"","","9","Toilet Seat with Soft Close Quick Release for Easy Clean Oval Toilet Seat Standard Size Toilet Seat Durable Loo Seat Comes with Two Fitting Options by AAN","AAN","21.95","2325","81","51034","02/16/2019","15.18","1769","4.5","6.77","305","DIY & Tools","B07NSWZQDR","https://www.amazon.co.uk/Quick-Release-Cleaning-Plastic-Material-Durable/dp/B07NSWZQDR/ref=sr_1_2450?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007212&s=kitchen&sr=1-2450"
"","","10","KingSaid Universal Oval Knife Block/Knife holder Without Knives - Keep Knives Organized and Clean","KingSaid","11.69","185","8","2163","11/01/2018","","504","4.6","","16071","Home & Kitchen","B07K2WCNGX","https://www.amazon.co.uk/KingSaid-Universal-holder-Without-Knives/dp/B07K2WCNGX/ref=sr_1_2451?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007212&s=kitchen&sr=1-2451"
"","","11","STAEDTLER Noris HB Pencils Pack of 5","STAEDTLER","1.75","9448","363","16534","07/12/2007","0.43","19296","4.8","1.32","10","Stationery & Office Supplies","B001P5V47W","https://www.amazon.co.uk/Staedtler-120-2-Noris-Pencil-Blister/dp/B001P5V47W/ref=sr_1_2452?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007212&s=kitchen&sr=1-2452"
