"Export date: 7/11/2021, 6:03:43 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Scissors Sharp Titanium Blades Soft Grip Handle Multi-Purpose Scissors Set of 3 Suitable for Families Office and School Use Purple","Uaugulft","10.99","319","22","3506","03/24/2021","8.26","16","4.9","2.73","1702","Stationery & Office Supplies","B08ZYBL452","https://www.amazon.co.uk/Scissors-Titanium-Multi-Purpose-Suitable-Families/dp/B08ZYBL452/ref=sr_1_3076?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008582&s=kitchen&sr=1-3076"
"Average Sales: 768","","2","Mahara Universal Microwave Wall Bracket - Depth Adjustable Maximum Weight 45kg - Black","mahara","14.99","145","10","2174","11/02/2020","","40","4.7","","13756","Home & Kitchen","B08MFKK3KL","https://www.amazon.co.uk/Mahara-Universal-Microwave-Wall-Bracket/dp/B08MFKK3KL/ref=sr_1_3077?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008582&s=kitchen&sr=1-3077"
"Average Sales Rank: 6,574","","3","Ice Cube Trays(Set of 2)Silicone Ice Cube Tray Moulds with Non-Spill Lid 6 Giant Ice Ball Cube Maker Best for Freezer Baby Food Water Whiskey Cocktail and Other Drink","Hongtellor","9.99","278","6","2777","04/15/2021","6.25","18","4.8","3.74","25003","Home & Kitchen","B092LZ45YF","https://www.amazon.co.uk/Silicone-Non-Spill-Freezer-Whiskey-Cocktail/dp/B092LZ45YF/ref=sr_1_3078?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008582&s=kitchen&sr=1-3078"
"Average Price: £13.06","","4","Unique Party 99223 - Mint Plastic Tablecloth 9ft x 4.5ft","Unique Party","1.57","2586","10","4060","04/03/2017","-0.86","227","4.1","2.43","5709","Toys & Games","B06XKCDY6C","https://www.amazon.co.uk/Unique-Party-99223-Plastic-Tablecloth/dp/B06XKCDY6C/ref=sr_1_3079?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008582&s=kitchen&sr=1-3079"
"Average Reviews: 1,225","","5","36w LED Batten Lights 4ft 120cm 6000k Daylight IP20 LED Fluorescent Strip Light Fitting for Ceiling of Home & Office Workshop & Garage Lighting Pack of 2","Morris","31.99","376","9","12028","02/10/2021","18.84","82","4.6","13.15","1904","Lighting","B08WCJQFYB","https://www.amazon.co.uk/Daylight-Fluorescent-Fitting-Workshop-Lighting/dp/B08WCJQFYB/ref=sr_1_3080?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008582&s=kitchen&sr=1-3080"
"","","6","Sparkling Wine Yeast Sachet 5g - Also for Restarting Stuck Fermentations - Homebrew Home Brew","Bigger Jugs","2.25","732","6","1647","04/09/2021","","2","5","","24784","Home & Kitchen","B0924YLN9C","https://www.amazon.co.uk/Sparkling-Wine-Yeast-Sachet-Fermentations/dp/B0924YLN9C/ref=sr_1_3081?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008582&s=kitchen&sr=1-3081"
"","","7","Rolson 61290 Cable Clip Assortment - 390 Pieces","Rolson","4.50","2384","91","10728","01/01/2007","1.74","3555","4.6","2.76","252","DIY & Tools","B001GT4QUE","https://www.amazon.co.uk/Rolson-61290-Cable-Clip-Assortment/dp/B001GT4QUE/ref=sr_1_3082?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008582&s=kitchen&sr=1-3082"
"","","8","VETOUR LED Tea Lights Candles 24pack Realistic LED Flickering Operated Tea Lights Steady Battery Tealights Long Lasting Electric Fake Candles Decoration for Party and Gifts Ideas","VETOUR","6.52","458","26","2986","10/27/2020","3.31","472","4.4","3.21","579","Lighting","B08LY6GCQ5","https://www.amazon.co.uk/VETOUR-Flameless-Realistic-Flickering-Decoration/dp/B08LY6GCQ5/ref=sr_1_3073?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008582&s=kitchen&sr=1-3073"
"","","9","Polarduck Universal TV Mounting Hardware Kit: Fits All TVs Up to 80 inch - Includes M4 M5 M6 M8 Screws Washers & Spacers - Works with Any TV Wall Bracket Monitor & TV Stand | 88 PCS Pack Silver","Polarduck","8.99","375","15","3371","06/04/2020","5.4","309","4.4","3.59","1566","Electronics & Photo","B089NH52SH","https://www.amazon.co.uk/Polarduck-Universal-Mounting-Hardware-Washers/dp/B089NH52SH/ref=sr_1_3074?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008582&s=kitchen&sr=1-3074"
"","","10","Refills - STABILO EASYoriginal Refills Blue","STABILO","3.46","601","22","2079","06/19/2015","1.88","6039","4.7","1.58","1765","Stationery & Office Supplies","B00UKZ0DG6","https://www.amazon.co.uk/STABILO-EASYoriginal-Refills-Blue-Pack/dp/B00UKZ0DG6/ref=sr_1_3075?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008582&s=kitchen&sr=1-3075"
"","","11","Morphy Richards 48822 Soup maker Stainless Steel 1000 W 1.6 liters","Morphy Richards","59.99","708","28","42473","01/01/2011","48.63","9174","4.5","11.36","3094","Home & Kitchen","B00844D5FG","https://www.amazon.co.uk/Morphy-Richards-Soupmaker-Stainless-Steel/dp/B00844D5FG/ref=sr_1_3076?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008582&s=kitchen&sr=1-3076"
