"Export date: 7/11/2021, 6:00:50 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Dr. Beckmann Service-it Power Descaler 2 x 50 g","Dr. Beckmann","2.75","535","17","1471","07/26/2019","0.12","1056","4.5","2.63","3278","Grocery","B07VNSWZHP","https://www.amazon.co.uk/Dr-Beckmann-Power-Descaler-2x50gm/dp/B07VNSWZHP/ref=sr_1_3004?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008413&s=kitchen&sr=1-3004"
"Average Sales: 773","","2","Unique Party 13922 Baby Shower Measuring Tape | 150' | 1 Pc Paper","Unique Party","3.49","485","16","1693","06/26/2014","1.91","863","4.6","1.58","8075","Home & Kitchen","B00LPUPZ4K","https://www.amazon.co.uk/Unique-Party-13922-Shower-Measuring/dp/B00LPUPZ4K/ref=sr_1_3005?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008413&s=kitchen&sr=1-3005"
"Average Sales Rank: 4,744","","3","Gorilla Wood Glue 532ml","Gorilla","6.70","1620","54","10854","01/01/2010","3.46","3089","4.7","3.24","","","B0058NU81U","https://www.amazon.co.uk/Gorilla-Wood-Glue-Energy-Class/dp/B0058NU81U/ref=sr_1_3006?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008413&s=kitchen&sr=1-3006"
"Average Price: £8.05","","4","Dual Monitor Mount For 13-27' | Double Arm PC Screen Bracket with Clamp | Height Adjustable | Ergonomic Tilt: 180 | Rotate: 360 | Swivel: 180 | M&W","Maison & White","12.99","217","7","2819","03/06/2018","8.82","463","4.5","4.17","4949","Computers & Accessories","B07929Q22K","https://www.amazon.co.uk/Adjustable-Monitor-Versatile-Ergonomic-Installation/dp/B07929Q22K/ref=sr_1_3007?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008413&s=kitchen&sr=1-3007"
"Average Reviews: 1,187","","5","DriPak White Vinegar 500ml x 2","Dri Pak","4.89","1242","41","6073","07/20/2017","1.96","1454","4.4","2.93","1074","Grocery","B0743JY18K","https://www.amazon.co.uk/Dri-Pak-DriPak-White-Vinegar/dp/B0743JY18K/ref=sr_1_3008?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008413&s=kitchen&sr=1-3008"
"","","6","SPEEDY Network Centre Supports White 12 Loose Pack","SPEEDY","3.45","254","8","876","09/21/2012","0.71","856","4","2.74","15483","Home & Kitchen","B009ETLWXC","https://www.amazon.co.uk/SPEEDY-Network-Centre-Supports-White/dp/B009ETLWXC/ref=sr_1_3009?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008413&s=kitchen&sr=1-3009"
"","","7","Sugru I000941 Moldable Multi-Purpose Glue for Creative Fixing and Making Black White & Gray 3 Piece","sugru","5.99","457","15","2737","11/03/2020","4.21","574","4.5","1.78","2310","DIY & Tools","B089WHQ52C","https://www.amazon.co.uk/I000941-Moldable-Multi-Purpose-Creative-Fixing/dp/B089WHQ52C/ref=sr_1_3010?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008413&s=kitchen&sr=1-3010"
"","","8","Pentel 0.7mm Size HB Shade Hardness Pencil Refill Replacement Spare Leads Hi Pollymer Super For Automatic & Mechanical Pencils (Pack Of 3 Tubes - 36 Pieces)","Pentel","3.29","345","11","1135","07/31/2014","1.41","557","4.7","1.88","4040","Stationery & Office Supplies","B00MA8PIYI","https://www.amazon.co.uk/Pentel-Hardness-Replacement-Automatic-Mechanical/dp/B00MA8PIYI/ref=sr_1_3001?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008413&s=kitchen&sr=1-3001"
"","","9","Thompsons UPVC Restorer 480ml","Thompson","5.00","2139","71","10695","05/01/2007","2.05","2006","4.3","2.95","427","Grocery","B001GU8A14","https://www.amazon.co.uk/Thompson-33180-Thompsons-Restorer-480ml/dp/B001GU8A14/ref=sr_1_3002?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008413&s=kitchen&sr=1-3002"
"","","10","Silver Plated Picture Photo Frame 6' x 8'","Juliana Adelbrook","9.00","373","12","3357","02/25/2010","5.41","673","4.7","3.59","10757","Home & Kitchen","B0039ZFILY","https://www.amazon.co.uk/dp/B0039ZFILY"
