"Export date: 7/11/2021, 5:50:30 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Sharp YC-MS01U-S 800 W Solo Microwave Oven with 20 Litre Capacity 5 Power Levels & Defrost Function  Silver","SHARP","58.99","1980","66","116800","09/12/2018","45.88","1225","4.5","13.11","795","Home & Kitchen","B07H9XTN3N","https://www.amazon.co.uk/Sharp-YC-MS01U-S-20L-800W-Microwave/dp/B07H9XTN3N/ref=sr_1_2697?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2697"
"Average Sales: 1,438","","2","Replacement Extractor Blade Grey Compatible with Original NutriBullet Pro 900w 600w Juicer NB-101B NB-101S NB-201 Blender Blade Replacement Parts with Silicone Rubber Gaskets Seal O Ring","Feilifan","10.99","1047","32","11507","03/06/2020","7.13","1801","4.3","3.86","2521","Home & Kitchen","B085L6WNJV","https://www.amazon.co.uk/Replacement-Extractor-Compatible-NutriBullet-Blender/dp/B085L6WNJV/ref=sr_1_2698?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2698"
"Average Sales Rank: 4,814","","3","Teachers Thank You Cards Multipack of 4 With Envelopes (2 large and 2 Small) - Premium Quality - Made In UK","Star Online","5.99","270","9","1617","07/06/2021","","0","","","4681","Stationery & Office Supplies","B098QY4YFT","https://www.amazon.co.uk/Teachers-Thank-Cards-Multipack-Envelopes/dp/B098QY4YFT/ref=sr_1_2699?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2699"
"Average Price: £17.61","","4","Utopia Bedding Cushion Inner Pads (Pack of 2) - Pillow Inserts 18' x 18' (45 x 45 cm) - Cotton Blend Cover - Hollowfibre Square Cushion Stuffer (Set of 2 White)","Utopia Bedding","11.99","11365","415","136266","07/26/2017","7.98","34682","4.7","4.01","18","Home & Kitchen","B01NBNDC1T","https://www.amazon.co.uk/Utopia-Bedding-Decorative-Pillows-White/dp/B01NBNDC1T/ref=sr_1_2703?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2703"
"Average Reviews: 2,520","","5","Lizzy Pride Rainbow Folding Fan | Rainbow Folding Hand Fans | LGBT Pride Party Supplies | Rainbow Party Decoration Gay Pride Event Pround Prade Party Supplies","Lizzy","2.99","99","5","296","02/15/2021","1.48","7","5","1.51","30721","Home & Kitchen","B08WLX3S26","https://www.amazon.co.uk/Lizzy-Rainbow-Folding-Supplies-Decoration/dp/B08WLX3S26/ref=sr_1_2704?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2704"
"","","6","Euvoym 50 PCS Self Adhesive Bees Ladybirds Wooden Embellishments Craft Card Wood Toppers Bee Flat Back Stickers for DIY Decoration (50)","N\C","3.99","518","18","2067","03/20/2021","2.78","50","4.1","1.21","6018","Home & Kitchen","B08ZKGFNRS","https://www.amazon.co.uk/Adhesive-Ladybirds-Embellishments-Stickers-Decoration/dp/B08ZKGFNRS/ref=sr_1_2705?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2705"
"","","7","KOALA Inkjet Iron On T Shirt Transfer Paper for Light Fabrics x 10 Sheets A4","Koala","7.49","943","67","7063","09/20/2018","4.83","2749","4.4","2.66","378","Stationery & Office Supplies","B07HKFKQKG","https://www.amazon.co.uk/KOALA-Inkjet-Transfer-Fabrics-Sheets/dp/B07HKFKQKG/ref=sr_1_2706?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2706"
"","","8","Mason & King Large Ice Cube Trays - Large 2 inch Square Silicone Ice Cube Mould for Whiskey Cocktails Pack of 2 (Black)","Mason & King","9.99","192","16","1918","07/30/2020","6.28","118","4.8","3.71","6698","Home & Kitchen","B08DYDRTLX","https://www.amazon.co.uk/Mason-King-Large-Cube-Trays/dp/B08DYDRTLX/ref=sr_1_2707?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2707"
"","","9","Zebra Z-Grip Smooth - Retractable Ballpoint Pen - Pack of 6 - Green","Zebra","3.94","343","16","1351","08/02/2016","2.29","401","4.6","1.65","2540","Stationery & Office Supplies","B01JJ3EKPY","https://www.amazon.co.uk/Zebra-Z-Grip-Smooth-Retractable-Ballpoint/dp/B01JJ3EKPY/ref=sr_1_2708?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2708"
"","","10","Vax CWGRV011 Rapid Power Revive Carpet Washer Graphite","Vax","139.00","1996","42","277444","11/08/2018","112.76","1845","4.6","26.24","1657","Home & Kitchen","B07KBLRTGB","https://www.amazon.co.uk/Vax-Rapid-Revive-Carpet-Washer/dp/B07KBLRTGB/ref=sr_1_2715?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007794&s=kitchen&sr=1-2715"
"","","11","Luigi's Sink and Drain Plunger for Bathrooms Kitchens Sinks Baths and Showers. Small and Powerful Commercial Style 'Plumbers Plunger' with Large Bellows","Luigi's","9.99","4244","146","42398","04/24/2017","6.28","5169","4.6","3.71","185","Home & Kitchen","B06XKK5RDW","https://www.amazon.co.uk/Luigis-Small-Plunger-Kitchen-Drain/dp/B06XKK5RDW/ref=sr_1_2716?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007794&s=kitchen&sr=1-2716"
"","","12","Tala Stainless Steel Jam & Confectionery Thermometer with clear and easy to read markings","Tala","6.74","1315","66","8863","05/09/2006","3.53","3919","4.5","3.21","791","Home & Kitchen","B000EUKOJS","https://www.amazon.co.uk/Jam-Sugar-Confectionery-Thermometer-Tala/dp/B000EUKOJS/ref=sr_1_2717?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007794&s=kitchen&sr=1-2717"
"","","13","Pro Breeze Air Purifier for Home 4-in-1 with Pre True HEPA & Active Carbon Filter with Negative Ion Generator. Air Cleaner for Home Office Allergies Smoke Dust Pollen & Pet Hair - Quiet Mark","Pro Breeze","49.99","384","10","19196","06/20/2018","40.16","1079","4.3","9.83","12723","Home & Kitchen","B07DX6NXPQ","https://www.amazon.co.uk/Pro-Purifier-Negative-Generator-Allergies/dp/B07DX6NXPQ/ref=sr_1_2718?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007794&s=kitchen&sr=1-2718"
"","","14","Hosome Blender Smoothie Blender Multi-Speed 6 Stainless Steel Blades 3 BPA-Free Tritan Portable Bottles Anti-Slip Base for Fruit Vegetable Smoothie Juices Baby Food Ice Cube Coffee Beans","Hosome","25.49","658","12","16772","01/12/2021","19.41","38","4.2","6.08","9783","Home & Kitchen","B08PXLV87V","https://www.amazon.co.uk/Hosome-Multi-Speed-Stainless-Anti-Slip-Vegetable/dp/B08PXLV87V/ref=sr_1_2719?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007794&s=kitchen&smid=A3NUQJGXAPM0XQ&sr=1-2719"
"","","15","RCR 25766020006 Melodia Crystal Hi-Ball Cocktail Water Tumblers Glasses Set of 6 350 ml Hand Crafted from Quality Luxion Crystal Dishwasher Safe","RCR","16.31","1881","57","30679","10/09/2015","11.63","1477","4.8","4.68","1005","Home & Kitchen","B016F6L5LU","https://www.amazon.co.uk/RCR-25766020006-Melodia-Cocktail-Tumblers/dp/B016F6L5LU/ref=sr_1_2720?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007794&s=kitchen&sr=1-2720"
"","","16","Winsor & Newton 75ml Galeria Acrylic Satin Varnish Medium","Winsor & Newton","5.65","321","18","1814","10/06/2008","2.58","345","4.5","3.07","6062","Home & Kitchen","B001HJLPVQ","https://www.amazon.co.uk/Winsor-Newton-Galeria-Acrylic-Varnish/dp/B001HJLPVQ/ref=sr_1_2721?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007794&s=kitchen&sr=1-2721"
"","","17","Aldi NO 1 2 WICK CANDLE LIME BASIL & MANDARIN IN GLASS JAR WITH LID 300G","Aldi","8.50","283","11","2406","07/31/2017","5.02","321","4.2","3.48","12050","Home & Kitchen","B074G3TKQ8","https://www.amazon.co.uk/WICK-CANDLE-BASIL-MANDARIN-GLASS/dp/B074G3TKQ8/ref=sr_1_2722?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007794&s=kitchen&sr=1-2722"
"","","18","Bloo In Cistern Triple Blocks Rose with Long Lasting Anti-Limescale Cleaning Foaming & Pink Water Technology","Bloo","3.93","330","13","1297","03/25/2019","1.12","153","4.5","2.81","4630","Grocery","B07KR1FQDM","https://www.amazon.co.uk/Bloo-Acticlean-Water-Triple-Incistern/dp/B07KR1FQDM/ref=sr_1_2723?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007794&s=kitchen&sr=1-2723"
