"Export date: 7/11/2021, 6:41:39 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Pre Seasoned Cast Iron Skillet Frying Pan - Oven Safe Grill Cookware for Indoor & Outdoor Use (12 inches  32cm)  by Nuovva","nuovva","20.99","275","10","5772","02/22/2021","15.6","38","4.4","5.39","12235","Home & Kitchen","B08X66XV2T","https://www.amazon.co.uk/Seasoned-Cast-Iron-Skillet-Frying/dp/B08X66XV2T/ref=sr_1_3820?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010849&s=kitchen&sr=1-3820"
"Average Sales: 1,708","","2","SONGMICS Coat Rack Coat Stand Clothes Rack with 2-Tier Storage Shelf for Shoes and Baskets Metal Frame Space-saving Ideal for Bedroom Entryway Office and More Creamy White HSR05W","SONGMICS","26.99","491","19","13252","09/28/2016","17.89","2158","4.7","9.1","5269","Home & Kitchen","B01LYNRY65","https://www.amazon.co.uk/SONGMICS-Clothes-2-tier-Entryway-Organizer/dp/B01LYNRY65/ref=sr_1_3821?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010849&s=kitchen&sr=1-3821"
"Average Sales Rank: 8,044","","3","Sensio Home Mini Food Chopper/Small Food Processor  Electric Dicer Suitable for Baby Food Onion and Other Vegetables - 600ml Blender Bowl and Quad Durable Stainless-Steel Blades  300W - Black","SENSIOHOME","26.95","464","13","12505","09/10/2018","20.65","961","4.5","6.3","8713","Home & Kitchen","B07H8JVW8W","https://www.amazon.co.uk/Sensio-Home-Chopper-Small-Processor/dp/B07H8JVW8W/ref=sr_1_3822?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010849&s=kitchen&sr=1-3822"
"Average Price: £13.09","","4","Bosmere K121 Handy Scoop Blue","Bosmere","2.99","1235","59","3693","09/30/2007","0.35","995","4.7","2.64","504","Garden & Outdoors","B007RGC5I0","https://www.amazon.co.uk/Bosmere-Handy-Scoop-Blue-K121/dp/B007RGC5I0/ref=sr_1_3823?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010849&s=kitchen&sr=1-3823"
"Average Reviews: 1,380","","5","3 Pcs Plastic Measuring CupDigital Cake Measurements Jug for Baking Cooking Measurements","LANSEYQO","9.99","161","10","1608","03/11/2021","6.28","22","4.3","3.71","13374","Home & Kitchen","B08YMWGB59","https://www.amazon.co.uk/Plastic-Measuring-Digital-Measurements-Cooking/dp/B08YMWGB59/ref=sr_1_3824?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010849&s=kitchen&sr=1-3824"
"","","6","Tala Stainless Steel Palette Knife","Tala","3.99","2302","63","9185","05/24/2011","2.33","3861","4.6","1.66","868","Home & Kitchen","B0052DFBEA","https://www.amazon.co.uk/Tala-Stainless-Steel-Palette-Knife/dp/B0052DFBEA/ref=sr_1_3825?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010849&s=kitchen&sr=1-3825"
"","","7","DYLON Washing Machine Fabric Dye Pod for Clothes & Soft Furnishings 350g  Olive Green","DYLON","5.00","26217","907","131085","06/05/2017","2.05","1336","4.4","2.95","2","Home & Kitchen","B071W1671Z","https://www.amazon.co.uk/DYLON-Machine-Dye-Pod-Olive/dp/B071W1671Z/ref=sr_1_3826?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010849&s=kitchen&sr=1-3826"
"","","8","Jamie Oliver Wine Glasses 35 cl Set of 4","Jamie Oliver","24.99","313","6","7822","08/31/2012","18.99","518","4.7","6","22733","Home & Kitchen","B0095R8LRI","https://www.amazon.co.uk/Jamie-Oliver-Wine-Glasses-Set/dp/B0095R8LRI/ref=sr_1_3817?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010849&s=kitchen&sr=1-3817"
"","","9","Kraft Paper Roll - Brown Paper Packing Roll Perfect for Crafts Art Small Gift Wrapping Packing Postal Shipping Dunnage & Parcel(43 Centimeters Wide 30.5 Meters Long)","Ninepea","8.99","377","9","3389","03/16/2021","5.43","2","4.5","3.56","4521","Stationery & Office Supplies","B08Z2VHYVS","https://www.amazon.co.uk/Kraft-Paper-Roll-Wrapping-Centimeters/dp/B08Z2VHYVS/ref=sr_1_3818?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010849&s=kitchen&sr=1-3818"
"","","10","Creation Station CT4265 New Masks Half-Face FlockFinish with Elastic Pack of 10 White","Creation Station","5.14","190","7","977","11/20/2013","2.14","342","4","3","9182","Toys & Games","B00GSKBKFA","https://www.amazon.co.uk/Creation-Station-Half-Face-FlockFinish-Elastic/dp/B00GSKBKFA/ref=sr_1_3819?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010849&s=kitchen&sr=1-3819"
