"Export date: 7/11/2021, 5:59:09 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Beaumont 3104 50ml Classical Solo Spirit Measure Optic","Beaumont","4.31","178","14","767","10/01/2010","1.47","857","4.6","2.84","8152","Home & Kitchen","B007TKBYBS","https://www.amazon.co.uk/50ml-Classical-Spirit-Measure-Optic/dp/B007TKBYBS/ref=sr_1_2956?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008311&s=kitchen&sr=1-2956"
"Average Sales: 690","","2","Dishmatic scouring Sponge Green 9 X 3 packs","Dishmatic","9.90","762","24","7544","03/15/2019","","921","4.8","","2440","Grocery","B07PPTDH7C","https://www.amazon.co.uk/Dishmatic-Sponge-Scourer-Replacement-Refill/dp/B07PPTDH7C/ref=sr_1_2957?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008311&s=kitchen&sr=1-2957"
"Average Sales Rank: 5,430","","3","Dyson DC58 DC59 V6 Animal Handheld Cordless Vacuum Cleaner Dust Bin","Dyson","19.79","210","9","4156","08/21/2013","14.44","1131","4.7","5.35","15613","Home & Kitchen","B014UTH4T6","https://www.amazon.co.uk/Genuine-Dyson-Handheld-Cordless-Cleaner/dp/B014UTH4T6/ref=sr_1_2958?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008311&s=kitchen&sr=1-2958"
"Average Price: £13.06","","4","Airtight Food Storage Container Set - 24 Piece Kitchen & Pantry Organization BPA-Free Plastic Canisters with Durable Lids Ideal for Cereal Flour & Sugar - Labels Marker & Spoon Set","Chef's Path","46.72","1275","53","59568","11/27/2019","37.39","11397","4.8","9.33","1144","Home & Kitchen","B0822JNHFY","https://www.amazon.co.uk/Chefs-Path-Airtight-Storage-Container/dp/B0822JNHFY/ref=sr_1_2959?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008311&s=kitchen&sr=1-2959"
"Average Reviews: 1,302","","5","Classic Cocktail Recipes - Kitchen Pub Retro Vintage Metal Tin Sign - 10647 PVC 6 x 8","oms","4.21","788","27","3317","03/04/2014","2.52","2054","4.5","1.69","3287","Home & Kitchen","B00IRYS0AI","https://www.amazon.co.uk/Classic-Cocktail-Recipes-Small-Steel/dp/B00IRYS0AI/ref=sr_1_2960?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008311&s=kitchen&sr=1-2960"
"","","6","LA BELLEFE Citronella Candles Set Soy Candles Cotton Wick Candles Outdoor/Indoor Citronella Candles for Home Kitchen Bars OfficeGarden Party Camping BBQ","LA BELLEFE","11.98","2257","34","27039","11/01/2019","7.97","417","4.5","4.01","2333","Home & Kitchen","B087LRCSNZ","https://www.amazon.co.uk/BELLEF%C3%89E-scented-candles-6pack-tin/dp/B087LRCSNZ/ref=sr_1_2961?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008311&s=kitchen&sr=1-2961"
"","","7","IKEA 5-PIECE COOKWARE SET STAINLESS STELL (3 Pots & 2 lids )","Ikea","13.40","453","15","6070","03/29/2012","9.17","782","4.1","4.23","7521","Home & Kitchen","B007PT11MK","https://www.amazon.co.uk/IKEA-5-PIECE-COOKWARE-STAINLESS-STELL/dp/B007PT11MK/ref=sr_1_2962?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008311&s=kitchen&sr=1-2962"
"","","8","Friends TV Show Fleece Blanket Super Soft Central Perk Blankets Throws Warm And Cuddly Official Show Merchandise For Home (Grey)","FRIENDS","14.99","807","25","12097","10/15/2020","10.52","547","4.7","4.47","3666","Home & Kitchen","B08L3VHX8X","https://www.amazon.co.uk/Friends-Blanket-Blankets-Official-Merchandise/dp/B08L3VHX8X/ref=sr_1_2953?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008311&s=kitchen&sr=1-2953"
"","","9","HARIO 100-Piece Misarashi Paper Filter for 01 Dripper","HARIO","6.00","1192","50","7152","01/03/2014","2.9","844","4.8","3.1","1271","Home & Kitchen","B0029PVRXI","https://www.amazon.co.uk/Hario-100-Piece-Misarashi-Filter-Dripper/dp/B0029PVRXI/ref=sr_1_2954?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008311&s=kitchen&sr=1-2954"
"","","10","Anniversary House Block Party Building Block Pick Candles","Anniversary House","2.49","237","7","590","04/25/2017","1.06","399","4.7","1.43","4919","Toys & Games","B071DNDY8G","https://www.amazon.co.uk/Block-Party-Building-Candles-Candles/dp/B071DNDY8G/ref=sr_1_2955?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008311&s=kitchen&sr=1-2955"
"","","11","Wonderweb Wundaweb Extra Strong Hem Tape Iron On Fusible Fabric Tape No Sewing - 3 Meters x 20mm (Pack Of 1)","Vilene","2.49","671","22","1671","08/13/2014","1.06","1030","4.5","1.43","3680","Home & Kitchen","B00MOLREU2","https://www.amazon.co.uk/Wonderweb-Wundaweb-Strong-Fusible-Fabric/dp/B00MOLREU2/ref=sr_1_2956?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008311&s=kitchen&sr=1-2956"
"","","12","Microban 24 Antibacterial Multi Purpose Surface Cleaner Spray Citrus 4.5 Litre (750 ml x 6) Blue","Microban","18.00","462","15","8316","03/29/2021","13.07","14","4.7","4.93","9382","Grocery","B0919R3G63","https://www.amazon.co.uk/dp/B0919R3G63"
"","","13","Silverline 438935 Cutting Mat A4","Silverline","3.90","393","13","1533","12/27/2016","1.91","2303","4.7","1.99","2119","DIY & Tools","B01N4I5LZ0","https://www.amazon.co.uk/dp/B01N4I5LZ0"
"","","14","Apollo 653522 Whisk stainless steel Multi-Colour 4x2.5x20.5","APOLLO","2.79","460","15","1283","08/10/2011","1.31","1200","4.5","1.48","4817","Home & Kitchen","B005GP4JHO","https://www.amazon.co.uk/dp/B005GP4JHO"
"","","15","RAL K5 Classic Semi Matt","nuancier RAL","37.97","204","6","7746","11/15/2010","29.98","135","4.7","7.99","17716","Home & Kitchen","B002LFVOZC","https://www.amazon.co.uk/dp/B002LFVOZC"
"","","16","Birthday Card for Nephew from Hallmark - Star Design","Hallmark","1.85","2090","69","3867","09/12/2019","0.52","1322","4.7","1.33","326","Stationery & Office Supplies","B07XTX2SY2","https://www.amazon.co.uk/dp/B07XTX2SY2"
"","","17","homeasy Clothes Steamer Garment Steamer Handheld Steamer for Travel and Home Portable Fabric Hand Steamer Ironing Wrinkle Remover with Fast Heat-up Detachable Water Tank Green Small","homeasy","29.99","1025","34","30740","05/25/2020","23.22","508","4.3","6.77","1155","Home & Kitchen","B088LZ292D","https://www.amazon.co.uk/dp/B088LZ292D"
"","","18","250 Raw Rolling Papers Filter Tips  5 Booklets of 50 Standard Size Vegan","ITK_TRADE","1.45","1230","41","1784","08/14/2012","-0.18","1851","4.8","1.63","1455","Home & Kitchen","B008XL0TWW","https://www.amazon.co.uk/dp/B008XL0TWW"
"","","19","Canvas Single Portable Free Standing Wardrobe Clothes Storage with Hanging Rail and Cubic Drawer (1pc Incl) Ideal for Storage Organiser Bedroom Furniture Cupboard(Single Grey) L88cmxW45cmxH170cm","Organzy Lifestyle Living","26.99","237","7","6397","02/25/2021","17.89","15","4.5","9.1","11586","Home & Kitchen","B08XK3FCCG","https://www.amazon.co.uk/dp/B08XK3FCCG"
"","","20","Quzi Embroidery Threads 50 Skeins Per Pack Embroidery FlossCross Stitch Threads Friendship Bracelets Floss Crafts Floss Rainbow Color with Free Embroidery Needles Floss Bobbins (50 Colors)","Quzi","4.99","171","5","853","02/15/2021","2.02","1","5","2.97","10436","Home & Kitchen","B08WLZNS1J","https://www.amazon.co.uk/dp/B08WLZNS1J"
"","","21","ABRUS - Krosno Shot Glasses Set of 6 Heavy Duty Heavy Base 25ml Shot Glass. Perfect for Vodka Tequila Cordial Bomb Shots Ideal for Home Liquor Bar","ABRUS","9.99","237","7","2368","01/31/2021","6.28","10","5","3.71","5853","Home & Kitchen","B08VH38V8K","https://www.amazon.co.uk/dp/B08VH38V8K"
"","","22","Fisco FSCBMC08 Brick Mate Mason Measure Band 8m Length","FISCO","19.97","322","10","6430","01/11/2007","15.04","583","4.7","4.93","5109","DIY & Tools","B000C74YWG","https://www.amazon.co.uk/dp/B000C74YWG"
"","","23","Papermate Flair Original Felt-Tip Pens Medium 1.0mm Tip 0.8mm Line Pack of 4 Ink Colour Black","Paper Mate","4.43","384","12","1701","04/25/2014","2.37","1059","4.6","2.06","3004","Stationery & Office Supplies","B00BPEOIUS","https://www.amazon.co.uk/dp/B00BPEOIUS"
"","","24","RONSEAL AMPWM750 Anti Mould Paint White Matt 750ml","RONSEAL","14.76","504","16","7439","04/17/2012","10.77","1865","4.5","3.99","3346","DIY & Tools","B007UXTUT2","https://www.amazon.co.uk/dp/B007UXTUT2"
