"Export date: 7/11/2021, 7:44:49 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","ErGear Dual Monitor Stand for 13-32/8KG Ultra Screen Sturdy Steel Tube Ergonomic Viewing Adjustable Dual Monitor Arm Tilt 85 Swivel 180 Rotate 360 VESA 75/100mm for Health Working Style","Ergear","22.09","...","...","...","...","...","1279","4.4","","884","Computers & Accessories","B089GXLBFF","https://www.amazon.co.uk/ErGear-Monitor-Construction-Ergonomic-Adjustable/dp/B089GXLBFF/ref=sr_1_4780?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014654&s=kitchen&sr=1-4780"
"Average Sales: 196","","2","Birthday Boy Decorations Set Includes Birthday Boy Badge Birthday Boy Award Ribbon Badge and Blue Birthday Boy Sash for Boy Party Supplies","Chuangdi","7.50","...","...","...","...","...","11","4.6","","5841","Toys & Games","B08T1DNQS8","https://www.amazon.co.uk/Birthday-Decorations-Badge-Ribbon-Supplies/dp/B08T1DNQS8/ref=sr_1_4781?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014654&s=kitchen&sr=1-4781"
"Average Sales Rank: 5,906","","3","Dawsons Living 2 Piece Traybake and Roaster Set - Brownie Roasting Baking Trays Non Stick and Dishwasher Safe - Teflon","Dawsons Living","4.99","...","...","...","...","...","985","4.6","","1773","Home & Kitchen","B08DD8ZXZY","https://www.amazon.co.uk/Dawsons-Living-Piece-Traybake-Roaster/dp/B08DD8ZXZY/ref=sr_1_4782?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014654&s=kitchen&sr=1-4782"
"Average Price: £11.52","","4","BIC Kids Jumbo Triangular Learner Pencils with Blue Barrels Extra Large HB Graphite Pencils Pack of 12","Bic","6.16","...","...","...","...","...","10376","4.7","","356","Stationery & Office Supplies","B00L4C67R8","https://www.amazon.co.uk/BIC-Kids-Learner-Graphite-Pencils/dp/B00L4C67R8/ref=sr_1_4783?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014654&s=kitchen&sr=1-4783"
"Average Reviews: 1,165","","5","Connoisseurs Silver Jewellery Cleaning Cloth - Ultrasoft Polishing Cloths to Clean Buff & Restore Shine - 100% Cotton Fiber - 28 x 35cm","Connoisseurs","8.99","...","...","...","...","...","805","4.6","","194","Jewellery","B007RCKYLO","https://www.amazon.co.uk/Connoisseurs-UltraSoft-Cleaning-Polishing-Jewellery/dp/B007RCKYLO/ref=sr_1_4784?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014654&s=kitchen&sr=1-4784"
"","","6","KitchenCraft Home Made Large Glass Storage Jar 2.2 Litres - Clear","KitchenCraft","15.02","...","...","...","...","...","1399","4.6","","15143","Home & Kitchen","B019Q05K0E","https://www.amazon.co.uk/KitchenCraft-Large-Glass-Storage-Litres/dp/B019Q05K0E/ref=sr_1_4785?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014654&s=kitchen&sr=1-4785"
"","","7","Moon Shoes strap on self centering foam shoe non-skid - mini trampolines for feet: indoor / outdoor activity toy for boys & girls. 71449","Unknown","29.99","...","...","...","...","...","70","3.8","","3656","Sports & Outdoors","B07NBVMD8B","https://www.amazon.co.uk/Moon-Shoes-strap-centering-non-skid/dp/B07NBVMD8B/ref=sr_1_4777?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014654&s=kitchen&sr=1-4777"
"","","8","Greenworks Tools 29187 Coils for Wire Edger 40V (Model 21107) 6m x 160 mm Pack of 3","Greenworks Tools","9.99","...","...","...","...","...","476","4.4","","4635","DIY & Tools","B00QTVSAII","https://www.amazon.co.uk/Greenworks-Tools-29187-Coils-Edger/dp/B00QTVSAII/ref=sr_1_4778?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014654&s=kitchen&sr=1-4778"
"","","9","VOMONO Clothes Pegs for Washing Line Pack of 50 Clothes Pegs Strong Washing Line Pegs Strong & Secure Grip 4 Colors Laundry Pegs Plastic Washing Pegs for Clothes Garment Laundry Washing Line","VOMONO","6.99","...","...","...","...","...","1","5","","14449","Home & Kitchen","B09365CMCV","https://www.amazon.co.uk/VOMONO-Clothes-Washing-Laundry-Plastic/dp/B09365CMCV/ref=sr_1_4779?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014654&s=kitchen&sr=1-4779"
"","","10","Schallen 15' Electric Air Cooling Quiet Oscillation Floor Desk Mini Tower Fan with Timer & Speed Settings (White)","Schallen","19.99","...","...","...","...","...","217","4.1","","15117","Home & Kitchen","B07S1XS7M8","https://www.amazon.co.uk/Schallen-Electric-Cooling-Oscillation-Settings/dp/B07S1XS7M8/ref=sr_1_4780?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014654&s=kitchen&sr=1-4780"
