"Export date: 7/11/2021, 6:17:58 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Parker & Bailey Lemon Oil Polish Fluid Yellow One Size","Parker & Bailey","8.75","390","10","3413","06/05/2014","5.2","901","4.7","3.55","5851","Grocery","B002ZXMQV6","https://www.amazon.co.uk/Parker-Bailey-Lemon-Polish-Natural/dp/B002ZXMQV6/ref=sr_1_3449?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009386&s=kitchen&sr=1-3449"
"Average Sales: 805","","2","The Magnet Shop A4 Magnetic Sheets for Arts Crafts and Storage - 0.5mm Thick 6 Pack","The Magnet Shop","7.95","341","11","2711","11/28/2014","5.22","1440","4.6","2.73","3614","Stationery & Office Supplies","B00IAY7DLW","https://www.amazon.co.uk/Magnet-Shop-Magnetic-Sheets-Storage/dp/B00IAY7DLW/ref=sr_1_3450?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009386&s=kitchen&sr=1-3450"
"Average Sales Rank: 4,477","","3","Satya Nag Champa Incense Sticks Agarbatti 15g 3 Packs","Satya","2.20","424","15","933","11/17/2013","-0.35","3824","4.7","2.55","7668","Home & Kitchen","B00GQIVLX0","https://www.amazon.co.uk/Satya-Champa-Incense-Sticks-Agarbatti/dp/B00GQIVLX0/ref=sr_1_3451?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009386&s=kitchen&sr=1-3451"
"Average Price: £13.40","","4","PREMIER SEEDS DIRECT - HERB - Lovage - LEVISTICUM OFFICINALE - 1000 Seeds","Premier Seeds Direct","1.69","375","14","634","10/05/2012","0.05","553","4.5","1.64","3189","Garden & Outdoors","B009M219SO","https://www.amazon.co.uk/HERB-LOVAGE-LEVISTICUM-OFFICINALE-SEEDS/dp/B009M219SO/ref=sr_1_3452?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009386&s=kitchen&sr=1-3452"
"Average Reviews: 2,357","","5","Hotpoint Washing Machine 3in1 Limescale Descaler & Detergent Remover 24 x 50g Sachets (2 Pack)","Hotpoint","21.95","353","11","7748","08/17/2013","16.41","653","4.7","5.54","3989","Grocery","B00T2K3ST4","https://www.amazon.co.uk/Hotpoint-Washing-Limescale-Descaler-Detergent/dp/B00T2K3ST4/ref=sr_1_3464?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009441&s=kitchen&sr=1-3464"
"","","6","Professional Acrylic Paint Set 70 PCS with Brush Acrylic Paint Easel Blank CanvasPalette Acrylic Painting Pad Paint Knife Brush Cup and Art Sponge for Adult Beginners","ESRICH","27.99","648","21","18138","02/23/2021","21.53","97","4.7","6.46","2530","Home & Kitchen","B08X67L7B7","https://www.amazon.co.uk/Professional-Acrylic-Palette-Painting-Beginners/dp/B08X67L7B7/ref=sr_1_3465?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009441&s=kitchen&sr=1-3465"
"","","7","FLORIST FLORAL GREEN STUB WIRE (0.7mm) 22swg x 7.00' 60 grms approximatly 110+ pieces. Ideal for the crafts Person","FLOWERS FOR LOVE","2.48","215","7","533","10/20/2011","1.05","1661","4.6","1.43","10113","Home & Kitchen","B005Y0GEZQ","https://www.amazon.co.uk/FLORIST-FLORAL-approximatly-pieces-crafts/dp/B005Y0GEZQ/ref=sr_1_3466?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009441&s=kitchen&sr=1-3466"
"","","8","FOCHEA Air Circulator Cooling Fan Desk Fan Quiet Cooling Fans Turbo Air Circulator Table Fan Oscillating with Remote Control3 Speeds AdjustableHorizontal Vertical Oscillating 12H Timer Setting","FOCHEA","45.99","676","22","31089","01/19/2021","34.87","73","5","11.12","777","Home & Kitchen","B08TBBP2XZ","https://www.amazon.co.uk/FOCHEA-Circulator-Oscillating-Adjustable-Horizontal/dp/B08TBBP2XZ/ref=sr_1_3457?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009441&s=kitchen&sr=1-3457"
"","","9","IKEA 803.779.37 Fenomen Unscented Block Candle Set of 5 Natural","IKEA..","9.13","373","12","3405","05/10/2018","5.62","769","4.3","3.59","13793","Home & Kitchen","B07QLKKQ7B","https://www.amazon.co.uk/IKEA-803-779-37-Fenomen-Unscented-Natural/dp/B07QLKKQ7B/ref=sr_1_3458?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009441&s=kitchen&sr=1-3458"
"","","10","General Congratulations Card from Hallmark - Contemporary Foil Text Design","Hallmark","1.85","1743","58","3225","09/12/2019","0.52","509","4.7","1.33","427","Stationery & Office Supplies","B07XTWWSDN","https://www.amazon.co.uk/General-Congratulations-Card-Hallmark-Contemporary/dp/B07XTWWSDN/ref=sr_1_3459?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009441&s=kitchen&sr=1-3459"
"","","11","TOPELEK 4 Packs Ice Cube Tray Lfgb Certified BPA Free Moulds with Non-Spill Lid Best for Freezer Baby Food Water Whiskey Cocktail and other Drink Green","TOPELEK","7.49","1436","47","10756","02/27/2017","4.16","640","4.5","3.33","446","Home & Kitchen","B06XBWDCF5","https://www.amazon.co.uk/dp/B06XBWDCF5"
"","","12","2-Tier Countertop Fruit Basket Fruit Bowl Bread Basket Vegetable Rack for for Fruit Vegetables SnacksEggsHome Kitchen StorageFruit Rack Holder (Black)","RUIJING","25.99","128","4","3327","06/12/2021","12.97","1","5","4.92","10243","Home & Kitchen","B0974HJQ9H","https://www.amazon.co.uk/Countertop-Vegetable-Vegetables-Eggs%EF%BC%8CHome-Storage%EF%BC%8CFruit/dp/B0974HJQ9H/ref=sr_1_3461?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009441&s=kitchen&sr=1-3461"
"","","13","Berol Handwriting Pen Stick Dark Blue 6 Pack S0879260","Berol","2.83","1393","46","3942","09/16/2020","1.35","2776","4.6","1.48","467","Stationery & Office Supplies","B0046BF8XS","https://www.amazon.co.uk/dp/B0046BF8XS"
"","","14","1st CHOICE UK - Finest Black Mesh Waste Paper Rubbish Bin Metal for Small Office Living Rooms Bedrooms 1 Pack","Generic","7.95","837","27","6654","09/19/2020","4.55","470","4.7","3.4","1918","Home & Kitchen","B08JJ971Q9","https://www.amazon.co.uk/1st-CHOICE-UK-Rubbish-Bedrooms/dp/B08JJ971Q9/ref=sr_1_3463?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009441&s=kitchen&sr=1-3463"
"","","15","Essdee Premium Quality Block Printing Ink (Pack of 5 Primary Colours)","ESSDEE","16.12","371","12","5981","07/15/2016","11.44","652","4.7","4.68","10429","Home & Kitchen","B01IHWEYI6","https://www.amazon.co.uk/dp/B01IHWEYI6"
"","","16","Eleganza 40th Birthday Bunting Foil Blue 10 x 10 x 1 cm","Eleganza","1.59","397","13","631","12/01/2015","-0.17","562","4.7","1.76","4533","Toys & Games","B01H2SN8F6","https://www.amazon.co.uk/dp/B01H2SN8F6"
"","","17","Anti Allergy Duvet and Pillow Set 135x100 cm for Baby COT Bed","Baby Comfort","13.99","300","10","4197","10/13/2017","9.67","441","4.6","4.32","1608","Baby Products","B076F3HVXX","https://www.amazon.co.uk/ANTI-ALLERGY-DUVET-PILLOW-135x100/dp/B076F3HVXX/ref=sr_1_3466?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009441&s=kitchen&sr=1-3466"
"","","18","Desk Lamp | 18 LEDs | Super-Bright! | Prevent Eye Strain | Flexible & 360 Rotatable Neck | Rechargeable & 3X Bigger Batteries | Energy-Efficient & 100% Safe","Desirez2Door","4.99","808","26","4032","03/12/2021","3.18","279","3.6","1.81","1175","Lighting","B08YS1GDTB","https://www.amazon.co.uk/Super-Bright-Rotatable-Rechargeable-Batteries-Energy-Efficient/dp/B08YS1GDTB/ref=sr_1_3467?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009441&s=kitchen&sr=1-3467"
"","","19","Pack of 40 Crystal Clear Elegant Hard Plastic Party Tumblers/Reusable Plastic Cups - Square Bottom - 10oz (280ml)","Savvi Serve","10.99","793","26","8715","01/28/2018","7.13","144","4.3","3.86","814","Home & Kitchen","B079DCBSDB","https://www.amazon.co.uk/dp/B079DCBSDB"
"","","20","MR.SIGA Microfiber Cleaning ClothPack of 12Size:12.6' x 12.6'","MR.SIGA","11.99","3756","125","45034","11/29/2018","7.98","1917","4.7","4.01","455","Home & Kitchen","B07HRCDDL1","https://www.amazon.co.uk/dp/B07HRCDDL1"
"","","21","Mod Podge Matte Waterbase Sealer Glue and Finish - 16 oz","Mod Podge","9.76","2033","67","19842","11/10/2010","6.09","36618","4.7","3.67","532","Home & Kitchen","B001IKES5O","https://www.amazon.co.uk/dp/B001IKES5O"
"","","22","Tallon White with Black Spots 6x4 Photo Album Memo Slip in Holds 200 Photos","Tallon","7.99","218","7","1742","03/04/2021","4.56","403","4.6","3.43","10101","Home & Kitchen","B08562NNKR","https://www.amazon.co.uk/dp/B08562NNKR"
"","","23","BASETBL Ergonomic Office Chair Computer Desk Swivel Chairs with Adjustable Lumbar Support Reinforced Breathable Fabric Mesh and Armrest for Conference Work Executive Manager Study (Black)","BASETBL","65.99","407","13","26858","01/08/2021","50.92","150","4.6","15.07","10108","Home & Kitchen","B08S7DXMJT","https://www.amazon.co.uk/dp/B08S7DXMJT"
"","","24","H&S 20 Meters Picture Hanging Cord 2.5mm Super Strong Nylon White for Photo Frame Mirror Hold up to 30kg","H&S","3.99","909","30","3627","01/30/2019","2.33","1025","4.6","1.66","2678","Home & Kitchen","B07N8BLMZ7","https://www.amazon.co.uk/Meters-Picture-Hanging-Strong-Mirror/dp/B07N8BLMZ7/ref=sr_1_3476?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009441&s=kitchen&sr=1-3476"
