"Export date: 7/11/2021, 5:49:39 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","12 Pcs Self Adhesive Translucent Hooks | Heavy Duty Handy Wall Hanging Sticky Holder  PVC Plastic Stainless Steel Hooks  Best for Hanging Coat Robe Kitchen & Bath Towels Key Holder","Lakedo","4.99","187","10","933","04/16/2021","2.17","109","4.6","2.82","5465","DIY & Tools","B092QW3XNP","https://www.amazon.co.uk/Adhesive-Translucent-Hanging-Sticky-Holder/dp/B092QW3XNP/ref=sr_1_2692?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2692"
"Average Sales: 1,430","","2","Lint Roller for Carpet 2Pcs Portable Carpet Lint Remover Cleaner Pro Tool Carpet Scraper with Long Wooden Handle for Clothes and Fabrics Pet Hair","Eastk","7.59","254","9","1928","05/01/2021","4.22","14","4.1","3.37","14899","Home & Kitchen","B092W8RP44","https://www.amazon.co.uk/Portable-Remover-Cleaner-Scraper-Clothes/dp/B092W8RP44/ref=sr_1_2693?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2693"
"Average Sales Rank: 5,799","","3","Astonish Powerful Sparkling Hob Creamer Cleaner with Protective Coating Finish 235ml","Astonish","1.99","1305","72","2597","07/31/2018","-0.52","1065","4.5","2.51","583","Grocery","B07G55PMHR","https://www.amazon.co.uk/Astonish-C1087-Hob-Cleaner-235ml/dp/B07G55PMHR/ref=sr_1_2694?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2694"
"Average Price: £17.99","","4","LUTER 40Pcs Picture Hooks with Nails 30lbs Stainless Steel Picture Hangers Hooks on Wooden Drywall for Hanging Picture Photo Frame Mirror Clock House Decoration (Gold Silver)","LUTER","4.99","1094","39","5459","11/10/2020","3.33","271","4.4","1.66","921","DIY & Tools","B08N4XLTDB","https://www.amazon.co.uk/LUTER-Picture-Stainless-Hangers-Decoration/dp/B08N4XLTDB/ref=sr_1_2695?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2695"
"Average Reviews: 2,853","","5","Sapphire P063 20 cm 4-Cup Egg Poacher  Black","Sapphire","10.99","1284","48","14111","05/15/2009","7.13","2497","4.3","3.86","1370","Home & Kitchen","B002A0AH3I","https://www.amazon.co.uk/Sapphire-20-4-Cup-Egg-Poacher/dp/B002A0AH3I/ref=sr_1_2696?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2696"
"","","6","Home Collection Photo Album Multicolor 4x6","Home Collection","7.14","52","1","371","11/23/2019","","569","4.7","","","","B081RTCHL1","https://www.amazon.co.uk/Home-Collection-Photo-Album-Multicolor/dp/B081RTCHL1/ref=sr_1_2697?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2697"
"","","7","Whitefurze G04114 Garden Pot Saucer for 7.5/ 10cm Pot - Terracotta (Set of 5)","Whitefurze","2.10","4447","159","9339","09/01/2012","0.73","4414","4.3","1.37","88","Garden & Outdoors","B00537P99W","https://www.amazon.co.uk/Whitefurze-G04114-Garden-Saucer-10cm/dp/B00537P99W/ref=sr_1_2698?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2698"
"","","8","160 Pcs Adjustable Green Plant Ties Garden Twist Ties Plastic Cable Ties Flexible Plant Support Ties for Garden Plant Tree Supporting","PanBeiQi","7.99","441","17","3524","12/26/2020","5.72","44","4.4","2.27","2503","Garden & Outdoors","B08RC5XRN2","https://www.amazon.co.uk/Adjustable-Plastic-Flexible-Support-Supporting/dp/B08RC5XRN2/ref=sr_1_2689?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2689"
"","","9","AirCraft Home PowerGlide Hard Floor Cleaner & Polisher bundle with 4 additional replacement cleaning pads. Scrubber and Buffer for Hard Wood Laminate Tiles Natural Stone Floors","AirCraft Home","219.99","162","9","35638","11/18/2020","182.25","92","4.5","37.74","14660","Home & Kitchen","B08NT4HY64","https://www.amazon.co.uk/AirCraft-Home-PowerGlide-additional-replacement/dp/B08NT4HY64/ref=sr_1_2690?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2690"
"","","10","4PCS Washing Machine Feet Pads Anti Vibration MatRubber Feet Pad Anti-slip Pad Shock Absorber Non-slip Fixed Anti-deviation Used for Dryer Washing Machine Dishwasher (Gray)","Voimekas","9.99","218","11","2178","03/01/2021","6.28","31","4.3","3.71","12016","Home & Kitchen","B08XQW7SKF","https://www.amazon.co.uk/Vibration-Anti-slip-Absorber-Anti-deviation-Dishwasher/dp/B08XQW7SKF/ref=sr_1_2691?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2691"
"","","11","Westcott 5 inch E-30250 00 Easy Grip Soft Grip Scissor - Black/Blue","Westcott","1.71","5473","211","9359","01/24/2009","0.4","9425","4.7","1.31","42","Stationery & Office Supplies","B000MQ7F2S","https://www.amazon.co.uk/Westcott-inch-30250-00-Scissor/dp/B000MQ7F2S/ref=sr_1_2692?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2692"
"","","12","Catherine Lansfield Easy Iron Percale Standard Pillowcase Pair Ochre","Catherine Lansfield","7.04","1104","45","7772","09/19/2018","4.91","5087","4.6","2.13","1494","Home & Kitchen","B07GSK4488","https://www.amazon.co.uk/Catherine-Lansfield-Percale-Standard-Pillowcase/dp/B07GSK4488/ref=sr_1_2693?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2693"
"","","13","Zeltauto 4 Pieces Washable Microfiber Absorbing Pads Compatible with Flash Powermop Wet & Dry Cleaning Cloth Refills for All Hard-Floor (Blue)","Zeltauto","14.95","434","19","6488","01/05/2021","10.45","19","4.3","4.5","3289","Grocery","B08S3V7DHS","https://www.amazon.co.uk/Zeltauto-Microfiber-Absorbing-Compatible-Hard-Floor/dp/B08S3V7DHS/ref=sr_1_2694?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2694"
"","","14","BIC Cristal Original Comfortable Ballpoint Pens Medium Point (1.0 mm) - Assorted Colours Pack of 8+2 (10 Total)","Bic","3.05","1294","43","3947","10/16/2012","1.53","2669","4.7","1.52","592","Stationery & Office Supplies","B005BRK8S6","https://www.amazon.co.uk/Cristal-Original-Ballpoint-Medium-Point/dp/B005BRK8S6/ref=sr_1_2695?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2695"
"","","15","Aashram Palo Santo Editions - 100g - Ethical Hand-Selected Wood Incense Sticks Smudge Meditation +Free Verse Card Guide Digital Companion Guide","Aashram","10.89","276","9","3006","07/24/2019","7.01","1148","4.6","3.88","19133","Home & Kitchen","B07XB2K8RS","https://www.amazon.co.uk/Aashram-Premium-Santo-Editions-Sticks/dp/B07XB2K8RS/ref=sr_1_2696?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2696"
"","","16","Sharp YC-MS01U-S 800 W Solo Microwave Oven with 20 Litre Capacity 5 Power Levels & Defrost Function  Silver","SHARP","58.99","1539","51","90786","09/12/2018","63.66","1225","4.5","16.32","795","Home & Kitchen","B07H9XTN3N","https://www.amazon.co.uk/Sharp-YC-MS01U-S-20L-800W-Microwave/dp/B07H9XTN3N/ref=sr_1_2697?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2697"
"","","17","Replacement Extractor Blade Grey Compatible with Original NutriBullet Pro 900w 600w Juicer NB-101B NB-101S NB-201 Blender Blade Replacement Parts with Silicone Rubber Gaskets Seal O Ring","Feilifan","10.99","1056","35","11605","03/06/2020","7.13","1801","4.3","3.86","2521","Home & Kitchen","B085L6WNJV","https://www.amazon.co.uk/Replacement-Extractor-Compatible-NutriBullet-Blender/dp/B085L6WNJV/ref=sr_1_2698?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2698"
"","","18","Teachers Thank You Cards Multipack of 4 With Envelopes (2 large and 2 Small) - Premium Quality - Made In UK","Star Online","5.99","270","9","1617","07/06/2021","...","0","","","4681","Stationery & Office Supplies","B098QY4YFT","https://www.amazon.co.uk/Teachers-Thank-Cards-Multipack-Envelopes/dp/B098QY4YFT/ref=sr_1_2699?dchild=1&keywords=-kvnjdsnfkjew&qid=1626007741&s=kitchen&sr=1-2699"
