"Export date: 7/11/2021, 6:43:29 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Addis Closed Toilet Brush Set Charcoal 12.5 x 12.5 x 39 cm","Addis","5.61","1478","87","8292","02/15/2018","0.67","5231","4.5","4.94","489","Home & Kitchen","B079TY79RM","https://www.amazon.co.uk/Addis-Closed-Toilet-Plastic-Charcoal/dp/B079TY79RM/ref=sr_1_3846?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010915&s=kitchen&sr=1-3846"
"Average Sales: 737","","2","50 x Red and White Stripe Paper Drinking Straws Biodegradable Eco 8' (20cm) approx","Party & Paper Solutions","2.95","268","8","791","03/28/2019","1.45","4","4.7","1.5","17445","Home & Kitchen","B07Q4524JV","https://www.amazon.co.uk/Stripe-Paper-Drinking-Straws-Biodegradable/dp/B07Q4524JV/ref=sr_1_3847?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010915&s=kitchen&sr=1-3847"
"Average Sales Rank: 6,117","","3","Morphy Richards Jet Steam Generator Iron 333020 Pink White Steam Generator Irons","Morphy Richards","64.99","468","28","30415","07/29/2016","50.97","2498","4.6","14.02","3173","Home & Kitchen","B01L6SD8DK","https://www.amazon.co.uk/Morphy-Richards-Steam-Generator-333020/dp/B01L6SD8DK/ref=sr_1_3848?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010915&s=kitchen&sr=1-3848"
"Average Price: £13.04","","4","Grill Spatula","Weber","5.67","373","20","2115","12/08/2020","2.62","774","4.7","3.05","2126","Garden & Outdoors","B08M3VKPTD","https://www.amazon.co.uk/Weber-6318-Grill-Spatula-Black/dp/B08M3VKPTD/ref=sr_1_3849?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010915&s=kitchen&sr=1-3849"
"Average Reviews: 1,106","","5","13th Birthday Sash and Crown for Girls Rose Gold Official Teenager Sash and Tiara for Girls 13th Birthday Gifts for Happy 13th Birthday Party Favor Supplies","SZHUIHER","10.99","422","14","4638","11/10/2020","7.1","81","4.7","3.89","3826","Toys & Games","B08N4H3QGB","https://www.amazon.co.uk/Birthday-Crown-Official-Teenager-Supplies/dp/B08N4H3QGB/ref=sr_1_3850?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010915&s=kitchen&sr=1-3850"
"","","6","Wintao Storage Box with Lids Foldable Cotton Linen Fabric Shelf Basket Bin Toy Home Office Organizer Grey Extra Large 44x31x29cm 38Litre - 3pack","Wintao","29.99","1414","60","42406","03/18/2021","23.22","2409","4.5","6.77","937","Home & Kitchen","B08T8HX4NP","https://www.amazon.co.uk/Wintao-Storage-Foldable-Organizer-44x31x29cm/dp/B08T8HX4NP/ref=sr_1_3851?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010915&s=kitchen&sr=1-3851"
"","","7","ErGear Monitor Arm Ultrawide Curved Screen 13-35 Single Monitor Stand Gas Spring Full Dynamic Motion Heavy Monitor Mount Tilt +85/-30 Swivel 180 Rotation 360 VESA 75/100mm Weight 12KG","ErGear","37.99","858","31","32595","06/28/2020","30","488","4.6","7.99","1047","Computers & Accessories","B08BYJ5BCF","https://www.amazon.co.uk/ErGear-Ultrawide-Innovative-Counterbalance-Technology-Black/dp/B08BYJ5BCF/ref=sr_1_3852?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010915&s=kitchen&sr=1-3852"
"","","8","EcoPress Aluminium Coffee Capsule Recycling Tool by Dualit - Nespresso Compatible Recycler - Premium Eco Friendly Tool for Dualit & Nespresso Capsules & Coffee Grounds.","Dualit","9.99","465","14","4645","03/19/2020","6.28","740","4.8","3.71","8503","Home & Kitchen","B0864QFH7V","https://www.amazon.co.uk/EcoPress-Aluminium-Capsule-Recycling-Dualit/dp/B0864QFH7V/ref=sr_1_3856?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010915&s=kitchen&sr=1-3856"
"","","9","Unimi Microfiber Hair Towel Wrap Hair Drying Towel Super Absorbent Rapid Drying Bath Towel with Button Hair Towel Wrap for Curly Hair Dry Hair Hat Turban  Bath Hair Cap (3 Pcs)","Unimi","12.99","229","21","2975","12/17/2020","8.82","818","4.6","4.17","4700","Home & Kitchen","B08QV43XQL","https://www.amazon.co.uk/Unimi-Drying-Absorbent-Microfiber-Button/dp/B08QV43XQL/ref=sr_1_3857?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010915&s=kitchen&sr=1-3857"
"","","10","Zuru Bunch O Balloons (Colour May Vary 3 Bunches 100 Self-tying Rapid-Fill Water Balloons) 1 Pack","ZURU","7.99","754","13","6024","06/16/2017","4.56","360","4.5","3.43","4255","Toys & Games","B01H4P8CEO","https://www.amazon.co.uk/Original-Zuru-Bunch-of-Balloons/dp/B01H4P8CEO/ref=sr_1_3858?dchild=1&keywords=-kvnjdsnfkjew&qid=1626010915&s=kitchen&sr=1-3858"
