"Export date: 7/11/2021, 6:07:22 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Melitta 6658076 Pack Original Size 1x4 80 Filter Coffee Makers Brown Plastic","Melitta","2.49","4369","102","10879","08/07/2012","-0.1","5633","4.8","2.59","367","Home & Kitchen","B000WVZMW8","https://www.amazon.co.uk/Melitta-Original-Coffee-Filters-Filter/dp/B000WVZMW8/ref=sr_1_3172?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3172"
"Average Sales: 1,191","","2","6 Pack Shower Drain Hair Catcher Silicone Hair Stopper Bathtub Sink Filter Drain Strainer Drain Cover Drain Protector with Strong Suction Cups Suitable for Bathroom and Kitchen","Best Li","6.49","581","20","3771","01/10/2021","4.45","76","3.7","2.04","5140","Home & Kitchen","B08SL124JZ","https://www.amazon.co.uk/Silicone-Strainer-Protector-Suitable-Bathroom/dp/B08SL124JZ/ref=sr_1_3173?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3173"
"Average Sales Rank: 3,832","","3","CityComfort Dinosaur Fleece Blankets For Kids Fluffy Blanket Glow In The Dark Cosy Boys Bedroom Accessories Super Soft Warm Fleece Material Bed Throw Great Dinosaur Gifts For Boys and Toddlers","CityComfort","12.99","309","12","4014","11/18/2019","8.82","1206","4.7","4.17","10559","Home & Kitchen","B081NSYY16","https://www.amazon.co.uk/CityComfort-Dinosaur-Blankets-Accessories-Material/dp/B081NSYY16/ref=sr_1_3174?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3174"
"Average Price: £12.24","","4","PREMIER SEEDS DIRECT WallFlower English - Bedding Mixed - 1800 Seeds","Premier Seeds Direct","1.69","315","17","532","12/03/2012","0.83","250","4.4","0.86","2516","Garden & Outdoors","B00AHD23DM","https://www.amazon.co.uk/Premier-Seeds-Direct-WAL02F-Wallflower/dp/B00AHD23DM/ref=sr_1_3175?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3175"
"Average Reviews: 1,537","","5","Artificial Hanging Plant Indoor/Outdoor 2 Packs Plastic Fake Trailing Weeping Ivy Greenery Drooping Plant for Porches Patio Garden Wedding Hanging Pot Basket Decoration","Hbaid","8.88","176","7","1563","03/29/2021","5.34","20","4.4","3.54","18682","Home & Kitchen","B0919DPP2C","https://www.amazon.co.uk/Artificial-Trailing-Greenery-Drooping-Decoration/dp/B0919DPP2C/ref=sr_1_3176?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3176"
"","","6","Everbuild 502 All Purpose Weatherproof Wood Adhesive 1 Litre","Everbuild","5.85","1177","41","6885","07/09/2007","2.95","2619","4.7","2.9","854","DIY & Tools","B000TAU448","https://www.amazon.co.uk/Everbuild-WOOD1-Purpose-Waterproof-Adhesive/dp/B000TAU448/ref=sr_1_3177?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3177"
"","","7","Bic Matic Original Mechanical Pencils Pack of 12 Perfect for School and Office Use 0.7 mm Black (HB) Includes 3 HB Lead Refills and Eraser","Bic","5.44","1794","60","9759","11/16/2006","2.4","3528","4.7","3.04","442","Stationery & Office Supplies","B000SHP5P0","https://www.amazon.co.uk/BIC-Matic-Original-Mechanical-Pencils/dp/B000SHP5P0/ref=sr_1_3178?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3178"
"","","8","Rolson Tools 60335 Heavy Duty Helping Hand with 60 mm Magnifying Glass (packaging may vary)","Rolson Tools","8.63","708","21","6110","06/25/2008","5.39","2981","4.3","3.24","2212","DIY & Tools","B001BMSBD4","https://www.amazon.co.uk/Rolson-Tools-60335-Helping-Magnifying/dp/B001BMSBD4/ref=sr_1_3169?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3169"
"","","9","Defenders STV955 Decoy Heron (Standing Grey Heron Deters Bird Pests from Attacking Garden Ponds and Fisheries) 30 inch (76 cm)","Defenders","12.25","674","32","8257","05/17/2007","5.41","964","4.3","6.84","1215","Garden & Outdoors","B000QVSL5E","https://www.amazon.co.uk/Defenders-Standing-Deters-Attacking-Fisheries/dp/B000QVSL5E/ref=sr_1_3170?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3170"
"","","10","Gardena Water Smart Flow Meter: Practical water meter for attachment to the tap or water consumer for monitoring water consumption with a clearly organised display; battery-powered (8188-20)","Gardena","22.66","2436","65","55200","12/16/2011","17.01","1407","4.5","5.65","438","Garden & Outdoors","B006MWDQZQ","https://www.amazon.co.uk/GARDENA-Water-Smart-Flow-Meter/dp/B006MWDQZQ/ref=sr_1_3171?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3171"
"","","11","Crock-Pot Slow Cooker | Removable Easy-Clean Ceramic Bowl | 3.7 L (3-4 People) | Black | [CSC078]","Crock-Pot","19.99","2500","99","49975","08/06/2020","14.75","4334","4.7","5.24","384","Home & Kitchen","B08CVVSX2K","https://www.amazon.co.uk/Crock-Pot-Removable-Easy-Clean-Ceramic-CSC078/dp/B08CVVSX2K/ref=sr_1_3172?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3172"
"","","12","20 x Bouncy Castle Party Invitations from Olivia Samuel - Childrens Birthday Invites - A6 Postcard Size with envelopes","Olivia Samuel","5.99","216","10","1294","04/19/2021","2.86","26","4.1","3.13","5528","Toys & Games","B092W483HB","https://www.amazon.co.uk/Bouncy-Castle-Invitations-Olivia-Samuel/dp/B092W483HB/ref=sr_1_3173?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3173"
"","","13","Ravenhead Entertain Gin Balloon Glasses 22 x 11.4 x 20.5 cm","Ravenhead","6.97","470","20","3276","07/07/2017","3.72","2174","4.7","3.25","5143","Home & Kitchen","B078ZF4GJW","https://www.amazon.co.uk/Ravenhead-Entertain-Balloon-Glasses-11-4/dp/B078ZF4GJW/ref=sr_1_3174?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3174"
"","","14","Fish Mate P7000 Automatic Pond Fish Feeder","animate","75.99","218","8","16566","08/08/2009","62.18","475","4.3","13.81","5780","Garden & Outdoors","B004E6DTRW","https://www.amazon.co.uk/Fish-Mate-P7000-Automatic-Feeder/dp/B004E6DTRW/ref=sr_1_3175?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3175"
"","","15","Paper Mate Alfa Retractable Ballpoint Pens | Medium Point (1.0 mm) | Black Ink | 12 Count","Paper Mate","4.40","2933","92","12905","02/28/2020","1.52","1213","4.5","2.88","222","Stationery & Office Supplies","B0859HDMBR","https://www.amazon.co.uk/Paper-Mate-Retractable-Ballpoint-Medium/dp/B0859HDMBR/ref=sr_1_3176?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3176"
"","","16","Holife Handheld Vacuum Cordless 8500Pa 14.8V Powerful Suction Portable Hand Car Vac Vacuum Cleaner 2200mAh Rechargeable Battery (Lightweight Wet&Dry 35min Working 3h Charging) for Car and Home","Holife","32.17","945","53","30401","09/17/2020","25.07","189","4.2","7.1","1149","Home & Kitchen","B07WD7T61J","https://www.amazon.co.uk/Holife-Handheld-Cordless-Stronger-Rechargeable/dp/B07WD7T61J/ref=sr_1_3177?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3177"
"","","17","10 Pack - Disposable Aluminium Foil Baking Trays Tray Bakes Large Containers for Baking Roasting Freezing Storage Cooking BBQs Brownies | Delahunt Catering Supplies | 32cm x 20cm x 3.3cm","Delahunt Catering Supplies","7.99","25","0","200","03/12/2021","4.59","53","4.7","3.4","","","B08PTJ6144","https://www.amazon.co.uk/10-Pack-Disposable-Aluminium-Containers/dp/B08PTJ6144/ref=sr_1_3178?dchild=1&keywords=-kvnjdsnfkjew&qid=1626008799&s=kitchen&sr=1-3178"
