"Export date: 7/11/2021, 6:17:07 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Unique Party 56044 - 9' Latex Assorted Happy 10th Birthday Balloons Pack of 10","Unique Party","1.72","285","10","490","06/18/2018","0.08","290","4.6","1.64","6082","Toys & Games","B07DTKQTBK","https://www.amazon.co.uk/Unique-Party-56044-Assorted-Birthday/dp/B07DTKQTBK/ref=sr_1_3436?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009386&s=kitchen&sr=1-3436"
"Average Sales: 468","","2","Green Label 2 Pack Washable Dirt Bin Stick Filter for Gtech AirRam MK2 AirRam MK2 K9 Cordless Vacuum Cleaners","Green Label","8.85","190","6","1682","12/01/2017","...","377","4.7","","9937","Home & Kitchen","B077VV7BZG","https://www.amazon.co.uk/Green-Label-Washable-Cordless-Cleaners/dp/B077VV7BZG/ref=sr_1_3437?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009386&s=kitchen&sr=1-3437"
"Average Sales Rank: 9,545","","3","Galt Toys Water Magic - Vehicles Colouring Book for Children Ages 3 Years Plus","Galt","5.99","1230","35","7368","02/01/2017","3.69","1317","4.7","2.3","2183","Home & Kitchen","B01NAV49P1","https://www.amazon.co.uk/Galt-Toys-Water-Magic-Vehicles/dp/B01NAV49P1/ref=sr_1_3438?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009386&s=kitchen&sr=1-3438"
"Average Price: £8.79","","4","20 Pcs Individual Cake Boxes Cupcake Boxes Individual for Packaging 1 Cavity Cupcake Boxes with Window and Inserts Pink Blue 3.74x3.74x7.67 Inch Muffin Boxes Mini Cardboard Cupcake Boxes","Hileyu","12.99","219","7","2845","04/07/2021","8.79","6","4.3","4.2","19688","Home & Kitchen","B091Z4RDGG","https://www.amazon.co.uk/Individual-Cupcake-Packaging-3-74x3-74x7-67-Cardboard/dp/B091Z4RDGG/ref=sr_1_3439?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009386&s=kitchen&sr=1-3439"
"Average Reviews: 754","","5","The Photo Album Company Photo Storage Box Holds 700 Photographs Blue for 4x6 Pictures ALBOX700BLUE","The Photo Album Company","10.56","205","6","2165","06/26/2015","6.76","647","4.6","3.8","24087","Home & Kitchen","B010FP0HL6","https://www.amazon.co.uk/Photo-Album-Company-ALBOX700BLUE-Photograph/dp/B010FP0HL6/ref=sr_1_3440?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009386&s=kitchen&sr=1-3440"
"","","6","6 PCS Double Prong Robe Hook Chrome Dual Coat Hooks Metal Door Hooks Cloth Hanger with Screws Hanging Clothes Robe Towel for Bathroom Bedroom Door Wall (Silvery)","THSIREE","7.99","516","22","4123","01/15/2021","5.63","56","4.5","2.36","2068","DIY & Tools","B08XQ4GR55","https://www.amazon.co.uk/Hanging-Clothes-Bathroom-Bedroom-Silvery/dp/B08XQ4GR55/ref=sr_1_3441?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009386&s=kitchen&sr=1-3441"
"","","7","Pack of 10 Professional Catering Tea Towels  Heavy Duty Construction  Absorbent & Quick Dry  High Density Weave- Fade Resistant  Lint Free & No streaks - Bar Restaurant Cloth (50 x 70 cm)","Quick Cleaning Supplies","9.69","478","12","4632","06/30/2016","6.03","1711","4.5","3.66","10199","Home & Kitchen","B01HXSVP1E","https://www.amazon.co.uk/Cotton-Catering-Towels-Restaurant-Kitchen/dp/B01HXSVP1E/ref=sr_1_3442?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009386&s=kitchen&sr=1-3442"
"","","8","ASAKUKI Fruity Essential Oils Gift Set 6 x 10 mL Natural Pure Strawberry Pineapple Fig Guava Passion Fruit Green Apple for Diffuser Humidifier Massage or DIY Soaps Candles","ASAKUKI","11.04","898","40","9914","12/09/2019","7.14","712","4.4","3.9","1898","Health & Personal Care","B082HTV7NY","https://www.amazon.co.uk/ASAKUKI-Essential-Strawberry-Pineapple-Humidifier/dp/B082HTV7NY/ref=sr_1_3433?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009386&s=kitchen&sr=1-3433"
"","","9","Paxanpax 69-UN-33 PFC922 Universal Vacuum Cleaner Tool Accessory Kit 32 mm/35 mm Plastic","Paxanpax","3.98","789","36","3140","08/01/2015","1.19","568","4.3","2.79","2127","Home & Kitchen","B0166J7CQS","https://www.amazon.co.uk/Europart-Universal-Vacuum-Cleaner-Accessory/dp/B0166J7CQS/ref=sr_1_3434?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009386&s=kitchen&sr=1-3434"
"","","10","Wall Mounted Bottle OpenerBeer Bottle Opener with Cap Catcher Vintage Wooden Bar Bottle Opener for Kitchen Bar Yard Gifts for Men Beer Lovers","Wuohutu","13.99","249","9","3484","04/23/2021","9.67","1","5","4.32","15341","Home & Kitchen","B093BPJM8Q","https://www.amazon.co.uk/Mounted-Bottle-Catcher-Vintage-Kitchen/dp/B093BPJM8Q/ref=sr_1_3435?dchild=1&keywords=-kvnjdsnfkjew&qid=1626009386&s=kitchen&sr=1-3435"
