"Export date: 7/11/2021, 7:31:39 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","FIND A SPARE Hose Bend Handle Wand Control Pipe for Miele S Series Vacuum Cleaners","FIND A SPARE","9.49","393","14","3730","06/26/2019","","279","4.6","","8492","Home & Kitchen","B07TMR7PK9","https://www.amazon.co.uk/FIND-SPARE-Handle-Control-Cleaners/dp/B07TMR7PK9/ref=sr_1_4444?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013861&s=kitchen&sr=1-4444"
"Average Sales: 834","","2","good2heat Plate Cover 27 x 27 x 6.5 cm","good2heat","2.00","1519","56","3038","07/07/2015","-0.49","2064","4.6","2.49","1050","Home & Kitchen","B0114SAXRG","https://www.amazon.co.uk/good2heat-Microwave-Plate-Cover-Clear/dp/B0114SAXRG/ref=sr_1_4445?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013861&s=kitchen&sr=1-4445"
"Average Sales Rank: 8,500","","3","Pyrex - Essentials - Set of 2 Rectangular Glass Lasagne Dishes (35 x 23 cm 40 x 27 cm)","Pyrex","15.98","251","6","4011","02/11/2020","9.46","84","4.7","6.52","24099","Home & Kitchen","B082B52LK3","https://www.amazon.co.uk/Pyrex%C2%AE-Essentials-Rectangular-Lasagne-Dish/dp/B082B52LK3/ref=sr_1_4446?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013861&s=kitchen&sr=1-4446"
"Average Price: £10.61","","4","Embroidery Starter Kit Jecanori 3 Pack Cross Stitch Kit with Floral or Plant Pattern and Instructions Full Range of Embroidery Kits Embroidery Hoops Color Threads and Tool","Jecanori","9.99","808","49","8072","08/04/2020","6.25","1001","4.6","3.74","1309","Home & Kitchen","B08DD2HHTM","https://www.amazon.co.uk/Embroidery-Starter-Jecanori-Pattern-Instructions/dp/B08DD2HHTM/ref=sr_1_4447?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013861&s=kitchen&sr=1-4447"
"Average Reviews: 1,023","","5","Melitta Anti Calc Decalcifier Tablets For Filter Coffee Machines and Kettles 4 x 12 g","Melitta","3.49","983","36","3431","08/21/2010","1.91","1988","4.6","1.58","2160","Home & Kitchen","B0006U0GJ4","https://www.amazon.co.uk/Melitta-Descaler-Tablets-Filters-Kettles/dp/B0006U0GJ4/ref=sr_1_4448?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013861&s=kitchen&sr=1-4448"
"","","6","Jonny Javelin Female Birthday Wishes for A Fabulous Day Card - Gin Cocktails Present","Jonny Javelin","2.25","183","6","412","06/19/2019","...","125","4.7","","5374","Stationery & Office Supplies","B07XX1F3S8","https://www.amazon.co.uk/dp/B07XX1F3S8"
"","","7","Amazon Brand - Umi Rubber Broom Push Broom Indoor Pet Hair Removal Carpet Sweeping Brush with Build-In Squeegee for Rug Carpet Harwood Tile Window Cleaning","Umi","17.99","435","19","7826","07/30/2019","","66","4.6","","3225","Grocery","B07W92HFQ3","https://www.amazon.co.uk/UMI-Rubber-broom-Bristle-Hair001/dp/B07W92HFQ3/ref=sr_1_4450?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013861&s=kitchen&sr=1-4450"
"","","8","SHINE Pack of 8 Latte Spoons - Long Handle Stainless Steel Spoon - Ideal For Coffee Tea EspressoHot Drinks 21Cm L","SHINE","3.32","867","28","2878","11/03/2016","0.6","1482","4.4","2.72","2576","Home & Kitchen","B01MQDMMO8","https://www.amazon.co.uk/dp/B01MQDMMO8"
"","","9","OUSFOT 9 LED Book Light with 3 Eye-Care Modes USB Rechargeable Reading Light with Power Indicator Stepless Dimming Flexible Clip on Book Light for Reading in Bed Travel","OUSFOT","8.99","357","11","3209","12/18/2020","5.4","41","4.5","3.59","1550","Lighting","B08QZ788Z4","https://www.amazon.co.uk/OUSFOT-Eye-Care-Rechargeable-Indicator-Stepless/dp/B08QZ788Z4/ref=sr_1_4442?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013861&s=kitchen&sr=1-4442"
"","","10","Electric Kettle LILPARTNER 1.7 Litre Glass Kettle with Blue LED Indicator Light 3000W Fast Boil Water Kettle Cordless Electric Tea Kettle Auto Shut-Off and Boil-Dry Protection BPA Free Black","LILPARTNER","30.59","453","15","13857","12/01/2020","23.73","224","4.2","6.86","8885","Home & Kitchen","B08PCHQY4P","https://www.amazon.co.uk/dp/B08PCHQY4P"
