"Export date: 7/11/2021, 7:35:34 PM","","#","Product Name","Brand","Price","Mo. Sales","D. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","Rank","Category","ASIN","Link"
"Search Term: -kvnjdsnfkjew","","1","Russell Hobbs Pearl Glide Steam Iron with Pearl Infused Ceramic Soleplate 315 ml Water Tank Anti-Drip and Self-Clean Function 2600 W Champagne 23972","Russell Hobbs","27.89","1589","52","44317","12/17/2018","21.44","3306","4.5","6.45","1225","Home & Kitchen","B07M92N2GX","https://www.amazon.co.uk/Russell-Hobbs-Soleplate-Self-Clean-23972/dp/B07M92N2GX/ref=sr_1_4540?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014094&s=kitchen&sr=1-4540"
"Average Sales: 657","","2","2xVileda Magic Mop Flat Refill","Vileda","8.53","418","13","3566","05/05/2016","5.01","824","4.5","3.52","2463","Grocery","B01GX3JQA2","https://www.amazon.co.uk/2xVileda-Magic-Mop-Flat-Refill/dp/B01GX3JQA2/ref=sr_1_4541?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014094&s=kitchen&sr=1-4541"
"Average Sales Rank: 3,539","","3","Utopia Bedding Premium Bed Pillows (2 Pack) - Cotton Blend Fabric - Luxury Plush Sleeping Pillows for Back Stomach and Side Sleepers (White 50 x 70 cm)","Utopia Bedding","15.99","928","30","14839","01/23/2020","11.36","807","4.6","4.63","1741","Home & Kitchen","B0844W1R2L","https://www.amazon.co.uk/Utopia-Bedding-Premium-Pillow-Pillows/dp/B0844W1R2L/ref=sr_1_4542?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014094&s=kitchen&sr=1-4542"
"Average Price: £18.14","","4","Standard Grip Cutting Mat for Cricut Explore One/Air/Air 2/Maker 3 Packs Cut Mats Replacement Accessories for Cricut (12 x 12 inch Green)","eMigoo","13.99","928","30","12983","11/11/2019","9.67","168","4.2","4.32","5183","Home & Kitchen","B081CCR42K","https://www.amazon.co.uk/Standard-Cutting-Explore-Replacement-Accessories/dp/B081CCR42K/ref=sr_1_4543?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014094&s=kitchen&sr=1-4543"
"Average Reviews: 1,022","","5","3X Fluffy Dusters Refills (5)","pledge","11.89","618","20","7348","04/03/2019","...","136","4.8","","2019","Grocery","B07Q9941CK","https://www.amazon.co.uk/3X-Fluffy-Dusters-Refills-5/dp/B07Q9941CK/ref=sr_1_4544?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014094&s=kitchen&sr=1-4544"
"","","6","hapray Origami Kit for Kids 118 Sheets Double-Sided Origami with 54 Patterns 96 Pages Instructional Origami Book Origami Paper for DIY Art and Craft Projects Beginners Children's Day Gifts","hapray","10.99","101","3","1110","05/06/2020","7.64","329","4.5","3.35","4831","Stationery & Office Supplies","B08865WLNB","https://www.amazon.co.uk/hapray-Double-Sided-Instructional-Beginners-Childrens/dp/B08865WLNB/ref=sr_1_4545?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014094&s=kitchen&sr=1-4545"
"","","7","10 Inch Metallic Chrome Latex Balloons Thick Glossy Baby Shower Metal Pearl Balloons Birthday Party Decor Romantic Theme Gold Color Pack of 10","Balloons Hub","2.49","785","26","1955","04/09/2021","0.6","31","4.2","1.89","3062","Toys & Games","B09242RQ3W","https://www.amazon.co.uk/Metallic-Chrome-Balloons-Birthday-Romantic/dp/B09242RQ3W/ref=sr_1_4546?dchild=1&keywords=-kvnjdsnfkjew&qid=1626014094&s=kitchen&sr=1-4546"
"","","8","amscan 511778 TNT Pixelated 2-Ply Luncheon Napkins 33cm-16 Pcs","amscan","4.11","282","9","1159","05/26/2017","2.43","555","4.6","1.68","5463","Toys & Games","B071J55YW5","https://www.amazon.co.uk/dp/B071J55YW5"
"","","9","Briggs and Stratton Genuine 692046 Fuel Cap Intek and Quantum","Briggs & Stratton","4.98","163","5","812","04/16/2011","3.17","1579","4.6","1.81","1870","Automotive","B0038U3JZ2","https://www.amazon.co.uk/dp/B0038U3JZ2"
"","","10","10x10' For 8x8' Photo - GLASS Window - White Modern Oxford Premium Square Photo Frame With Soft Cream Mount ","Photo frames and art","10.49","1025","34","10752","03/26/2017","...","1507","4.6","","2026","Home & Kitchen","B077J58P73","https://www.amazon.co.uk/dp/B077J58P73"
"","","11","IDEALHOUSE 42pcs Non-Trace Picture Hook for Hard Wall Picture Hanging Kit for Picture Frame Fixing Assorted Picture Hanger Set for Hardwall Drywall Painting Wedding Photos Mirror White","IDEALHOUSE","4.99","422","14","2106","01/07/2021","2.17","41","4.5","2.82","3167","DIY & Tools","B08SBFB9XY","https://www.amazon.co.uk/dp/B08SBFB9XY"
"","","12","Glass Food Storage Containers - [10 Pack] Healthy Meal Prep Boxes with Airtight Lids - Airtight Glass BPA Free & Leak Proof (10 Lids & 10 Containers)","GOOD FOR YOU","34.99","634","21","22184","06/08/2020","27.46","374","4.8","7.53","3783","Home & Kitchen","B089VNJSXR","https://www.amazon.co.uk/dp/B089VNJSXR"
"","","13","Kärcher Tap Adapter with Reducer","Kärcher","3.99","315","10","1257","05/07/2014","1.17","425","4.5","2.82","4232","Garden & Outdoors","B00175GGBY","https://www.amazon.co.uk/dp/B00175GGBY"
"","","14","COSORI Smart WiFi Air Fryer 5.5L 100 Recipes Chip Fryers for Home Use Digital Touchscreen with 11 Cooking Presets Keep Warm Preheat & Shake Remind 1700W","COSORI","99.99","399","13","39896","08/10/2020","82.02","821","4.8","17.97","2736","Home & Kitchen","B083FB8TSC","https://www.amazon.co.uk/dp/B083FB8TSC"
"","","15","Cathedral A3 Rotary Paper Trimmer","Cathedral","19.99","914","30","18271","10/30/2007","12.85","3353","4.3","7.14","981","Stationery & Office Supplies","B000Y13WAA","https://www.amazon.co.uk/dp/B000Y13WAA"
"","","16","NEOM Perfect Night's Sleep Scented Candle","Unknown","16.00","1086","36","17376","06/27/2014","11.37","862","4.5","4.63","1800","Home & Kitchen","B00LC6BXM0","https://www.amazon.co.uk/dp/B00LC6BXM0"
"","","17","2021 Graduation Banner Happy Graduation Burlap Banner with 8 Modes LED String Lights Lighting Grad Party Wall Hanging Garland Bunting Flags Sign for Grad Party Decor","Hiboom","12.99","57","1","740","01/28/2021","9.95","22","4.5","3.04","10501","Toys & Games","B08V8KC77B","https://www.amazon.co.uk/dp/B08V8KC77B"
"","","18","tesa 4323 Indoor Masking tape for painting and decorating - 3 Day residue free removal 50 m x 25mm - 1 roll","tesa UK","2.47","1940","64","4792","03/20/2009","1.12","3975","4.5","1.35","145","DIY & Tools","B0024NKD4Y","https://www.amazon.co.uk/dp/B0024NKD4Y"
"","","19","PREMIER SEEDS DIRECT - Spinach - Perpetual - 14 Gram ~ 700 Seeds","Premier Seeds Direct","1.49","1599","53","2383","01/07/2014","0.19","2364","4.3","1.3","877","Garden & Outdoors","B00EB7ODHO","https://www.amazon.co.uk/dp/B00EB7ODHO"
"","","20","Superior Glass Oil Bottle Drizzler - Set of 2-500ml Olive Oil Dispenser Bottle for Kitchen - Refill Funnel Pouring Spouts & Labels - Lead-Free Glass Oil and Vinegar Bottle BPA-Free Cruet Set","FineDine","11.77","516","17","6073","10/26/2020","7.79","959","4.6","3.98","9834","Home & Kitchen","B08LYGM9R8","https://www.amazon.co.uk/dp/B08LYGM9R8"
"","","21","Simply ICIP02 Classic USB to Lightning iPhone & iPad Charger Cable 1 M White","Simply","2.99","345","11","1032","09/24/2015","1.57","1193","4.1","1.42","14","Electronics & Photo","B015WDKYQE","https://www.amazon.co.uk/dp/B015WDKYQE"
"","","22","Everyday Home Cushioned Lap Tray by Creative Tops 44 x 34 cm (17' x 13')","KitchenCraft","16.86","376","12","6339","03/26/2016","12.1","852","4.6","4.76","7564","Home & Kitchen","B01DGWUYIQ","https://www.amazon.co.uk/dp/B01DGWUYIQ"
"","","23","Magicfly Candle Making Kits for Adults Candle Beginners DIY Starter Set Soy Wax Supplies Including Candles Tins Wax Melting Pot Candle Wicks Dyes Oils Soy Candle Making for Beginner","Magicfly","25.49","224","15","5710","06/12/2020","19.41","37","4.3","6.08","7261","Home & Kitchen","B08B34T49V","https://www.amazon.co.uk/Magicfly-Beginners-Supplies-Including-Beginner/dp/B08B34T49V/ref=sr_1_4097?dchild=1&keywords=-kvnjdsnfkjew&qid=1626012972&s=kitchen&sr=1-4097"
"","","24","EAQ Large Baby Playpen Indoor & Outdoor Kids Activity Center with Anti-Slip Base Sturdy Safety Play Yard with Super Soft Breathable Mesh Kid's Fence for Infants Toddlers(Grey)","EAQ","69.99","113","8","7909","02/24/2021","54.31","0","","15.68","2169","Baby Products","B08GKF2H58","https://www.amazon.co.uk/EAQ-Activity-Anti-Slip-Breathable-Toddlers/dp/B08GKF2H58/ref=sr_1_4376?dchild=1&keywords=-kvnjdsnfkjew&qid=1626013688&s=kitchen&sr=1-4376"
