Date,Name,Marketplace,Status
30-Jan-21,photo corners,Amazon UK,Rejected (Permanently)
29-Jan-21,egg ring,Amazon UK,Rejected (Permanently)
28-Jan-21,bike cover,Amazon UK,Rejected (Permanently)
28-Jan-21,connect 4,Amazon UK,Rejected
19-Jan-21,Pill Box,Amazon UK,Rejected (Permanently)
7-Jan-21,Hanging Birds Feeder,Amazon UK,Rejected (Permanently)
7-Jan-21,Clay Tools,Amazon UK,Rejected (Permanently)
6-Jan-21,Fireworks Lights,Amazon UK,Rejected (Permanently)
6-Jan-21,Car Cleaning Gel,Amazon UK,Rejected (Permanently)
5-Jan-21,Zipper Bags,Amazon UK,Rejected (Permanently)
5-Jan-21,Pin Art Sculpture,Amazon UK,Rejected (Permanently)
5-Jan-21,Paper Cups,Amazon UK,Rejected (Permanently)
4-Jan-21,Walnut Cracker,Amazon UK,Rejected (Permanently)
4-Jan-21,Slipper Socks,Amazon UK,Rejected (Permanently)
4-Jan-21,Wine Rack,Amazon UK,Rejected (Permanently)
4-Jan-21,Stretchy Strings Toy,Amazon UK,Rejected (Permanently)
2-Jan-21,card case,Amazon UK,Rejected (Permanently)
2-Jan-21,Carbon Paper,Amazon UK,Rejected (Permanently)
1-Jan-21,Cutting Board,Amazon UK,Rejected (Permanently)
10-Feb-21,feather light shade,Amazon UK,Rejected (Permanently)
8-Feb-21,dominoes set,Amazon UK,Rejected (Permanently)
8-Feb-21,balance board,Amazon UK,Rejected (Permanently)
3-Feb-21,shower puff,Amazon UK,Rejected (Permanently)
2-Feb-21,wrist rest,Amazon UK,Rejected (Permanently)
31-Jan-21,card sleeves,Amazon UK,Rejected (Permanently)
25-Jan-21,water beads,Amazon UK,Rejected (Permanently)
24-Jan-21,earring backs,Amazon UK,Rejected (Permanently)
21-Jan-21,silver hoop earrings,Amazon UK,Rejected (Permanently)
21-Jan-21,clear elastic band,Amazon UK,Rejected (Permanently)
20-Jan-21,hamster playpen,Amazon UK,Rejected (Permanently)
18-Jan-21,waterproof poker cards,Amazon UK,Rejected (Permanently)
18-Jan-21,gardening gloves,Amazon UK,Rejected (Permanently)
18-Jan-21,castor cups,Amazon UK,Rejected (Permanently)
17-Jan-21,False nails,Amazon UK,Rejected (Permanently)
15-Jan-21,clear toiletry bag,Amazon UK,Rejected (Permanently)
14-Jan-21,whiskey stone,Amazon UK,Rejected (Permanently)
14-Jan-21,knitting needle,Amazon UK,Rejected (Permanently)
14-Jan-21,oven tray,Amazon UK,Rejected (Permanently)
13-Jan-21,sanding discs,Amazon UK,Rejected (Permanently)
13-Jan-21,shower hose,Amazon UK,Rejected (Permanently)
11-Jan-21,hairdressing cape,Amazon UK,Rejected (Permanently)
11-Jan-21,dog training bell,Amazon UK,Rejected (Permanently)
11-Jan-21,dog clicker,Amazon UK,Rejected (Permanently)
11-Jan-21,cupcake box,Amazon UK,Rejected (Permanently)
9-Jan-21,mic arm stand,Amazon UK,Rejected (Permanently)
9-Jan-21,wood carving set,Amazon UK,Rejected (Permanently)
8-Jan-21,calligraphy pens,Amazon UK,Rejected (Permanently)
2-Jan-21,Contour guage,Amazon UK,Rejected (Permanently)
31-Dec-20,storage trolley,Amazon UK,Rejected (Permanently)
31-Dec-20,reusable cotton pads,Amazon UK,Rejected (Permanently)
30-Dec-20,metal hair clips,Amazon UK,Rejected (Permanently)
29-Dec-20,cheesecloth,Amazon UK,Rejected (Permanently)
28-Dec-20,pizza peel,Amazon UK,Rejected (Permanently)
28-Dec-20,pram cup holder,Amazon UK,Rejected (Permanently)
28-Dec-20,ludo game board,Amazon UK,Rejected (Permanently)
26-Dec-20,lemon press,Amazon UK,Rejected (Permanently)
26-Dec-20,push up board,Amazon UK,Rejected (Permanently)
25-Dec-20,dough scraper,Amazon UK,Rejected (Permanently)
25-Dec-20,can crusher,Amazon UK,Rejected (Permanently)
25-Dec-20,painting canvas,Amazon UK,Rejected (Permanently)
25-Dec-20,embroidery hoop,Amazon UK,Rejected (Permanently)
24-Dec-20,cake tin,Amazon UK,Rejected (Permanently)
17-Dec-20,Chopsticks,Amazon UK,Rejected (Permanently)
17-Dec-20,burger press,Amazon UK,Rejected (Permanently)
12-Dec-20,ping pong balls,Amazon UK,Rejected (Permanently)
12-Dec-20,shower cap,Amazon UK,Rejected (Permanently)
17-Jan-21,cellophane wrap,Amazon UK,Rejected (Permanently)
17-Jan-21,sandpaper for wood,Amazon UK,Rejected (Permanently)
17-Jan-21,tumble dryer balls,Amazon UK,Rejected (Permanently)
15-Jan-21,gold leaf,Amazon UK,Rejected (Permanently)
15-Jan-21,fidget cube,Amazon UK,Rejected (Permanently)
14-Jan-21,baloon arch kit,Amazon UK,Rejected (Permanently)
28-Dec-20,jaw exerciser,Amazon UK,Rejected (Permanently)
28-Dec-20,jade roller,Amazon UK,Rejected (Permanently)
28-Dec-20,beer pong,Amazon UK,Rejected (Permanently)
23-Dec-20,golf tees,Amazon UK,Rejected (Permanently)
19-Dec-20,oven mitt,Amazon UK,Rejected (Permanently)
19-Dec-20,knee pads,Amazon UK,Rejected (Permanently)
13-Dec-20,curtain rings,Amazon UK,Rejected (Permanently)
13-Dec-20,sink strainer,Amazon UK,Rejected (Permanently)
11-Dec-20,dough scrapers,Amazon UK,Rejected (Permanently)
26-Mar-21,Dog Muzzle,Amazon UK,Rejected (Permanently)
26-Mar-21,furniture sliders,Amazon UK,Rejected (Permanently)
26-Mar-21,Crease protectors,Amazon UK,Rejected (Permanently)
24-Mar-21,mouse trap,Amazon UK,Rejected (Permanently)
24-Mar-21,tarpaulin sheet,Amazon UK,Rejected (Permanently)
21-Mar-21,Tartar Remover,Amazon UK,Rejected (Permanently)
18-Mar-21,cocktail shaker,Amazon UK,Rejected (Permanently)
18-Mar-21,parasol cover,Amazon UK,Rejected (Permanently)
17-Mar-21,smell proof container,Amazon UK,Rejected (Permanently)
17-Mar-21,radiator key,Amazon UK,Rejected (Permanently)
15-Mar-21,toe separators,Amazon UK,Rejected (Permanently)
15-Mar-21,party hats,Amazon UK,Rejected (Permanently)
15-Mar-21,steering wheel cover,Amazon UK,Rejected (Permanently)
15-Mar-21,Gym Flooring,Amazon UK,Rejected (Permanently)
15-Mar-21,cat litter mat,Amazon UK,Rejected (Permanently)
12-Mar-21,ball pit,Amazon UK,Rejected (Permanently)
12-Mar-21,car fuses,Amazon UK,Rejected (Permanently)
11-Mar-21,wax seal stamp,Amazon UK,Rejected (Permanently)
11-Mar-21,suede brush,Amazon UK,Rejected (Permanently)
9-Mar-21,Hanging Plant,Amazon UK,Rejected (Permanently)
9-Mar-21,picture mount,Amazon UK,Rejected (Permanently)
8-Mar-21,blonde wig,Amazon UK,Rejected (Permanently)
6-Mar-21,Cat hammock,Amazon UK,Rejected (Permanently)
6-Mar-21,Snuffle mat,Amazon UK,Rejected (Permanently)
6-Mar-21,dog drying coats,Amazon UK,Rejected (Permanently)
5-Mar-21,Wallpaper scraper,Amazon UK,Rejected (Permanently)
5-Mar-21,Foil Blanket,Amazon UK,Rejected (Permanently)
5-Mar-21,wig head,Amazon UK,Rejected (Permanently)
4-Mar-21,felt fabric,Amazon UK,Rejected (Permanently)
3-Mar-21,Toilet Plunger,Amazon UK,Rejected (Permanently)
3-Mar-21,plant stand,Amazon UK,Rejected (Permanently)
2-Mar-21,pop filter,Amazon UK,Rejected (Permanently)
28-Feb-21,Pooper scooper,Amazon UK,Rejected (Permanently)
25-Feb-21,Car bin,Amazon UK,Rejected (Permanently)
22-Feb-21,Storage Basket,Amazon UK,Rejected (Permanently)
22-Feb-21,cake turntable,Amazon UK,Rejected (Permanently)
22-Feb-21,cake smoother,Amazon UK,Rejected (Permanently)
21-Feb-21,candle snuffer,Amazon UK,Rejected (Permanently)
20-Feb-21,litter picker,Amazon UK,Rejected (Permanently)
17-Feb-21,necklace chain,Amazon UK,Rejected (Permanently)
17-Feb-21,wooden heart,Amazon UK,Rejected (Permanently)
16-Feb-21,Knee pillow,Amazon UK,Rejected (Permanently)
16-Feb-21,anti fog wipes for glasses,Amazon UK,Rejected (Permanently)
16-Feb-21,sample pots,Amazon UK,Rejected (Permanently)
16-Feb-21,Towel Rail,Amazon UK,Rejected (Permanently)
14-Feb-21,empty mascara tube and wand,Amazon UK,Rejected (Permanently)
12-Feb-21,cling film,Amazon UK,Rejected (Permanently)
7-Apr-21,Heat resistant tape,Amazon UK,Rejected (Permanently)
7-Apr-21,Scale ruler,Amazon UK,Rejected (Permanently)
7-Apr-21,Shelf Brackets,Amazon UK,Rejected (Permanently)
5-Apr-21,Pop It,Amazon UK,Rejected (Permanently)
5-Apr-21,Bamboo Skewers,Amazon UK,Rejected (Permanently)
3-Apr-21,Sanding pad,Amazon UK,Rejected (Permanently)
3-Apr-21,coat hooks,Amazon UK,Rejected (Permanently)
30-Mar-21,parchment paper,Amazon UK,Rejected (Permanently)
28-Mar-21,salt and pepper grinders,Amazon UK,Rejected (Permanently)
28-Mar-21,Dried Flowers,Amazon UK,Rejected (Permanently)
28-Mar-21,Floating Shelves,Amazon UK,Rejected (Permanently)
#####,door hinges,Amazon UK,Rejected (Permanently)
#####,fridge liners,Amazon UK,Rejected (Permanently)
#####,castor wheels,Amazon UK,Rejected (Permanently)
#####,sitz bath,Amazon UK,Rejected (Permanently)
#####,wood drill press,Amazon UK,Rejected (Permanently)
#####,gold leaf,Amazon UK,Rejected (Permanently)
#####,temporary blinds,Amazon UK,Rejected (Permanently)
#####,underbed storage boxes,Amazon UK,Rejected (Permanently)
#####,drawer divider,Amazon UK,Rejected (Permanently)
#####,freezer bags,Amazon UK,Rejected (Permanently)
#####,kitchen tap spray head,Amazon UK,Rejected (Permanently)
#####,paper blinds,Amazon UK,Rejected (Permanently)
#####,splatter guard,Amazon UK,Rejected (Permanently)
#####,gift boxes with lids,Amazon UK,Rejected (Permanently)
#####,fish slice,Amazon UK,Rejected (Permanently)
#####,spider strainer,Amazon UK,Rejected (Permanently)
#####,sanding paper,Amazon UK,Rejected (Permanently)
#####,rubber brush,Amazon UK,Rejected (Permanently)
#####,rolling pin,Amazon UK,Rejected (Permanently)
#####,fridge organiser,Amazon UK,Rejected (Permanently)
#####,bamboo steamer,Amazon UK,Rejected (Permanently)
#####,pumice stone,Amazon UK,Rejected (Permanently)
#####,manual cofee grinder,Amazon UK,Rejected (Permanently)
#####,tounge scrappers,Amazon UK,Rejected (Permanently)
#####,makeup brush holder,Amazon UK,Rejected (Permanently)
#####,belly basket,Amazon UK,Rejected (Permanently)
#####,cleaning caddy,Amazon UK,Rejected (Permanently)
#####,utensils holder,Amazon UK,Rejected (Permanently)
#####,scrabble board game,Amazon UK,Rejected (Permanently)
#####,measuring spoons,Amazon UK,Rejected (Permanently)
#####,sectioning clips,Amazon UK,Rejected (Permanently)
#####,ice cube tray,Amazon UK,Rejected (Permanently)
#####,foam nunchuks,Amazon UK,Rejected (Permanently)
#####,barbell clips,Amazon UK,Rejected (Permanently)
#####,baking tray,Amazon UK,Rejected (Permanently)
#####,vanity case,Amazon UK,Rejected (Permanently)
#####,false eyelashes,Amazon UK,Rejected (Permanently)
#####,skipping rope,Amazon UK,Rejected (Permanently)
#####,silicone straws,Amazon UK,Rejected (Permanently)
#####,cupcake tray,Amazon UK,Rejected (Permanently)
#####,golf chipping net,Amazon UK,Rejected (Permanently)
#####,hand saw,Amazon UK,Rejected (Permanently)
#####,adjustable spanner,Amazon UK,Rejected (Permanently)
#####,wood clamps,Amazon UK,Rejected (Permanently)
#####,pruning saw,Amazon UK,Rejected (Permanently)
#####,radiator pipe cover,Amazon UK,Rejected (Permanently)
#####,furtinure sliders,Amazon UK,Rejected (Permanently)
#####,staple gun,Amazon UK,Rejected (Permanently)
#####,angle brackets,Amazon UK,Rejected (Permanently)
#####,vertical blind chain,Amazon UK,Rejected (Permanently)
#####,cutting mat,Amazon UK,Rejected (Permanently)
#####,bath plug chain,Amazon UK,Rejected (Permanently)
#####,jewelery pliers,Amazon UK,Rejected (Permanently)
#####,pull cord handle,Amazon UK,Rejected (Permanently)
#####,window bird feeder,Amazon UK,Rejected (Permanently)
#####,water spray bottle,Amazon UK,Rejected (Permanently)
#####,pencil grips for children,Amazon UK,Rejected (Permanently)
